"county"	"precinct"	"ld"	"sd"	"cd"	"state"	"year"	"g2014_GOV_dv"	"g2014_GOV_rv"	"g2014_GOV_tv"	"g2014_SC_dv"	"g2014_SC_nv"	"g2014_SC_rv"	"g2014_SC_tv"	"g2014_SC_yv"	"g2014_STH_dv"	"g2014_STH_rv"	"g2014_STH_tv"	"g2014_STS_dv"	"g2014_STS_rv"	"g2014_STS_tv"	"g2014_USH_dv"	"g2014_USH_rv"	"g2014_USH_tv"	"g2014_USS_dv"	"g2014_USS_rv"	"g2014_USS_tv"
"01"	"446 Aurora"	"1"	"A"	"1"	"AK"	2014		386	890		314			477	465	422	890	350	524	877	336	457	889	413	434	901
"01"	"455 Fairbanks No. 1"	"1"	"A"	"1"	"AK"	2014		75	195		65			115	108	84	193	74	118	193	72	106	195	94	87	196
"01"	"465 Fairbanks No. 2"	"1"	"A"	"1"	"AK"	2014		142	321		124			163	176	143	319	132	183	316	108	166	321	162	134	327
"01"	"470 Fairbanks No. 3"	"1"	"A"	"1"	"AK"	2014		196	507		175			285	275	223	500	232	260	495	216	234	505	256	213	509
"01"	"475 Fairbanks No. 4"	"1"	"A"	"1"	"AK"	2014		113	282		114			138	141	136	278	119	153	275	123	118	281	134	131	284
"01"	"480 Fairbanks No. 5"	"1"	"A"	"1"	"AK"	2014		355	732		210			452	365	372	739	263	455	724	262	423	731	325	393	739
"01"	"485 Fairbanks No. 6"	"1"	"A"	"1"	"AK"	2014		175	379		138			216	206	175	382	162	210	374	133	210	383	181	178	385
"01"	"490 Fairbanks No. 7"	"1"	"A"	"1"	"AK"	2014		194	475		162			266	262	209	474	213	254	470	183	239	475	236	207	480
"01"	"495 Fairbanks No. 10"	"1"	"A"	"1"	"AK"	2014		95	189		57			110	92	94	187	65	121	187	64	110	187	72	103	190
"02"	"345 Badger No. 2"	"2"	"A"	"1"	"AK"	2014		547	1021		394			552	262	720	986	224	765	995	206	679	1019	283	665	1026
"02"	"355 Fairbanks No. 8"	"2"	"A"	"1"	"AK"	2014		264	579		185			322	202	346	549	226	336	563	219	303	582	256	283	583
"02"	"365 Fairbanks No. 9"	"2"	"A"	"1"	"AK"	2014		410	870		274			518	304	541	848	318	536	857	296	478	865	352	472	873
"02"	"375 Fort Wainwright"	"2"	"A"	"1"	"AK"	2014		130	194		62			112	41	149	190	35	155	191	37	135	194	38	148	196
"03"	"130 Badger No. 1"	"3"	"NA"	"1"	"AK"	2014		562	1030		404			525	193	820	1013				206	690	1026	281	689	1040
"03"	"135 Chena Lakes"	"3"	"NA"	"1"	"AK"	2014		597	1003		372			527	178	803	987				179	699	992	231	704	1002
"03"	"165 Newby"	"3"	"NA"	"1"	"AK"	2014		663	1150		431			623	197	936	1137				234	771	1149	276	798	1157
"03"	"175 North Pole"	"3"	"NA"	"1"	"AK"	2014		302	531		186			300	114	402	520				111	349	529	146	350	532
"03"	"183 Plack"	"3"	"NA"	"1"	"AK"	2014		550	960		352			529	148	785	938				183	675	955	220	690	968
"04"	"230 Ester"	"4"	"NA"	"1"	"AK"	2014		128	447		109			263	299	145	447				272	131	450	288	144	454
"04"	"240 Farmers Loop"	"4"	"NA"	"1"	"AK"	2014		383	1134		278			670	678	428	1109				608	437	1132	654	447	1137
"04"	"250 Goldstream No. 1"	"4"	"NA"	"1"	"AK"	2014		131	467		124			256	293	165	462				249	174	467	271	166	470
"04"	"260 Goldstream No. 2"	"4"	"NA"	"1"	"AK"	2014		148	716		173			396	535	163	699				473	163	708	503	176	720
"04"	"265 Steese East-Gilmore"	"4"	"NA"	"1"	"AK"	2014		666	1340		428			731	492	800	1303				399	785	1330	484	779	1348
"04"	"270 Steese West"	"4"	"NA"	"1"	"AK"	2014		686	1526		512			816	650	800	1458				549	797	1510	597	849	1538
"04"	"280 University Hills"	"4"	"NA"	"1"	"AK"	2014		53	215		43			123	143	66	214				138	57	216	140	69	217
"05"	"580 Airport"	"5"	"C"	"1"	"AK"	2014		81	156		66			75	51	101	152	33	123	156	44	98	158	54	88	157
"05"	"582 Chena"	"5"	"C"	"1"	"AK"	2014		724	1924		535			1100	1019	862	1892	725	1169	1905	887	837	1931	998	844	1941
"05"	"586 Geist"	"5"	"C"	"1"	"AK"	2014		280	694		213			395	375	303	683	240	431	675	315	309	689	365	299	700
"05"	"587 Lakeview"	"5"	"C"	"1"	"AK"	2014		72	144		55			70	43	95	138	30	110	140	26	89	141	45	90	144
"05"	"588 Pike"	"5"	"C"	"1"	"AK"	2014		90	224		81			113	95	130	225	58	167	225	79	118	224	92	119	226
"05"	"590 Richardson"	"5"	"C"	"1"	"AK"	2014		86	153		50			88	37	110	147	25	124	149	25	99	150	39	102	154
"05"	"592 Shanly"	"5"	"C"	"1"	"AK"	2014		151	401		141			216	214	171	391	136	246	387	154	199	403	198	168	404
"05"	"594 University Campus"	"5"	"C"	"1"	"AK"	2014		22	68		9			50	47	23	70	39	30	70	45	21	71	46	23	71
"05"	"596 University West"	"5"	"C"	"1"	"AK"	2014		461	1056		313			629	511	525	1042	304	729	1036	417	540	1057	494	511	1063
"06"	"005 Anderson"	"6"	"C"	"1"	"AK"	2014		31	74		38			30	13	61	74	12	61	73	18	47	75	32	40	75
"06"	"007 Arctic Village"	"6"	"C"	"1"	"AK"	2014		9	50		22			27	41	9	50	47	4	51	36	11	52	50	1	52
"06"	"010 Beaver"	"6"	"C"	"1"	"AK"	2014		8	21		5			15	20	2	22	16	1	17	11	12	23	21	0	23
"06"	"012 Cantwell"	"6"	"C"	"1"	"AK"	2014		34	79		34			34	28	47	75	31	44	75	29	44	78	33	42	79
"06"	"015 Central"	"6"	"C"	"1"	"AK"	2014		23	47		28			14	13	32	45	11	34	45	12	32	47	16	29	48
"06"	"020 Chistochina"	"6"	"C"	"1"	"AK"	2014		47	74		36			27	35	38	73	24	51	75	12	55	75	19	50	76
"06"	"023 Circle"	"6"	"C"	"1"	"AK"	2014		12	32		13			19	23	9	32	21	11	32	10	21	32	24	8	32
"06"	"024 Clear"	"6"	"C"	"1"	"AK"	2014		31	71		33			33	19	50	70	25	44	70	20	38	71	28	35	71
"06"	"025 Copper Center"	"6"	"C"	"1"	"AK"	2014		95	236		111			90	114	116	231	73	156	233	71	146	238	96	125	238
"06"	"026 Denali Park"	"6"	"C"	"1"	"AK"	2014		6	81		13			53	46	37	83	63	16	79	71	5	85	71	8	83
"06"	"027 Dot Lake"	"6"	"C"	"1"	"AK"	2014		33	40		12			22	5	32	37	6	34	40	2	36	40	4	30	39
"06"	"030 Eagle"	"6"	"C"	"1"	"AK"	2014		43	80		36			36	27	48	76	25	52	77	26	49	79	24	47	78
