state	year	precinct	g2012_REG_tv	g2012_BALL_tv	g2012_USP_tv	g2012_USP_dv	g2012_USP_rv	g2012_USH_tv	g2012_USH_dv	g2012_USH_rv	g2012_STS_tv	g2012_STS_rv	g2012_STS_dv	sd	g2012_STH_tv	g2012_STH_rv	g2012_STH_dv	ld	cd
"AK"	2012	"01-135 Chena Lakes"	2633	1094	1093	192	854	1071	132	829	1080	740	336	"A"	1052	824	221	1	1
"AK"	2012	"01-145 Eielson"	2913	495	493	109	369	459	69	338	453	337	116	"A"	436	352	84	1	1
"AK"	2012	"01-155 Moose Creek"	600	225	223	43	162	220	34	166	222	140	81	"A"	217	165	52	1	1
"AK"	2012	"01-165 Newby"	3206	1279	1277	213	1009	1243	136	979	1256	888	363	"A"	1249	989	248	1	1
"AK"	2012	"01-175 North Pole"	1841	668	667	156	494	658	104	488	656	430	225	"A"	654	476	175	1	1
"AK"	2012	"01-183 Plack"	2623	1057	1049	166	842	1038	112	827	1039	713	324	"A"	1027	799	221	1	1
"AK"	2012	"01-195 Salcha No. 1"	603	275	274	45	215	273	41	207	271	172	98	"A"	269	205	63	1	1
"AK"	2012	"District 1 - Absentee"	0	1679	1670	340	1267	1579	257	1180	1475	1162	312	"A"	1453	1154	276	1	1
"AK"	2012	"District 1 - Question"	0	466	462	126	315	312	55	222	185	123	61	"A"	151	112	37	1	1
"AK"	2012	"District 1 - Early Voting"	0	516	514	128	372	508	101	362	509	333	175	"A"	502	352	148	1	1
"AK"	2012	"02-235 Badger No. 1"	2278	944	941	202	695	922	127	710	926	619	306	"A"	926	618	306	2	1
"AK"	2012	"02-245 Fox"	1121	536	534	146	357	524	91	362	525	285	237	"A"	525	331	191	2	1
"AK"	2012	"02-255 Steele Creek/Gilmore"	2647	1084	1080	360	653	1061	256	709	1062	546	512	"A"	1068	548	516	2	1
"AK"	2012	"02-265 Steese East"	2149	986	985	275	662	965	199	665	970	545	419	"A"	969	534	431	2	1
"AK"	2012	"02-270 Steese West"	4668	1902	1898	734	1081	1870	561	1143	1878	846	1029	"A"	1862	862	997	2	1
"AK"	2012	"02-275 Two Rivers"	1112	526	526	131	353	515	109	345	518	295	219	"A"	512	318	188	2	1
"AK"	2012	"District 2 - Absentee"	0	1312	1306	447	795	1260	334	811	1178	679	495	"A"	1168	628	533	2	1
"AK"	2012	"District 2 - Question"	0	420	418	144	246	318	53	227	116	65	50	"A"	84	51	32	2	1
"AK"	2012	"District 2 - Early Voting"	0	1373	1370	657	667	1339	544	693	1363	546	817	"A"	1351	530	818	2	1
"AK"	2012	"03-345 Badger No. 2"	2104	820	817	214	546	807	143	584	808	505	300	"B"	704	686		3	1
"AK"	2012	"03-355 Fairbanks No. 8"	1853	622	619	244	345	611	159	385	607	301	305	"B"	519	494		3	1
"AK"	2012	"03-365 Fairbanks No. 9"	2889	1037	1034	366	622	1019	251	684	1021	558	461	"B"	880	847		3	1
