state	year	county	precinct	g2012_REG_tv	g2012_USP_lrv	g2012_USP_erv	g2012_USP_arv	g2012_USP_prv	g2012_USP_rv	g2012_USP_ldv	g2012_USP_edv	g2012_USP_adv	g2012_USP_pdv	g2012_USP_dv	g2012_USP_tv	cd	g2012_USH_adv	g2012_USH_arv	g2012_USH_atv	g2012_USH_edv	g2012_USH_erv	g2012_USH_etv	g2012_USH_ldv	g2012_USH_lrv	g2012_USH_ltv	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv
"AR"	2012	"Arkansas"	"Almyra"	136	2	0	0	0	2	72	9	3	0	84	104	1	0	3	3	3	8	11	22	62	85	25	73	99
"AR"	2012	"Arkansas"	"Arkansas"	56	0	0	0	0	0	13	2	0	0	15	40	1	0	0	0	11	2	13	12	12	25	23	14	38
"AR"	2012	"Arkansas"	"Barton"	115	2	1	0	0	3	39	27	1	0	67	83	1	4	0	4	7	24	33	9	36	47	20	60	84
"AR"	2012	"Arkansas"	"Bayou Meto"	105	0	0	0	0	0	17	43	0	0	60	73	1	1	0	1	9	41	51	9	14	24	19	55	76
"AR"	2012	"Arkansas"	"Brewer"	25	0	0	0	0	0	1	11	0	0	12	16	1	0	0	0	3	9	12	4	0	4	7	9	16
"AR"	2012	"Arkansas"	"Chester"	137	1	0	0	0	1	46	31	0	0	77	89	1	1	0	1	3	27	31	16	37	56	20	64	88
"AR"	2012	"Arkansas"	"Crockett"	59	0	1	0	0	1	22	7	1	0	30	46	1	0	1	1	5	8	13	11	18	31	16	27	45
"AR"	2012	"Arkansas"	"Dewitt Ward 1"	429	2	2	0	0	4	21	26	3	0	50	256	1	2	2	4	82	22	120	91	20	117	175	44	241
"AR"	2012	"Arkansas"	"Dewitt Ward 2"	507	1	4	0	0	5	66	126	9	0	201	305	1	4	9	13	64	109	181	36	59	104	105	177	299
"AR"	2012	"Arkansas"	"Dewitt Ward 3"	556	2	2	0	0	4	126	146	3	0	275	388	1	8	4	12	63	134	209	44	113	162	115	251	383
"AR"	2012	"Arkansas"	"Garland"	77	0	0	0	0	0	23	24	2	0	49	61	1	0	2	2	4	25	30	9	20	29	13	47	61
"AR"	2012	"Arkansas"	"Gillett Ward 1"	121	1	1	0	0	2	42	6	1	0	49	71	1	1	0	1	4	4	10	28	32	60	33	36	71
