state	year	town	cd	cd2	g2010_ATG_dv	g2010_ATG_rv	g2010_ATG_tv	g2010_COM_dv	g2010_COM_tv	g2010_COM_rv	g2010_GOV_dv	g2010_GOV_tv	g2010_GOV_rv	g2010_SOS_dv	g2010_SOS_rv	g2010_SOS_tv	g2010_TRE_dv	g2010_TRE_rv	g2010_TRE_tv	g2010_USH_dv	g2010_USH_dv2	g2010_USH_tv	g2010_USH_tv2	g2010_USH_rv	g2010_USH_rv2	g2010_USS_dv	g2010_USS_rv	g2010_USS_tv
"CT"	2010	"Andover"	2		710	605	1390	698	1358	551	622	1421.0	735	729	555	1391	748	571	1395	810		1421.0		547		755	630	1439.0
"CT"	2010	"Ansonia"	3		2684	1841	4819	2725	4745	1681	2440	4973.0	2260	2605	1883	4844	2676	1870	4849	2967		4959.0		1679		2817	1956	5067.0
"CT"	2010	"Ashford"	2		906	683	1687	956	1653	580	901	1745.0	752	971	605	1695	974	616	1694	1033		1728.0		608		985	676	1752.0
"CT"	2010	"Avon"	5		3881	4157	8285	3426	8066	4335	3137	8427.0	5110	3486	4434	8227	3588	4467	8266	4164		8409.0		4092		3725	4545	8473.0
"CT"	2010	"Barkhamsted"	1		756	783	1618	750	1593	735	659	1665.0	950	724	796	1621	768	770	1614	746		1640.0		828		764	844	1674.0
"CT"	2010	"Beacon Falls"	3		932	1202	2246	1020	2224	1047	853	2323.0	1373	943	1158	2249	989	1138	2246	1073		2302.0		1123		969	1275	2337.0
"CT"	2010	"Berlin"	1		4108	3647	8101	3914	7839	3528	3554	8525.0	4599	3889	3833	8127	4080	3806	8196	4180		8270.0		3766		4088	4083	8577.0
"CT"	2010	"Bethany"	3		1164	1240	2509	1160	2470	1179	1098	2575.0	1392	1166	1236	2530	1171	1233	2518	1363		2570.0		1109		1232	1271	2594.0
"CT"	2010	"Bethel"	5		2760	3437	6502	2607	6380	3369	2565	6725.0	3952	2775	3333	6508	2820	3363	6482	3252		6684.0		3166		3073	3454	6766.0
"CT"	2010	"Bethlehem"	5		635	1031	1747	693	1724	927	655	1798.0	1078	722	940	1750	728	938	1750	752		1794.0		990		701	1047	1805.0
"CT"	2010	"Bloomfield"	1		6573	1488	8469	6267	8324	1561	6301	8743.0	2024	6308	1723	8449	6646	1542	8662	6679		8644.0		1568		6700	1633	8830.0
"CT"	2010	"Bolton"	2		1056	1079	2268	1002	2212	1058	982	2359.0	1276	1053	1066	2270	1105	1067	2283	1237		2339.0		998		1093	1150	2356.0
"CT"	2010	"Bozrah"	2		466	525	1074	480	1047	459	435	1081.0	602	500	484	1088	510	480	1083	611		1120.0		442		547	537	1161.0
"CT"	2010	"Branford"	3		5830	4398	10658	5794	10531	4196	5474	10996.0	5156	5583	4671	10719	5756	4546	10702	6785		11035.0		3793		6287	4360	11093.0
"CT"	2010	"Bridgeport"	4		15685	3405	20033	15510	19917	3351	17038	22185.0	4099	15682	3581	20297	15800	3472	20229	16648		21091.0		3447		16180	4030	21277.0
"CT"	2010	"Bridgewater"	5		353	503	887	358	881	480	335	924.0	566	353	494	890	353	495	881	390		917.0		507		389	518	936.0
"CT"	2010	"Bristol"	1		9092	7432	17348	9139	16940	6845	7961	17930.0	9204	9087	7361	17358	9173	7579	17474	9563		17509.0		7158		9378	7838	18040.0
"CT"	2010	"Brookfield"	5		2275	3801	6367	2192	6224	3660	2134	6586.0	4297	2305	3699	6336	2340	3725	6336	2763		6511.0		3568		2670	3753	6598.0
"CT"	2010	"Brooklyn"	2		1108	1193	2482	1195	2430	1017	1105	2567.0	1332	1178	1101	2495	1224	1096	2505	1291		2563.0		1113		1258	1195	2597.0
"CT"	2010	"Burlington"	5		1743	2012	3912	1662	3811	1944	1451	3996.0	2398	1671	2022	3900	1754	2026	3916	2049		3988.0		1830		1756	2131	4008.0
"CT"	2010	"Canaan"	5		241	161	432	241	421	148	225	453.0	213	254	147	433	254	145	427	276		446.0		153		262	173	454.0
"CT"	2010	"Canterbury"	2		801	1011	1946	846	1917	905	791	2018.0	1120	856	952	1966	880	944	1957	1005		2012.0		904		907	1006	2032.0
"CT"	2010	"Canton"	5		2163	2116	4472	1995	4359	2115	1812	4577.0	2596	1999	2229	4452	2093	2210	4465	2399		4542.0		2007		2170	2248	4601.0
"CT"	2010	"Chaplin"	2		385	313	770	399	748	277	398	829.0	388	440	296	795	431	293	785	477		812.0		300		470	331	829.0
"CT"	2010	"Cheshire"	5		5455	5681	11503	5189	11240	5545	4853	11881.0	6696	5243	5863	11557	5535	5652	11528	6044		11878.0		5574		5848	5731	11953.0
"CT"	2010	"Chester"	2		904	603	1638	916	1590	530	765	1672.0	617	908	586	1629	956	565	1632	1032		1669.0		563		992	585	1674.0
"CT"	2010	"Clinton"	2		2497	2283	5008	2255	4731	2171	2184	5129.0	2740	2377	2356	5030	2485	2318	5033	2774		5125.0		2150		2661	2310	5183.0
"CT"	2010	"Colchester"	2		2805	2639	5781	2797	5661	2455	2653	6158.0	3228	2793	2631	5812	2917	2605	5833	3326		6015.0		2411		2903	2864	5989.0
"CT"	2010	"Colebrook"	1		284	372	685	288	664	340	285	695.0	387	297	344	678	294	354	682	301		680.0		354		274	405	701.0
"CT"	2010	"Columbia"	2		1219	1035	2410	1228	2366	957	1128	2483.0	1251	1261	990	2419	1276	1005	2421	1407		2479.0		956		1291	1087	2492.0
"CT"	2010	"Cornwall"	5		444	234	720	453	704	196	457	750.0	262	468	216	729	470	198	716	538		751.0		184		492	238	754.0
"CT"	2010	"Coventry"	2		2354	2093	4757	2351	4672	1962	2170	4886.0	2498	2437	2005	4775	2443	2073	4773	2691		4873.0		1943		2527	2162	4923.0
"CT"	2010	"Cromwell"	1		2700	2354	5357	2616	5224	2241	2456	5656.0	2920	2680	2440	5459	2734	2378	5413	2802		5535.0		2436		2765	2595	5679.0
"CT"	2010	"Danbury"	5		8398	8187	17253	8139	16979	7918	7761	18145.0	9826	8557	7855	17236	8697	7918	17229	9813		17782.0		7489		9273	8140	17936.0
"CT"	2010	"Darien"	4		2405	5273	7851	1873	7514	5544	2424	8187.0	5650	2052	5440	7745	2018	5525	7719	2654		8180.0		5460		2633	5416	8213.0
"CT"	2010	"Deep River"	2		1049	760	1908	1063	1881	695	932	1970.0	902	1056	758	1926	1073	755	1926	1146		1974.0		762		1118	794	1984.0
"CT"	2010	"Derby"	3		1777	1424	3354	1708	3318	1388	1586	3480.0	1779	1639	1552	3378	1715	1515	3383	1966		3476.0		1365		1866	1516	3542.0
"CT"	2010	"Durham"	2	3	1555	1609	3312	1517	3216	1527	1358	3419.0	1929	1518	1633	3304	1584	1603	3320	1254	474	2474.0	909	1141	393	1654	1668	3446.0
"CT"	2010	"East Granby"	1		991	1078	2168	947	2097	1018	808	2217.0	1319	979	1063	2160	1023	1056	2178	976		2191.0		1131		955	1184	2224.0
"CT"	2010	"East Haddam"	2		1774	1674	3629	1786	3560	1522	1553	3717.0	1994	1783	1633	3635	1824	1631	3632	1935		3705.0		1643		1898	1677	3736.0
"CT"	2010	"East Hampton"	2		2600	2557	5425	2659	5285	2278	2394	5605.0	3017	2613	2508	5428	2835	2382	5462	2859		5581.0		2523		2803	2634	5613.0
"CT"	2010	"East Hartford"	1		7161	3443	11464	7195	11248	3179	6692	11972.0	4589	7211	3570	11610	7439	3462	11667	7646		11823.0		3484		6360	3909	11023.0
"CT"	2010	"East Haven"	3		4213	3180	7797	4325	7697	2953	3948	8265.0	3954	4045	3376	7857	4208	3326	7867	5023		9342.0		2805		4520	3364	8254.0
"CT"	2010	"East Lyme"	2		3965	2934	7154	3853	7014	2826	3642	7430.0	3575	3847	3052	7216	4070	2925	7211	4985		7457.0		2304		4345	2891	7449.0
"CT"	2010	"East Windsor"	1		1717	1739	3656	1760	3583	1581	1507	3787.0	2105	1773	1666	3664	1836	1680	3696	1871		3753.0		1701		1809	1802	3805.0
"CT"	2010	"Eastford"	2		320	389	733	327	717	365	308	749.0	421	338	373	740	330	382	732	358		755.0		379		343	392	755.0
"CT"	2010	"Easton"	4		1218	1938	3254	1100	3202	1953	1259	3327.0	2004	1184	1934	3249	1155	1992	3247	1339		3321.0		1941		1362	1890	3339.0
"CT"	2010	"Ellington"	2		2041	2784	5118	2327	5335	2647	2090	5686.0	3366	2416	2702	5471	2449	2806	5506	2881		5666.0		2558		2523	2927	5700.0
"CT"	2010	"Enfield"	2		6642	5716	12974	6673	12617	5273	5964	13289.0	6929	6702	5556	12948	7058	5436	13016	7693		13320.0		5218		7166	5916	13478.0
"CT"	2010	"Essex"	2		1676	1415	3207	1615	3146	1376	1499	3296.0	1675	1674	1416	3219	1642	1406	3148	1852		3303.0		1383		1810	1388	3305.0
"CT"	2010	"Fairfield"	4		9614	11101	21393	8893	20966	11137	9531	21721.0	11632	9466	10469	20782	9294	11266	21285	10619		22029.0		11014		10760	10729	22164.0
"CT"	2010	"Farmington"	5		5451	4860	10674	4981	9941	4508	4614	10905.0	6030	5022	5204	10644	5232	5143	10712	5929		10822.0		4693		5459	5242	10951.0
"CT"	2010	"Franklin"	2		368	360	765	369	749	335	336	806.0	433	373	358	770	399	337	773	450		811.0		313		395	373	814.0
"CT"	2010	"Glastonbury"	1	2	7576	6535	14655	6900	14232	6574	6518	15074.0	8127	6758	7182	14610	6992	7185	14666	5090	2710	9658.0	5268	4226	2403	7463	7127	15104.0
"CT"	2010	"Goshen"	5		544	840	1426	552	1395	782	504	1459.0	922	594	775	1419	600	775	1423	650		1451.0		771		568	883	1476.0
"CT"	2010	"Granby"	1		2177	2537	4912	2057	4792	2501	1873	5050.0	3007	2122	2534	4897	2173	2561	4911	2199		4959.0		2613		2246	2636	5071.0
"CT"	2010	"Greenwich"	4		7705	12459	20689	6970	20231	12466	8401	21638.0	12817	7381	12383	20534	7284	12715	20562	9533		21706.0		11857		8975	12289	21831.0
"CT"	2010	"Griswold"	2		1547	1623	3391	1688	3311	1350	1497	3536.0	1852	1702	1442	3390	1739	1471	3416	2011		3517.0		1309		1694	1681	3567.0
"CT"	2010	"Groton"	2		5073	4089	9608	4961	9348	3813	4724	9946.0	4820	4988	4056	9585	5186	3988	9605	6487		9959.0		3112		5651	3816	9917.0
"CT"	2010	"Guilford"	3		5303	4212	9911	5331	9764	3936	4966	10220.0	4947	5135	4315	9861	5233	4254	9846	6225		10214.0		3647		5756	4148	10261.0
"CT"	2010	"Haddam"	2		1719	1759	3657	1700	3587	1647	1527	3745.0	2052	1681	1762	3659	1794	1697	3665	1835		3748.0		1791		1750	1853	3765.0
"CT"	2010	"Hamden"	3		12566	5658	19058	12472	18814	5312	12256	19681.0	6725	12203	6001	19145	11443	5858	18182	13738		19737.0		5075		13273	5760	19925.0
"CT"	2010	"Hampton"	2		424	342	814	420	790	318	406	847.0	400	418	343	820	454	323	818	519		844.0		291		455	358	856.0
"CT"	2010	"Hartford"	1		12965	1586	16142	12810	16003	1407	13911	17896.0	2043	13325	1704	16821	13534	1508	17212	13799		17249.0		1492		13913	1945	18032.0
"CT"	2010	"Hartland"	1		299	608	937	313	923	573	271	961.0	666	315	585	939	326	576	938	309		946.0		613		301	640	960.0
