state	year	precinct	g2012_USP_tv	g2012_USP_mdv	g2012_USP_adv	g2012_USP_dv	g2012_USP_mrv	g2012_USP_arv	g2012_USP_rv	g2012_USP_mtv	g2012_USP_atv	g2012_USS_tv	g2012_USS_mdv	g2012_USS_adv	g2012_USS_dv	g2012_USS_mrv	g2012_USS_arv	g2012_USS_rv	g2012_USS_mtv	g2012_USS_atv	g2012_USH_tv	g2012_USH_mdv	g2012_USH_adv	g2012_USH_dv	g2012_USH_mrv	g2012_USH_arv	g2012_USH_rv	g2012_USH_mtv	g2012_USH_atv	g2012_GOV_tv	g2012_GOV_mdv	g2012_GOV_adv	g2012_GOV_dv	g2012_GOV_mrv	g2012_GOV_arv	g2012_GOV_rv	g2012_GOV_atv	g2012_GOV_mtv	g2012_LTG_tv	g2012_LTG_mdv	g2012_LTG_adv	g2012_LTG_dv	g2012_LTG_mrv	g2012_LTG_arv	g2012_LTG_rv	g2012_LTG_mtv	g2012_LTG_atv	g2012_INS_tv	g2012_INS_mdv	g2012_INS_adv	g2012_INS_dv	g2012_INS_mrv	g2012_INS_arv	g2012_INS_rv	g2012_INS_mtv	g2012_INS_atv	sd	g2012_STS_tv	g2012_STS_mdv	g2012_STS_adv	g2012_STS_dv	g2012_STS_mrv	g2012_STS_arv	g2012_STS_rv	g2012_STS_mtv	g2012_STS_atv	ld	g2012_STH_tv	g2012_STH_mdv	g2012_STH_adv	g2012_STH_dv	g2012_STH_mrv	g2012_STH_arv	g2012_STH_rv	g2012_STH_mtv	g2012_STH_atv
"DE"	2012	"01-01"	791	694	38	732	50	1	51	752	39	757	676	35	711	30	1	31	720	37	691	606	33	639	42	1	43	656	35	743	664	33	697	34	1	35	35	708	706	597	29	626	69	3	72	673	33	705	547	29	576	108	3	111	672	33	1	677	613	29	642				646	31	1	679	652	27	679				652	27
"DE"	2012	"01-02"	1345	1286	38	1324	17	0	17	1307	38	1169	1104	34	1138	15	1	16	1134	35	1080	1026	29	1055	14	1	15	1050	30	1146	1091	32	1123	16	1	17	34	1112	1082	1009	28	1037	31	2	33	1052	30	1116	1011	26	1037	74	4	78	1086	30	3	1062	1037	25	1062				1037	25	2	1110	1084	26	1110				1084	26
"DE"	2012	"01-03"	764	722	15	737	18	0	18	749	15	687	637	15	652	20	0	20	672	15	641	592	15	607	22	0	22	626	15	679	629	15	644	17	0	17	15	664	653	594	15	609	32	0	32	638	15	654	588	13	601	42	1	43	640	14	3	617	605	12	617				605	12	3	629	616	13	629				616	13
"DE"	2012	"01-04"	1375	770	91	861	458	34	492	1250	125	1356	906	87	993	245	22	267	1235	121	1338	847	87	934	339	27	366	1219	119	1357	970	94	1064	241	23	264	118	1239	1314	799	85	884	380	25	405	1201	113	1267	685	80	765	446	22	468	1160	107	1	1125	839	80	919				1038	87	4	1119	1024	95	1119				1024	95
"DE"	2012	"01-05"	1313	1022	52	1074	215	12	227	1246	67	1254	1007	51	1058	152	11	163	1191	63	1213	965	51	1016	168	11	179	1150	63	1250	1022	51	1073	150	10	160	62	1188	1221	939	47	986	211	11	222	1163	58	1219	937	46	983	213	11	224	1162	57	13	1100	1053	47	1100				1053	47	5	1095	1047	48	1095				1047	48
"DE"	2012	"01-06"	783	473	19	492	267	12	279	752	31	768	506	20	526	200	10	210	737	31	743	453	19	472	238	11	249	712	31	760	514	20	534	192	11	203	31	729	742	445	19	464	250	11	261	712	30	742	445	20	465	244	10	254	712	30	1	617	485	19	504				594	23	6	742	474	19	493	239	10	249	713	29
"DE"	2012	"01-07"	1233	731	18	749	444	19	463	1195	38	1190	787	20	807	298	16	314	1153	37	1161	721	19	740	372	14	386	1126	35	1179	813	19	832	300	16	316	36	1143	1153	706	18	724	390	16	406	1119	34	1147	706	14	720	368	17	385	1116	31	1	955	751	14	765				937	18	7	1148	699	16	715	392	12	404	1119	29
"DE"	2012	"01-08"	920	385	1	386	497	10	507	909	11	903	487	2	489	363	9	372	892	11	880	438	1	439	401	10	411	869	11	897	529	4	533	328	6	334	10	887	868	442	3	445	395	7	402	858	10	872	449	1	450	387	9	396	862	10	10	657	651	6	657				651	6	8	878	505	3	508	363	7	370	868	10
"DE"	2012	"01-09"	1156	581	20	601	523	13	536	1123	33	1120	700	24	724	348	9	357	1087	33	1095	654	21	675	386	12	398	1062	33	1115	724	21	745	334	12	346	33	1082	1095	629	19	648	420	13	433	1063	32	1062	638	16	654	374	15	389	1030	32	14	1090	585	21	606	472	12	484	1057	33	9	828	809	19	828				809	19
"DE"	2012	"01-10"	1179	648	19	667	485	15	500	1145	34	1136	710	22	732	356	8	364	1105	31	1107	661	20	681	400	10	410	1077	30	1140	766	22	788	332	9	341	31	1109	1120	641	18	659	442	11	453	1091	29	1089	645	16	661	399	13	412	1060	29	5	1110	505	10	515	576	19	595	1081	29	10	1144	574	18	592	541	11	552	1115	29
