state	year	ward	precinct	g2012_DEL_dv	g2012_DEL_tv	g2012_SHADR_dv	g2012_SHADR_tv	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv	g2012_SHADS_dv	g2012_SHADS_rv	g2012_SHADS_tv
"DC"	2012	6	1	2494	2862	2196	2510	2759	237	3053	2232	280	2725
"DC"	2012	2	2	562	741	547	667	621	160	824	502	155	720
"DC"	2012	2	3	1136	1422	903	1147	1202	335	1588	783	350	1312
"DC"	2012	2	4	1341	1726	1105	1405	1450	434	1933	1029	409	1622
"DC"	2012	2	5	1702	2190	1244	1601	1746	622	2421	1099	568	1909
"DC"	2012	2	6	1835	2367	1438	1838	1856	768	2684	1230	678	2162
"DC"	2012	3	7	946	1274	696	988	994	341	1384	654	338	1170
"DC"	2012	3	8	1971	2481	1335	1787	2001	661	2720	1250	621	2199
"DC"	2012	3	9	992	1309	741	969	971	493	1494	644	481	1236
"DC"	2012	3	10	1487	1877	1077	1418	1551	451	2050	989	437	1659
"DC"	2012	3	11	2555	3317	2128	2810	2723	779	3609	1877	775	3120
"DC"	2012	3	12	391	554	314	427	384	212	606	248	212	524
"DC"	2012	2	13	1028	1288	794	989	1110	276	1421	684	261	1127
"DC"	2012	2	14	2164	2674	1802	2224	2379	383	2861	1670	426	2426
"DC"	2012	2	15	2291	2760	1816	2282	2532	301	2931	1735	327	2472
"DC"	2012	2	16	2520	3007	2077	2511	2809	306	3209	2008	355	2711
"DC"	2012	2	17	3336	3993	2819	3395	3692	500	4289	2677	514	3657
"DC"	2012	6	18	2756	3057	2409	2756	2957	149	3172	2413	184	2887
"DC"	2012	5	19	2654	2931	2245	2637	2874	93	3034	2265	137	2767
"DC"	2012	1	20	835	910	739	812	965	18	996	769	29	861
"DC"	2012	6	21	812	879	694	795	866	29	914	705	38	832
"DC"	2012	1	22	2431	2880	2059	2465	2711	212	2989	1951	257	2613
"DC"	2012	1	23	1842	2141	1625	1921	2104	118	2288	1606	146	2021
"DC"	2012	1	24	1805	2150	1507	1875	2049	165	2272	1474	180	1999
"DC"	2012	1	25	2888	3537	2275	2934	3269	353	3747	2154	400	3183
"DC"	2012	3	26	2201	2608	1633	2079	2418	315	2793	1554	339	2293
"DC"	2012	3	27	1856	2237	1304	1680	2026	301	2382	1214	343	1925
"DC"	2012	3	28	1951	2442	1471	1894	2026	526	2637	1334	511	2202
"DC"	2012	3	29	1038	1281	796	1036	1134	212	1387	735	253	1177
"DC"	2012	3	30	1026	1298	760	964	1104	234	1370	708	241	1136
"DC"	2012	3	31	1888	2281	1339	1767	2004	376	2435	1311	385	2045
"DC"	2012	3	32	2111	2512	1542	1957	2284	340	2680	1393	375	2166
"DC"	2012	3	33	2123	2570	1560	2028	2316	353	2738	1418	391	2254
"DC"	2012	3	34	2778	3360	2229	2779	3011	462	3591	2012	522	3026
"DC"	2012	1	35	2488	2908	1955	2516	2795	133	3045	1951	182	2664
"DC"	2012	1	36	2723	3081	2299	2759	3024	139	3261	2344	187	2936
"DC"	2012	1	37	1866	2055	1618	1846	2065	63	2176	1646	76	1939
"DC"	2012	1	38	1702	1924	1451	1732	1901	51	2002	1485	82	1816
"DC"	2012	1	39	2606	3045	2079	2647	2959	132	3199	2023	163	2792
"DC"	2012	1	40	2449	2932	1906	2523	2796	172	3085	1830	218	2708
"DC"	2012	1	41	2088	2375	1745	2112	2347	104	2521	1789	138	2239
"DC"	2012	1	42	1152	1323	947	1173	1287	55	1387	962	66	1245
"DC"	2012	1	43	1092	1197	928	1083	1184	29	1243	947	47	1130
"DC"	2012	5	44	1869	2062	1621	1841	2022	147	2203	1685	132	1962
"DC"	2012	4	45	1504	1684	1235	1466	1682	41	1768	1291	62	1574
"DC"	2012	4	46	1914	2076	1677	1902	2088	38	2158	1713	61	1978
"DC"	2012	4	47	1975	2206	1565	1886	2184	79	2314	1614	98	1992
"DC"	2012	4	48	1909	2133	1521	1810	2127	75	2234	1541	108	1926
"DC"	2012	4	49	583	642	489	578	635	21	675	503	29	610
"DC"	2012	3	50	1611	1930	1190	1506	1724	294	2075	1098	319	1687
"DC"	2012	4	51	2712	3232	1835	2361	2811	603	3477	1615	567	2712
"DC"	2012	4	52	1008	1173	708	892	1048	177	1254	644	186	998
"DC"	2012	4	53	912	999	718	853	983	52	1050	694	54	925
"DC"	2012	4	54	1599	1766	1337	1551	1761	59	1844	1353	72	1636
"DC"	2012	4	55	1615	1727	1372	1514	1732	40	1797	1447	45	1617
"DC"	2012	4	56	2170	2333	1863	2093	2363	42	2438	1956	69	2196
"DC"	2012	4	57	1787	1912	1532	1724	1931	43	2000	1622	49	1822
"DC"	2012	4	58	1616	1707	1381	1502	1735	29	1778	1445	33	1596
"DC"	2012	4	59	1789	1904	1494	1684	1907	36	1968	1560	43	1782
"DC"	2012	4	60	1394	1476	1165	1292	1555	37	1605	1224	45	1386
"DC"	2012	4	61	1238	1326	1017	1162	1342	42	1395	1052	47	1236
"DC"	2012	4	62	2403	2662	1932	2236	2615	104	2763	1898	122	2360
"DC"	2012	4	63	2349	2576	1843	2218	2529	94	2692	1880	121	2364
"DC"	2012	4	64	1610	1706	1329	1490	1733	29	1777	1386	49	1588
"DC"	2012	4	65	1982	2070	1699	1855	2103	33	2152	1753	33	1952
"DC"	2012	5	66	3341	3512	2895	3168	3556	49	3629	3051	62	3320
"DC"	2012	5	67	2216	2358	1883	2098	2321	76	2424	1934	68	2190
"DC"	2012	5	68	1369	1561	1096	1364	1462	129	1633	1114	126	1472
"DC"	2012	5	69	1576	1677	1339	1486	1669	39	1725	1393	53	1575
"DC"	2012	5	70	1118	1227	1006	1129	1226	36	1273	1011	43	1177
"DC"	2012	5	71	1711	1803	1480	1648	1808	29	1848	1528	50	1713
"DC"	2012	5	72	2741	2898	2430	2646	2923	52	2998	2522	66	2777
"DC"	2012	5	73	1341	1501	1091	1322	1446	70	1543	1116	84	1400
"DC"	2012	5	74	2655	2908	2300	2583	2871	124	3032	2419	140	2768
"DC"	2012	5	75	2037	2239	1754	2017	2211	51	2310	1824	83	2128
"DC"	2012	5	76	726	766	654	704	790	13	809	689	15	739
"DC"	2012	5	77	1802	1942	1599	1766	1984	36	2036	1676	46	1849
"DC"	2012	5	78	1893	1972	1664	1797	2001	17	2030	1750	38	1881
"DC"	2012	5	79	1195	1263	1078	1158	1319	13	1344	1130	31	1222
"DC"	2012	7	80	1033	1106	910	1002	1115	32	1163	934	44	1049
"DC"	2012	6	81	3219	3628	2783	3218	3492	223	3777	2790	272	3428
"DC"	2012	6	82	1795	2097	1531	1822	1959	170	2173	1511	207	1939
"DC"	2012	6	83	2644	3142	2340	2773	2873	332	3281	2294	364	2986
"DC"	2012	6	84	1490	1886	1223	1572	1627	332	2018	1153	369	1770
"DC"	2012	6	85	2015	2509	1520	2003	2186	408	2663	1360	550	2271
"DC"	2012	6	86	1566	1854	1285	1574	1726	191	1955	1246	240	1732
"DC"	2012	6	87	1880	2175	1605	1919	2043	171	2260	1570	222	2054
"DC"	2012	6	88	1639	1961	1179	1538	1782	245	2073	1083	326	1732
"DC"	2012	6	89	1978	2551	1423	1927	2089	561	2722	1274	673	2291
"DC"	2012	6	90	1187	1474	929	1188	1296	216	1567	860	279	1353
"DC"	2012	6	91	2785	3239	2361	2818	3040	287	3404	2261	372	3010
"DC"	2012	7	92	1145	1184	1015	1092	1221	9	1233	1071	19	1134
"DC"	2012	7	93	1079	1126	1001	1066	1142	16	1166	1026	19	1091
"DC"	2012	7	94	1306	1352	1170	1246	1368	10	1385	1242	24	1315
"DC"	2012	7	95	1104	1145	999	1066	1178	14	1199	1047	19	1107
"DC"	2012	7	96	1540	1596	1418	1509	1653	8	1666	1473	21	1558
"DC"	2012	7	97	980	1023	872	920	1113	4	1127	913	13	963
"DC"	2012	7	98	1241	1295	1116	1195	1317	9	1337	1161	20	1238
"DC"	2012	7	99	953	992	851	919	1035	12	1051	892	22	969
"DC"	2012	7	100	1474	1528	1307	1399	1574	3	1580	1402	27	1470
"DC"	2012	7	101	1221	1268	1106	1174	1297	5	1309	1137	11	1208
"DC"	2012	7	102	1624	1678	1427	1513	1749	6	1759	1487	23	1582
"DC"	2012	7	103	2503	2602	2256	2397	2714	12	2736	2365	37	2522
"DC"	2012	7	104	1888	1974	1707	1814	2039	18	2067	1784	29	1904
"DC"	2012	7	105	1637	1715	1495	1578	1744	11	1761	1561	19	1654
"DC"	2012	7	106	2021	2103	1799	1916	2108	26	2148	1894	27	2008
"DC"	2012	7	107	1236	1294	1122	1191	1349	4	1362	1170	21	1239
"DC"	2012	7	108	872	905	773	834	929	12	946	794	18	873
"DC"	2012	7	109	742	796	663	729	783	14	808	674	25	757
"DC"	2012	7	110	2772	2915	2403	2627	2937	36	2994	2544	50	2771
"DC"	2012	7	111	1650	1727	1454	1576	1767	17	1798	1557	28	1658
"DC"	2012	8	112	1461	1522	1289	1396	1558	14	1580	1372	29	1465
"DC"	2012	7	113	1718	1807	1499	1628	1831	33	1877	1536	56	1707
"DC"	2012	8	114	1976	2070	1781	1910	2144	19	2169	1874	29	1994
"DC"	2012	8	115	1537	1615	1401	1471	1674	7	1685	1459	23	1540
"DC"	2012	8	116	2280	2369	2056	2175	2444	10	2462	2160	34	2261
"DC"	2012	8	117	1301	1358	1184	1269	1386	9	1404	1256	17	1321
"DC"	2012	8	118	1845	1911	1700	1802	1970	5	1979	1755	22	1851
"DC"	2012	8	119	1801	1885	1659	1781	1939	22	1972	1722	42	1834
"DC"	2012	8	120	1325	1401	1223	1306	1436	9	1457	1274	17	1355
"DC"	2012	8	121	2248	2338	1990	2119	2439	14	2461	2120	28	2227
"DC"	2012	8	122	1286	1326	1173	1236	1375	8	1386	1221	15	1283
"DC"	2012	8	123	1472	1544	1331	1426	1589	28	1629	1372	41	1489
"DC"	2012	8	124	1794	1867	1602	1721	1928	14	1949	1698	22	1795
"DC"	2012	8	125	3014	3131	2715	2897	3207	21	3240	2866	29	2997
"DC"	2012	8	126	2524	2646	2295	2436	2708	17	2744	2427	39	2547
"DC"	2012	6	127	2801	3194	2330	2732	3098	186	3348	2291	267	2925
"DC"	2012	6	128	1640	1864	1399	1630	1792	149	1980	1382	180	1756
"DC"	2012	2	129	1317	1680	1159	1431	1471	266	1797	1045	284	1550
"DC"	2012	6	130	632	906	495	705	690	263	991	435	278	839
"DC"	2012	6	131	1350	1705	1187	1469	1424	333	1820	1126	340	1623
"DC"	2012	7	132	1443	1497	1291	1357	1573	13	1597	1360	26	1431
"DC"	2012	8	133	1042	1067	938	983	1087	12	1110	973	10	1028
"DC"	2012	8	134	1436	1501	1317	1383	1594	9	1608	1368	16	1432
"DC"	2012	5	135	2079	2331	1789	2089	2253	96	2399	1800	135	2182
"DC"	2012	3	136	683	830	538	693	755	103	885	515	122	748
"DC"	2012	1	137	613	696	505	611	675	38	734	494	46	645
"DC"	2012	3	138	1660	2006	1266	1610	1776	318	2142	1173	305	1767
"DC"	2012	5	139	1629	1682	1377	1469	1700	27	1731	1446	31	1553
"DC"	2012	8	140	1374	1453	1195	1290	1502	19	1527	1301	28	1381
"DC"	2012	2	141	1709	2036	1415	1761	1912	193	2159	1291	238	1857
"DC"	2012	6	142	1053	1241	848	1055	1126	138	1298	847	153	1143
"DC"	2012	2	143	1220	1559	1067	1313	1316	332	1684	987	317	1477
