state	year	county	precinct	g2012_REG_tv	g2012_USP_adv	g2012_USP_arv	g2012_USP_atv	g2012_USP_dv	g2012_USP_edv	g2012_USP_erv	g2012_USP_etv	g2012_USP_ldv	g2012_USP_lrv	g2012_USP_ltv	g2012_USP_pdv	g2012_USP_prv	g2012_USP_ptv	g2012_USP_rv	g2012_USP_tv	cd	g2012_USH_lrv	g2012_USH_arv	g2012_USH_erv	g2012_USH_prv	g2012_USH_rv	g2012_USH_ldv	g2012_USH_adv	g2012_USH_edv	g2012_USH_pdv	g2012_USH_dv	g2012_USH_tv	cd2	g2012_REG_tv2	g2012_USH_lrv2	g2012_USH_arv2	g2012_USH_erv2	g2012_USH_prv2	g2012_USH_rv2	g2012_USH_ldv2	g2012_USH_adv2	g2012_USH_edv2	g2012_USH_pdv2	g2012_USH_dv2	g2012_USH_tv2	cd3	g2012_REG_tv3	g2012_USH_lrv3	g2012_USH_arv3	g2012_USH_erv3	g2012_USH_prv3	g2012_USH_rv3	g2012_USH_ldv3	g2012_USH_adv3	g2012_USH_edv3	g2012_USH_pdv3	g2012_USH_dv3	g2012_USH_tv3	cd4	g2012_REG_tv4	g2012_USH_lrv4	g2012_USH_arv4	g2012_USH_erv4	g2012_USH_prv4	g2012_USH_rv4	g2012_USH_ldv4	g2012_USH_adv4	g2012_USH_edv4	g2012_USH_pdv4	g2012_USH_dv4	g2012_USH_tv4	ld	g2012_STH_lrv	g2012_STH_arv	g2012_STH_erv	g2012_STH_prv	g2012_STH_rv	g2012_STH_ldv	g2012_STH_adv	g2012_STH_edv	g2012_STH_pdv	g2012_STH_dv	g2012_STH_tv	ld2	g2012_STH_lrv2	g2012_STH_arv2	g2012_STH_erv2	g2012_STH_prv2	g2012_STH_rv2	g2012_STH_ldv2	g2012_STH_adv2	g2012_STH_edv2	g2012_STH_pdv2	g2012_STH_dv2	g2012_STH_tv2	ld3	g2012_STH_lrv3	g2012_STH_arv3	g2012_STH_erv3	g2012_STH_prv3	g2012_STH_rv3	g2012_STH_ldv3	g2012_STH_adv3	g2012_STH_edv3	g2012_STH_pdv3	g2012_STH_dv3	g2012_STH_tv3	sd	g2012_STS_lrv	g2012_STS_arv	g2012_STS_erv	g2012_STS_prv	g2012_STS_rv	g2012_STS_ldv	g2012_STS_adv	g2012_STS_edv	g2012_STS_pdv	g2012_STS_dv	g2012_STS_tv	sd2	g2012_STS_lrv2	g2012_STS_arv2	g2012_STS_erv2	g2012_STS_prv2	g2012_STS_rv2	g2012_STS_ldv2	g2012_STS_adv2	g2012_STS_edv2	g2012_STS_pdv2	g2012_STS_dv2	g2012_STS_tv2	sd3	g2012_STS_lrv3	g2012_STS_arv3	g2012_STS_erv3	g2012_STS_prv3	g2012_STS_rv3	g2012_STS_ldv3	g2012_STS_adv3	g2012_STS_edv3	g2012_STS_pdv3	g2012_STS_dv3	g2012_STS_tv3
"GA"	2012	"Appling"	"1A"	260	3	13	16	30	11	25	37	15	117	132	1	0	1	155	186	12	92	10	23	1	126	36	5	14	0	55	181																																								156	114	9	30	1	154						154																									19	119	11	30	1	161						161																								
"GA"	2012	"Appling"	"1A1"	281	0	22	23	18	5	42	49	13	130	147	0	0	0	194	219	12	117	17	35	0	169	26	6	14	0	46	215																																								156	127	17	40	0	184						184																									19	98	18	44	0	160						160																								
"GA"	2012	"Appling"	"1B"	1164	13	58	75	111	30	191	223	68	369	440	0	0	0	618	738	12	300	44	162	0	506	129	28	53	0	210	716																																								156	360	54	154	0	568						568																									19	381	58	173	0	612						612																								
"GA"	2012	"Appling"	"1C"	786	8	44	52	41	9	143	154	24	282	316	0	0	0	469	522	12	250	35	117	0	402	64	16	34	0	114	516																																								156	256	45	130	0	431						431																									19	268	49	137	0	454						454																								
"GA"	2012	"Appling"	"1D"	139	1	9	10	6	0	8	9	5	64	70	0	0	0	81	89	12	40	9	9	0	58	27	1	0	0	28	86																																								156	56	9	9	0	74						74																									19	59	10	9	0	78						78																								
"GA"	2012	"Appling"	"2"	1954	100	34	134	796	311	120	432	385	199	588	0	0	0	353	1154	12	155	29	110	0	294	403	95	299	0	797	1091																																								156	326	64	199	0	589						589																									19	350	70	228	0	648						648																								
"GA"	2012	"Appling"	"3A"	289	0	10	10	11	3	34	39	8	146	155	0	1	1	191	205	12	125	8	26	1	160	23	1	12	0	36	196																																								156	123	6	32	1	162						162																									19	128	8	34	1	171						171																								
"GA"	2012	"Appling"	"3B"	340	12	10	22	125	19	23	42	94	67	163	0	0	0	100	227	12	51	7	18	0	76	106	15	22	0	143	219																																								178	77	11	26	0	114						114																									19	86	13	27	0	126						126																								
"GA"	2012	"Appling"	"3C"	1593	42	74	117	286	110	283	395	133	309	452	1	0	1	666	965	12	267	61	239	1	568	177	49	140	0	366	934																																								156	338	86	289	1	714						714																									19	356	89	300	1	746						746																								
"GA"	2012	"Appling"	"4A"	379	1	9	10	15	3	35	38	11	208	223	0	0	0	252	271	12	169	9	28	0	206	50	1	8	0	59	265																																								178	196	9	28	0	233						233																									19	205	9	34	0	248						248																								
"GA"	2012	"Appling"	"4B"	426	1	25	26	9	4	71	75	4	219	227	0	0	0	315	328	12	186	24	61	0	271	33	2	13	0	48	319																																								178	189	23	62	0	274						274																									19	203	22	64	0	289						289																								
"GA"	2012	"Appling"	"4C"	413	0	12	12	13	4	60	64	9	209	218	0	0	0	281	294	12	152	8	55	0	215	57	4	10	0	71	286																																								178	174	11	53	0	238						238																									19	188	11	59	0	258						258																								
"GA"	2012	"Appling"	"4D"	977	3	46	51	80	42	243	287	35	319	358	0	0	0	608	696	12	251	41	202	0	494	93	10	76	0	179	673																																								178	295	47	222	0	564						564																									19	313	51	238	0	602						602																								
"GA"	2012	"Appling"	"5A"	1014	6	38	46	86	31	182	217	49	265	320	0	0	0	485	583	12	216	25	158	0	399	90	18	49	0	157	556																																								156	252	29	163	0	444						444																									19	267	33	179	0	479						479																								
"GA"	2012	"Appling"	"5B"	583	5	13	18	102	18	93	114	79	150	234	0	0	0	256	366	12	126	13	78	0	217	102	5	30	0	137	354																																								156	165	16	89	0	270						270																									19	178	17	97	0	292						292																								
"GA"	2012	"Appling"	"5C"	357	5	16	21	29	5	41	46	19	152	173	0	0	0	209	240	12	131	15	32	0	178	41	6	14	0	61	239																																								156	147	11	33	0	191						191																									19	158	14	38	0	210						210																								
"GA"	2012	"Atkinson"	"Axson"	635	6	14	20	62	11	137	148	45	244	292	0	0	0	395	460	8	202	19	109	0	330						330																																								176	210	19	111	0	340						340																									7	230	17	115	0	362	41	1	21	0	63	425																								
"GA"	2012	"Atkinson"	"Pearson City"	887	25	15	40	353	166	100	267	162	63	226	0	0	0	178	533	8	117	19	135	0	271						271																																								176	123	19	139	0	281						281																									7	72	17	102	0	191	123	18	129	0	270	461																								
"GA"	2012	"Atkinson"	"Pearson County"	1632	14	70	87	226	118	516	642	94	270	370	0	0	0	856	1099	8	275	66	468	0	809						809																																								176	281	68	472	0	821						821																									7	264	61	488	0	813	80	18	129	0	227	1040																								
"GA"	2012	"Atkinson"	"Willacoochee"	1217	13	27	41	289	54	154	210	222	328	559	0	0	0	509	810	8	356	29	154	0	539						539																																								176	354	29	156	0	539						539																									7	307	24	132	0	463	209	16	62	0	287	750																								
"GA"	2012	"Bacon"	"Douglas"	2683	21	53	74	599	234	940	1187	344	454	805	0	0	0	1447	2066	1	483	64	952	0	1499	225	10	182	0	417	1916																																								169	510	50	871	0	1431						1431																									7	465	51	923	0	1439	234	18	195	0	447	1886																								
"GA"	2012	"Bacon"	"New Lacy"	873	0	8	8	79	33	355	390	46	256	306	0	1	1	620	705	1	254	7	343	1	605	37	1	34	0	72	677																																								169	235	5	307	1	548						548																									7	254	6	338	1	599	37	1	33	0	71	670																								
"GA"	2012	"Bacon"	"Taylor"	695	3	14	18	54	21	270	293	30	220	255	0	0	0	504	566	1	219	15	251	0	485	27	4	31	0	62	547																																								169	204	17	222	0	443						443																									7	208	15	252	0	475	26	5	27	0	58	533																								
"GA"	2012	"Bacon"	"Ware"	421	2	11	14	37	14	148	164	21	140	165	0	0	0	299	343	1	143	13	146	0	302	15	2	13	0	30	332																																								169	121	12	133	0	266						266																									7	137	12	140	0	289	17	3	14	0	34	323																								
"GA"	2012	"Bacon"	"Warnock"	309	0	3	3	22	8	102	111	14	118	136	0	0	0	223	250	1	120	3	98	0	221	13	0	11	0	24	245																																								169	112	1	88	0	201						201																									7	119	1	99	0	219	13	0	6	0	19	238																								
"GA"	2012	"Baker"	"Anna"	150	1	5	6	36	5	7	12	29	65	95	1	0	1	77	114	2	38	4	7	0	49	51	2	5	1	59	108																																								154						48	0	7	0	55	55																									12						43	1	7	0	51	51																								
"GA"	2012	"Baker"	"Elmodel"	427	15	7	22	175	84	33	117	76	93	169	0	1	1	134	309	2	61	4	27	1	93	103	18	88	0	209	302																																								154						107	17	86	1	211	211																									12						110	16	79	1	206	206																								
"GA"	2012	"Baker"	"Hoggard Mill"	312	15	4	19	127	30	25	55	79	55	135	3	0	3	84	212	2	42	1	22	0	65	89	18	32	2	141	206																																								154						108	13	35	2	158	158																									12						103	13	33	2	151	151																								
"GA"	2012	"Baker"	"Milford"	285	8	14	22	103	17	19	36	78	91	170	0	0	0	124	228	2	70	13	14	0	97	95	8	20	0	123	220																																								154						104	7	23	0	134	134																									12						98	5	25	0	128	128																								
"GA"	2012	"Baker"	"Newton"	988	34	47	84	353	139	162	301	180	157	341	0	0	0	366	726	2	103	37	127	0	267	231	43	168	0	442	709																																								154						243	50	189	0	482	482																									12						237	46	174	0	457	457																								
"GA"	2012	"Baldwin"	"Boddie"	712	54	4	59	333	101	77	178	178	55	236	0	0	0	136	473	10	112	22	98	0	232						232																																								145						170	51	96	0	317	454																									25	49	7	67	0	123	148	51	95	0	294	417																								
"GA"	2012	"Baldwin"	"City Hall Annex"	620	23	23	47	284	122	54	177	137	56	197	2	0	2	133	423	10	100	23	82	1	206						206																																								145						123	23	108	2	256	407																									25	54	15	50	1	120	125	25	114	1	265	385																								
"GA"	2012	"Baldwin"	"Coopers"	1260	10	21	32	301	119	221	346	171	402	578	1	0	1	644	957	10	428	21	247	1	697						697																																								145						174	11	112	1	298	910																									25	327	21	190	0	538	216	10	142	1	369	907																								
"GA"	2012	"Baldwin"	"Courthouse"	918	21	18	39	248	127	99	230	100	117	227	0	0	0	234	496	10	162	28	132	0	322						322																																								145						79	18	101	0	198	457																									25	113	20	90	0	223	98	18	115	0	231	454																								
"GA"	2012	"Baldwin"	"East Baldwin"	3015	45	55	101	1067	540	673	1221	482	538	1037	0	1	1	1267	2360	10	703	72	790	1	1566						1566																																								145						428	41	487	0	956	2266																									25	481	49	602	1	1133	498	50	541	0	1089	2222																								
