state	year	precinct	precinct_code	g2012_REG_tv	g2012_BALL_tv	cd	ld	sd	g2012_USP_adv	g2012_USP_arv	g2012_USP_atv	g2012_USP_dv	g2012_USP_edv	g2012_USP_erv	g2012_USP_etv	g2012_USP_ldv	g2012_USP_lrv	g2012_USP_ltv	g2012_USP_rv	g2012_USP_tv	g2012_USS_adv	g2012_USS_arv	g2012_USS_atv	g2012_USS_dv	g2012_USS_edv	g2012_USS_erv	g2012_USS_etv	g2012_USS_ldv	g2012_USS_lrv	g2012_USS_ltv	g2012_USS_rv	g2012_USS_tv	g2012_USH_adv	g2012_USH_edv	g2012_USH_ldv	g2012_USH_arv	g2012_USH_erv	g2012_USH_lrv	g2012_USH_atv	g2012_USH_etv	g2012_USH_ltv	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	g2012_STH_adv	g2012_STH_edv	g2012_STH_ldv	g2012_STH_arv	g2012_STH_erv	g2012_STH_lrv	g2012_STH_atv	g2012_STH_etv	g2012_STH_ltv	g2012_STH_dv	g2012_STH_rv	g2012_STH_tv	g2012_STS_adv	g2012_STS_edv	g2012_STS_ldv	g2012_STS_arv	g2012_STS_erv	g2012_STS_lrv	g2012_STS_atv	g2012_STS_etv	g2012_STS_ltv	g2012_STS_dv	g2012_STS_rv	g2012_STS_tv
"HI"	2012	"01-01"	1	2839	1712	2		4	549	82	645	1371	126	34	164	696	172	895	288	1704	492	142	634	1254	117	48	165	645	243	888	433	1687	552	131	765	69	30	110	621	161	875	1448	209	1657													428	106	590				614	160	842	1124	0	1616
"HI"	2012	"01-02"	2	906	583	2		4	171	41	217	456	30	11	41	255	58	323	110	581	155	61	216	425	29	12	41	241	78	319	151	576	179	35	263	32	6	45	211	41	308	477	83	560													154	24	209				202	39	302	387	0	543
"HI"	2012	"01-03"	3	982	642	2		4	198	50	256	503	41	8	50	264	60	334	118	640	174	75	249	454	35	15	50	245	86	331	176	630	212	38	264	35	10	50	247	48	314	514	95	609													174	33	210				237	44	301	417	0	582
"HI"	2012	"01-04"	4	301	196	2		4	30	16	46	135	19	7	26	86	31	124	54	196	26	18	44	126	14	12	26	86	37	123	67	193	32	19	96	12	7	27	44	26	123	147	46	193													15	17	71				35	24	117	103	0	176
"HI"	2012	"01-05"	5	1758	1126	2		4	341	58	401	929	94	32	126	494	90	597	180	1124	306	89	395	857	89	36	125	462	131	593	256	1113	338	96	508	54	21	78	392	117	586	942	153	1095													306	78	423				370	111	547	807	0	1028
"HI"	2012	"01-06"	6	1379	938	2		4	265	79	348	720	112	24	137	343	93	449	196	934	241	108	349	658	101	36	137	316	128	444	272	930	285	108	349	52	24	77	337	132	426	742	153	895													234	93	276				308	123	396	603	0	827
"HI"	2012	"01-07"	7	1731	954	2			203	65	275	721	137	29	170	381	102	504	196	949	177	94	271	678	127	43	170	374	128	502	265	943	206	130	396	60	32	91	266	162	487	732	183	915																								
"HI"	2012	"01-08"	8	4717	3182	2			1079	244	1341	2490	389	101	496	1022	269	1322	614	3159	984	349	1333	2249	352	142	494	913	392	1305	883	3132	1111	404	1065	180	80	205	1291	484	1270	2580	465	3045																								
"HI"	2012	"01-09"	9	0	0	2		4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0				0	0	0	0	0	0
"HI"	2012	"01-10"	10	1693	1128	2			323	80	409	882	113	23	136	446	118	576	221	1121	288	116	404	793	99	36	135	406	161	567	313	1106	344	110	476	49	24	83	393	134	559	930	156	1086																								
"HI"	2012	"02-01"	11	3821	2191	2			734	159	908	1724	290	86	383	700	155	883	400	2174	660	232	892	1565	257	120	377	648	226	874	578	2143	756	307	721	109	59	129	865	366	850	1784	297	2081																								
"HI"	2012	"02-02"	12	1962	938	2			279	43	325	749	116	30	149	354	92	456	165	930	265	57	322	701	106	41	147	330	122	452	220	921	283	122	357	31	23	82	314	145	439	762	136	898																								
"HI"	2012	"02-03"	13	1510	913	2			177	30	209	784	109	14	125	498	68	575	112	909	160	49	209	721	97	27	124	464	109	573	185	906	176	101	473	28	22	94	204	123	567	750	144	894																								
"HI"	2012	"02-04"	14	5298	3495	2			1208	213	1434	2866	495	93	595	1163	249	1437	555	3466	1131	292	1423	2641	442	146	588	1068	363	1431	801	3442	1225	500	1218	142	71	186	1367	571	1404	2943	399	3342																								
"HI"	2012	"02-05"	15	3305	2346	2			907	190	1112	1910	329	73	403	674	130	815	393	2330	841	265	1106	1764	291	108	399	632	177	809	550	2314	953	351	725	117	41	76	1070	392	801	2029	234	2263																								
"HI"	2012	"03-01"	16	3773	2600	2	3		887	200	1096	2103	308	61	372	908	191	1113	452	2581	825	261	1086	1903	282	90	372	796	303	1099	654	2557	899	315	920	152	43	138	1051	358	1058	2134	333	2467	812	248	713	256	109	338	1081	365	1077	1773	703	2523												
"HI"	2012	"03-02"	17	425	283	2	3	2	238	28	268	249	11	2	13	0	0	0	30	281	216	45	261	225	9	4	13	0	0	0	49	274	233	8	0	24	1	0	257	9	0	241	25	266	185	7	0	60	3	0	260	10	0	192	63	270	189	5	0	41	3	0	230	8	0	194	44	238
"HI"	2012	"03-03"	18	183	106	2	3	2	64	39	104	66	2	0	2	0	0	0	39	106	59	42	101	61	2	0	2	0	0	0	42	103	74	2	0	23	0	0	97	2	0	76	23	99	55	2	0	38	0	0	96	2	0	57	38	98	60	2	0	31	0	0	91	2	0	62	31	93
"HI"	2012	"03-04"	19	4728	2823	2	3	2	675	193	896	2169	322	75	405	1172	286	1504	554	2805	634	246	880	2051	295	109	404	1122	373	1495	728	2779	726	325	1261	131	70	200	857	395	1461	2312	401	2713	476	187	741	296	151	508	860	399	1453	1404	955	2712	648	301	1102	163	81	303	811	382	1405	2051	547	2598
"HI"	2012	"03-05"	20	2527	1439	2	3	2	289	94	393	1097	143	30	180	665	171	862	295	1435	270	119	389	1032	126	54	180	636	221	857	394	1426	302	137	700	83	39	135	385	176	835	1139	257	1396	199	102	407	135	51	305	375	175	824	708	491	1374	247	126	594	105	46	209	352	172	803	967	360	1327
