[0.419953,0.062873,0.054457,0.246543,0.167401,0.364310,0.405209,0.263851,0.133723]	[176.106309,217.168142,180.068741,216.573151,203.730487,154.833957,193.990423,235.079425,285.221184]	1271
[0.237164,0.149850,0.356406,0.299319,0.362002,0.525096,0.695194,0.293799,0.093216]	[187.376829,188.945145,213.382635,184.084037,179.009559,150.491855,195.761135,235.850199,295.844659]	1169
[0.216361,0.456397,0.244682,0.342616,0.190518,0.218199,0.229928,0.156852,0.071752]	[199.513030,227.165009,269.536397,141.089843,233.459620,210.209041,213.690361,174.477233,221.970930]	1526
[0.101080,0.249012,0.287206,0.498109,0.108161,0.246511,0.365241,0.296975,0.119011]	[162.603204,200.952796,259.586544,195.278699,206.433056,145.038692,239.699769,242.324111,214.452984]	1359
[0.099411,0.252971,0.237009,0.217294,0.213323,0.468917,0.182864,0.362434,0.156259]	[152.739127,216.779929,220.098329,174.817714,224.679304,143.787246,240.782030,220.566262,241.905743]	997
[0.252003,0.081671,0.254642,0.267272,0.216805,0.434531,0.326033,0.526891,0.264858]	[132.222980,214.501829,205.270998,203.779147,214.330563,133.949126,225.504630,218.794373,267.237600]	760
[0.453455,0.152100,0.163180,0.194569,0.223708,0.259912,0.281175,0.442024,0.476166]	[135.820938,194.031303,191.388257,218.094660,221.963942,161.172568,215.112149,218.857532,271.424436]	1051
[0.321891,0.333328,0.284230,0.191294,0.375727,0.498196,0.144640,0.399535,0.299089]	[150.436460,210.094136,247.253826,200.563788,213.699559,138.990593,201.335205,211.704225,238.969333]	1231
[0.199235,0.268891,0.233077,0.137014,0.200659,0.653743,0.206825,0.236267,0.140116]	[181.074796,229.878996,270.152080,204.271641,210.614439,142.350457,191.452183,177.551395,229.760708]	847
[0.176555,0.101152,0.239779,0.288198,0.330703,0.198882,0.403826,0.255370,0.196435]	[155.572278,226.791010,164.691898,212.703978,278.444030,137.813143,211.711688,197.809472,216.244857]	984
[0.434294,0.087919,0.260123,0.197620,0.340106,0.323507,0.312486,0.300938,0.204327]	[135.018916,267.812786,216.430854,243.935451,156.089881,130.680996,212.097946,212.685087,214.029496]	772
[0.461655,0.114608,0.112778,0.223144,0.493696,0.421390,0.224858,0.200886,0.258333]	[136.795272,239.769916,232.168534,240.606918,195.163277,141.108614,243.024157,191.167146,200.755752]	945
[0.640610,0.039528,0.085121,0.166049,0.455405,0.490414,0.214571,0.191627,0.257370]	[124.672574,214.384346,211.825739,247.734220,199.217180,216.510899,254.345642,200.216307,199.184276]	673
[0.733067,0.048468,0.106125,0.159698,0.480606,0.202531,0.192729,0.167728,0.273675]	[131.786172,192.419473,214.006072,226.733377,202.189705,237.196273,255.408286,216.807735,196.529801]	472
[0.340539,0.094827,0.428012,0.158821,0.286115,0.248293,0.444415,0.346101,0.197292]	[146.956395,201.443838,154.963572,232.466467,214.638069,224.298061,247.012962,210.071102,229.160178]	821
[0.382902,0.379200,0.300508,0.106305,0.228950,0.421708,0.098057,0.501110,0.227514]	[172.010061,226.680051,197.011072,243.046533,209.072964,145.742685,212.068037,195.210181,271.245855]	1380
[0.281651,0.292500,0.350527,0.305966,0.298173,0.457557,0.178617,0.166842,0.273933]	[157.690065,210.390600,210.070038,284.988139,167.283911,195.884184,145.202726,226.984915,231.439862]	1267
[0.200128,0.117254,0.404815,0.358906,0.172069,0.281070,0.202417,0.252348,0.203781]	[177.849868,203.175922,210.186283,267.557706,177.912094,196.951756,125.877406,247.595531,223.446280]	872
[0.366068,0.135985,0.421162,0.316058,0.554512,0.282126,0.524259,0.255285,0.223299]	[174.976557,209.662536,286.056219,264.641518,192.424709,174.039532,155.426287,205.559488,203.175231]	1033
[0.475941,0.224272,0.219534,0.355136,0.240471,0.190226,0.315927,0.261118,0.217038]	[136.605958,205.110191,231.689697,284.960928,229.797558,197.535723,146.154535,219.834429,200.664789]	1042
[0.355645,0.104980,0.241441,0.263948,0.356618,0.332641,0.328346,0.146957,0.391643]	[132.989000,199.863662,237.787859,286.280600,216.964968,206.573075,147.132867,206.560808,201.560102]	738
[0.504974,0.068457,0.187293,0.324285,0.203707,0.300687,0.273907,0.216743,0.325417]	[143.368945,221.502997,224.698102,259.936073,213.498226,220.076667,150.525600,206.338392,208.765142]	549
[0.668373,0.062856,0.226642,0.181789,0.163186,0.146590,0.239424,0.232676,0.244599]	[137.636367,170.554189,203.763017,251.725306,246.874524,182.722409,218.673017,222.297381,206.513244]	922
[0.816077,0.167741,0.329583,0.103490,0.339392,0.210028,0.468592,0.413643,0.186167]	[130.620527,199.436656,253.104630,223.177337,225.222277,202.987579,135.970860,221.225346,226.945801]	1052
[0.482435,0.193163,0.221758,0.249081,0.163105,0.254051,0.223227,0.345360,0.240996]	[130.989303,245.034780,199.199663,209.993863,183.648247,216.436958,184.683576,234.162903,210.446501]	751
[0.694758,0.209936,0.174790,0.202506,0.333197,0.090709,0.444566,0.596227,0.240151]	[134.625242,229.480976,206.455758,277.936144,164.641702,203.844313,208.215497,219.314484,222.144784]	808
[0.330533,0.051691,0.165014,0.360881,0.167269,0.451350,0.165964,0.335761,0.308695]	[132.191768,217.062036,187.835738,175.126971,203.646230,255.374808,196.503054,211.036977,211.990248]	1111
[0.774921,0.058563,0.178978,0.437637,0.198542,0.500513,0.464069,0.287941,0.197027]	[130.231293,221.453076,186.501192,154.750577,184.432206,258.675752,226.001920,224.693467,236.055672]	792
[0.209439,0.328868,0.424044,0.268156,0.130293,0.266475,0.590783,0.438588,0.395239]	[176.788302,237.706843,199.855119,196.117017,142.673304,244.913081,221.817981,204.556708,228.610766]	1183
[0.065105,0.172915,0.126423,0.138648,0.256848,0.088353,0.264188,0.365779,0.207587]	[142.671937,229.102418,212.746631,222.332347,169.426311,187.998912,239.138842,233.037691,227.829672]	1364
[0.519295,0.348847,0.248938,0.097820,0.161765,0.400665,0.188700,0.311857,0.264244]	[177.183728,236.243781,170.236332,182.977224,194.673444,207.305705,219.647302,205.984865,255.042004]	1444
