[0.641336,0.196730,0.269550,0.454204,0.259355,0.441630,0.477682,0.330029,0.343553]	[138.033251,183.070622,203.886042,167.219006,207.671661,182.085080,251.174090,274.584240,209.814017]	452
[0.689448,0.209418,0.157329,0.562244,0.183138,0.296150,0.490871,0.253045,0.303237]	[139.378823,189.774779,211.272714,162.299224,213.593347,201.825669,225.655805,276.472787,196.921477]	519
[0.244224,0.181707,0.153055,0.534534,0.137266,0.285072,0.556360,0.260923,0.291015]	[154.775535,184.071762,208.463880,164.420224,188.223525,209.130638,226.869122,288.344592,213.467484]	615
[0.222603,0.168732,0.151609,0.571843,0.175116,0.299799,0.524171,0.259487,0.351046]	[147.507948,179.912890,203.818405,175.637097,186.277137,213.209799,233.080824,280.025991,205.803123]	527
[0.448383,0.181180,0.192713,0.405000,0.157626,0.311136,0.252790,0.257285,0.325182]	[155.385236,189.527513,206.366093,167.132363,164.682975,215.187233,232.725345,254.813152,217.012278]	344
[0.269678,0.155690,0.115783,0.254470,0.136415,0.347472,0.438211,0.217899,0.338088]	[152.815958,193.371299,215.653944,161.955376,158.268724,207.326500,237.477331,265.375351,208.720187]	539
[0.306146,0.095258,0.096225,0.415193,0.144397,0.314846,0.416574,0.261525,0.368110]	[154.176054,171.050686,200.255573,186.942315,154.591131,201.715933,233.474857,275.761973,203.376586]	584
[0.384244,0.078937,0.241245,0.123826,0.292092,0.236425,0.241716,0.053644,0.273466]	[157.017016,187.532647,210.798143,187.386280,226.100687,211.585647,250.452132,216.516473,226.273230]	1440
[0.554216,0.043715,0.285672,0.261425,0.184901,0.147796,0.263417,0.060615,0.222785]	[161.868929,156.191686,211.846628,224.093117,186.664157,205.381361,240.293025,209.494227,240.975497]	718
[0.422941,0.041948,0.340370,0.390520,0.229421,0.268878,0.353188,0.099982,0.263457]	[151.735362,152.924422,213.476210,222.487957,231.853296,213.662224,246.932152,213.563745,216.272423]	743
[0.296438,0.083598,0.429123,0.313944,0.153597,0.238150,0.411243,0.269781,0.227872]	[174.867403,160.701776,234.541394,208.231251,209.221286,156.206079,244.319294,211.964700,202.564197]	905
[0.158055,0.090745,0.359386,0.278652,0.175899,0.173786,0.188743,0.324851,0.281885]	[203.051130,194.194453,210.537646,170.243395,183.492341,209.137256,235.234696,227.425352,221.497816]	1142
[0.352780,0.168732,0.110118,0.119660,0.318719,0.267809,0.206669,0.150088,0.242163]	[200.151848,185.309939,228.379332,166.594475,179.992220,260.903934,232.054963,194.734709,237.546804]	1419
[0.365515,0.136784,0.419042,0.574749,0.362557,0.329297,0.251995,0.166348,0.152459]	[214.025735,217.115624,203.765064,127.257484,227.029254,189.490879,226.097426,186.757580,259.517261]	1301
[0.257457,0.233609,0.293610,0.163713,0.217456,0.317190,0.337164,0.505622,0.246803]	[212.394536,199.305898,173.659651,155.344413,195.414623,210.565957,267.542024,173.502625,241.975104]	918
[0.305140,0.163224,0.192713,0.166945,0.263404,0.303752,0.287457,0.265443,0.254052]	[223.024614,190.034975,176.450490,156.673326,227.036162,192.884532,276.401759,172.093322,227.602438]	1295
[0.084778,0.124713,0.285831,0.409419,0.298994,0.278417,0.230436,0.288221,0.281882]	[223.705017,172.347446,162.415862,165.899465,232.321388,194.011567,253.467651,175.609745,225.568791]	668
[0.354747,0.139523,0.284366,0.037078,0.347425,0.321244,0.353899,0.193771,0.384162]	[189.112039,205.436066,184.589719,136.478947,235.949664,213.297339,248.892243,197.518159,218.573092]	1165
[0.350043,0.118918,0.249481,0.094189,0.203640,0.261143,0.307218,0.152679,0.372132]	[181.574878,188.023359,159.658484,166.851026,229.897392,209.263745,245.929486,216.076583,225.142200]	760
[0.424432,0.242412,0.255667,0.042588,0.178283,0.278350,0.181171,0.338136,0.270640]	[189.808774,193.665452,172.238670,152.626169,235.361869,145.067197,227.292838,279.614674,207.557629]	1179
[0.399439,0.074969,0.375811,0.282279,0.103110,0.195233,0.065232,0.235260,0.330181]	[188.136010,147.422684,182.344645,256.366527,252.161817,129.612655,222.509209,223.430805,205.085057]	993
[0.099736,0.205260,0.049248,0.409772,0.225374,0.224634,0.347929,0.159347,0.275661]	[205.898485,167.911046,172.721637,239.715784,230.480696,174.129416,232.597840,221.816255,222.144024]	1305
