[0.462861,0.409156,0.059114,0.396501,0.241793,0.237875,0.081642]	[115.577552,144.752822,136.618418,106.573724,139.290023,129.440275,129.246263]	1013
[0.239900,0.114372,0.165302,0.485641,0.357462,0.244796,0.150512]	[112.990885,141.004122,121.462941,98.751764,157.026751,130.581638,133.507858]	1877
[0.414542,0.054050,0.116177,0.383159,0.362760,0.092497,0.224425]	[129.543680,124.933432,114.605841,111.419752,158.874359,145.987484,132.140154]	1605
[0.321293,0.210987,0.281012,0.276808,0.346063,0.114022,0.231475]	[119.429498,139.121959,122.492078,102.427082,144.156617,128.129279,158.046973]	2310
[0.225163,0.286580,0.627075,0.217009,0.301026,0.053357,0.163064]	[132.484007,154.236095,116.638818,119.810610,131.686042,116.427900,159.320497]	1644
[0.150308,0.318255,0.388176,0.338820,0.328311,0.160777,0.194022]	[121.129286,135.741228,118.304151,129.441198,145.041092,127.832816,158.709912]	1226
[0.131914,0.275469,0.287833,0.469834,0.465591,0.127542,0.153396]	[130.996906,131.244368,110.186469,134.479020,149.668771,118.904584,159.849165]	1127
[0.107479,0.310499,0.296054,0.286188,0.747161,0.257842,0.188597]	[144.692925,119.309779,107.449820,108.366205,152.963443,116.845377,160.556796]	1486
[0.219867,0.495060,0.288555,0.252487,0.294785,0.333245,0.137347]	[142.249876,156.998242,110.286430,105.483950,127.691154,124.023356,140.573420]	2443
[0.241289,0.129808,0.165167,0.322090,0.084796,0.319876,0.240929]	[135.217388,137.477818,117.892822,92.572831,148.296847,121.956012,156.745680]	1896
[0.227449,0.365819,0.158004,0.106616,0.197067,0.218175,0.291888]	[145.654882,137.658097,125.872611,120.954891,131.296998,123.493579,148.245340]	2212
[0.142994,0.124849,0.252034,0.332779,0.323350,0.138346,0.219560]	[119.694305,144.579611,106.319432,117.612744,139.974622,107.977445,148.644853]	1970
[0.286646,0.142921,0.342054,0.165692,0.119187,0.231723,0.301905]	[118.140243,130.808908,137.195960,125.462618,155.927646,113.925101,141.705397]	2170
[0.144182,0.169070,0.220041,0.111365,0.094172,0.115167,0.272566]	[119.124188,147.411593,116.978826,128.533793,140.400938,91.101431,147.327161]	1897
[0.202727,0.392393,0.262972,0.099291,0.279101,0.327860,0.282822]	[123.419286,149.771447,122.631001,97.311401,153.172171,122.188081,139.055860]	1756
[0.311077,0.336127,0.173088,0.437595,0.134041,0.139624,0.084034]	[111.481853,160.180494,118.955620,84.651804,144.537974,123.084245,126.016008]	2032
[0.066154,0.168191,0.217814,0.172655,0.165122,0.350942,0.175447]	[130.542158,158.352274,101.017724,98.420018,147.678075,144.029301,133.330428]	2488
[0.206652,0.268653,0.279332,0.185865,0.309783,0.284504,0.119998]	[127.561035,150.533425,101.958950,99.264684,145.334965,127.305700,147.464145]	2309
