[0.374147,0.503067,0.109360,0.236664,0.208138]	[261.830586,266.276408,321.723678,299.012007,258.991651]	156
[0.469311,0.737987,0.093449,0.218586,0.065293]	[256.098979,269.967357,302.876774,322.528146,232.466036]	334
[0.392941,0.412005,0.095266,0.655721,0.415947]	[252.343196,288.965839,302.467554,301.920490,237.896138]	178
[0.264710,0.209329,0.098145,0.632146,0.393284]	[237.871019,254.206586,310.329192,301.991472,303.833510]	222
[0.445610,0.587280,0.071661,0.756711,0.400933]	[278.322253,290.485049,320.681024,281.075570,220.868208]	226
[0.183500,0.600599,0.152686,0.367565,0.327727]	[272.549171,271.243765,297.528591,314.250415,244.976571]	185
[0.309748,0.517403,0.103402,0.605206,0.686774]	[265.175437,267.768868,301.181410,308.470180,250.436716]	151
[0.235543,0.377125,0.072066,0.387399,0.260663]	[272.212974,247.682044,318.802194,289.269525,289.121727]	230
[0.412970,0.660390,0.080744,0.722894,0.380234]	[253.745707,287.065660,318.714391,292.560569,229.061728]	219
[0.348507,0.327809,0.118067,0.327211,0.345159]	[251.816326,279.162761,308.086785,305.419773,262.731112]	241
[0.420717,0.667888,0.082904,0.689519,0.391252]	[250.670011,292.225036,310.298717,300.275480,223.737327]	229
[0.402080,0.639991,0.072877,0.362174,0.549848]	[281.074127,253.846369,319.875186,297.435894,247.342055]	109
[0.313985,0.312487,0.174802,0.478943,0.463432]	[218.562052,278.503304,293.635394,322.115794,283.173674]	345
[0.489379,0.352509,0.181240,0.470851,0.388120]	[238.668557,288.880607,288.288185,306.986971,269.672640]	280
[0.315116,0.507016,0.170337,0.368232,0.226765]	[264.024159,276.104427,293.982635,314.660678,238.838474]	165
[0.278530,0.596482,0.136803,0.608644,0.245539]	[265.974510,281.718689,299.776555,305.812971,243.047558]	99
[0.268858,0.357016,0.151243,0.519008,0.262300]	[256.172421,271.978544,294.311496,306.273419,266.128441]	217
[0.529017,0.380278,0.138237,0.404233,0.214593]	[244.810138,293.458294,291.179252,308.146854,260.048624]	184
[0.412831,0.462191,0.162983,0.328189,0.700981]	[246.871609,284.237876,297.276516,311.576114,249.633406]	197
[0.385330,0.613368,0.154063,0.527545,0.427270]	[271.899896,263.185640,292.097072,320.485076,241.167068]	97
[0.447504,0.373580,0.077937,0.159072,0.408099]	[276.873051,260.795857,331.796463,207.737726,317.375228]	400
[0.316299,0.468033,0.073729,0.341172,0.172405]	[303.206496,258.693124,300.905690,278.591470,268.238941]	309
[0.379469,0.319855,0.067200,0.162530,0.142638]	[288.162799,269.478854,318.972017,281.889818,252.222264]	275
[0.480981,0.339832,0.071368,0.356793,0.226165]	[293.784942,270.108744,303.897102,283.240540,260.268869]	244
[0.459180,0.603316,0.068514,0.146433,0.249000]	[295.935989,283.087394,312.754196,275.834816,233.295587]	243
[0.405063,0.581927,0.066589,0.138723,0.268549]	[292.675008,279.402423,316.918149,274.441412,248.485293]	188
[0.547895,0.752587,0.085687,0.191802,0.272544]	[297.263103,272.503627,316.589703,292.733229,224.341279]	207
[0.566370,0.623894,0.093729,0.251867,0.410875]	[298.850551,249.322235,313.783369,321.752435,212.888586]	158
[0.338072,0.649055,0.111184,0.346417,0.335282]	[297.678560,264.555841,314.020128,221.883871,292.019848]	382
