[0.314531,0.109347,0.126274,0.395892,0.141335,0.463732,0.275511,0.560469,0.348351,0.394859,0.441029,0.306841,0.363237,0.217266]	[254.955908,141.134366,152.275403,155.187547,115.006682,150.545694,155.104179,143.698283,125.694578,308.295086,154.247646,161.326340,193.861801,112.693023]	1592
[0.337282,0.206212,0.125953,0.335989,0.221538,0.680637,0.272179,0.711787,0.651663,0.478751,0.476810,0.637442,0.271096,0.214915]	[277.650283,139.128371,147.706135,153.130159,105.025973,151.682869,162.983203,135.027706,131.427441,281.412493,158.083315,173.679743,223.597587,108.774449]	854
[0.419664,0.537966,0.356828,0.563568,0.226092,0.688786,0.206510,0.739210,0.545968,0.722032,0.522392,0.305911,0.250750,0.216495]	[280.003179,114.842298,160.242510,151.228856,102.401882,154.370516,167.429702,130.079102,134.132383,282.877528,150.406255,172.587643,173.010029,94.118442]	746
[0.217574,0.505088,0.403310,0.505978,0.244967,0.673690,0.147480,0.669508,0.579484,0.337113,0.228160,0.606839,0.258638,0.223680]	[274.116759,106.617238,168.064821,143.113889,101.320690,167.468096,172.545747,128.113770,131.015837,275.039749,154.698752,167.377745,193.373019,98.741700]	606
[0.271007,0.201409,0.254854,0.116248,0.259176,0.390670,0.349519,0.412830,0.224306,0.307198,0.379427,0.296301,0.116056,0.356596]	[315.867761,134.920400,170.672590,166.119487,117.404984,160.639842,154.327538,139.753951,121.967931,238.926703,145.903229,173.084040,215.218984,103.181512]	1201
[0.465082,0.287668,0.306758,0.308082,0.332406,0.365867,0.493532,0.346621,0.476317,0.312219,0.223104,0.437099,0.330430,0.325328]	[313.664103,156.427288,181.738716,153.278145,132.817119,155.411576,133.883060,142.197051,122.909379,202.552666,140.557114,171.853795,197.762349,112.475272]	971
[0.364693,0.240102,0.334165,0.276332,0.253619,0.833546,0.436563,0.690962,0.510221,0.189665,0.133028,0.354323,0.300367,0.511088]	[300.967334,260.768433,161.846332,146.867844,125.164631,163.020624,131.925269,141.923402,120.582570,242.818055,169.325156,183.948431,191.836647,109.692732]	1016
[0.431766,0.434182,0.346016,0.281552,0.233074,0.832082,0.529252,0.562091,0.620902,0.460014,0.338920,0.271740,0.483184,0.387210]	[302.924294,184.424688,176.806294,142.645827,125.810376,167.061432,132.686240,138.882241,126.310241,263.737815,145.869463,188.762787,175.212635,110.525934]	864
[0.281747,0.417100,0.287946,0.309033,0.344461,0.565980,0.539051,0.450239,0.539249,0.293325,0.295856,0.223412,0.370194,0.475737]	[299.098151,255.756280,135.219116,141.338496,130.204305,164.513167,133.711282,133.821551,126.734186,244.143137,193.687920,204.193537,175.980826,132.081371]	705
[0.309549,0.408053,0.369691,0.275843,0.306014,0.589497,0.516293,0.472067,0.436320,0.440196,0.469190,0.327285,0.278465,0.316636]	[305.115960,223.302494,143.168377,155.026677,135.512298,152.010426,133.158290,136.467633,143.034273,262.461286,151.052544,180.635566,193.235705,113.005515]	1015
