[0.351222,0.460938,0.188419,0.231606,0.189236,0.343112,0.245065,0.437647,0.396177]	[127.485200,111.076770,127.312192,137.668091,85.392765,106.631737,120.480077,98.668540,112.224191]	1752
[0.276689,0.616576,0.278078,0.163043,0.175416,0.343148,0.453943,0.478006,0.527849]	[119.749618,114.643422,124.432971,125.045138,89.954894,136.213200,112.479420,91.374969,112.013291]	1540
[0.280518,0.520417,0.352015,0.368048,0.502189,0.267044,0.332907,0.378766,0.441371]	[120.954127,116.094850,131.313489,131.370715,89.682131,125.426724,110.066017,89.854622,111.139674]	1168
[0.245197,0.407960,0.196259,0.323771,0.195065,0.228138,0.405062,0.379587,0.565441]	[127.544364,113.008920,136.430330,127.918794,91.120522,116.161566,120.384671,87.117555,110.181968]	1438
[0.315694,0.246642,0.656234,0.440116,0.136763,0.335722,0.244519,0.323514,0.366632]	[126.484699,114.497578,128.204605,117.310518,92.307108,126.921407,135.444889,87.434870,105.397754]	1769
[0.403745,0.291947,0.257353,0.403326,0.434675,0.247849,0.410091,0.473351,0.419914]	[117.617682,111.291917,130.475400,137.857180,89.715569,126.110697,117.289773,88.892214,107.615048]	1411
[0.301123,0.399858,0.581707,0.198209,0.265271,0.311577,0.496454,0.457498,0.434619]	[137.054997,113.853029,136.205309,123.599481,88.906731,115.683898,114.981897,91.494328,106.802531]	1497
[0.268351,0.421766,0.402928,0.246633,0.263403,0.261621,0.520864,0.398630,0.146592]	[112.330797,115.460952,125.516461,134.010558,90.119322,123.815549,128.117399,89.285975,106.268608]	1341
[0.193834,0.289801,0.259594,0.469094,0.224016,0.489093,0.347807,0.325536,0.098558]	[119.770424,112.973927,134.600328,131.251579,88.751045,115.905305,127.867229,88.012003,106.755780]	1765
[0.380876,0.509869,0.237242,0.208589,0.201337,0.442000,0.300685,0.335894,0.180356]	[118.059202,115.856914,123.417168,130.287714,89.706756,113.856841,127.175449,107.529788,104.579812]	1665
[0.426442,0.523729,0.546078,0.486371,0.295669,0.201829,0.493657,0.382969,0.653032]	[115.745474,116.355884,127.173575,125.388606,91.390261,107.096474,130.086415,97.228110,111.627101]	928
[0.357574,0.442486,0.487860,0.317447,0.259733,0.161510,0.603218,0.377092,0.519051]	[116.625966,115.199151,133.603272,129.124393,90.625383,103.518669,124.336812,103.641860,111.292779]	1121
[0.347177,0.270543,0.433928,0.195027,0.096844,0.271223,0.300139,0.396784,0.404040]	[100.798057,114.042344,125.781077,133.690398,92.487772,126.108332,133.101514,106.445904,104.500470]	1838
[0.392942,0.272833,0.456480,0.197647,0.259622,0.097003,0.081101,0.412306,0.500083]	[117.015193,117.935412,113.119769,133.932349,88.960239,127.440205,127.279394,86.910175,110.214350]	2252
[0.358933,0.245268,0.245141,0.082896,0.223567,0.086534,0.457579,0.369801,0.554470]	[119.909905,118.819118,110.377111,119.010493,88.632771,135.833177,112.467532,105.682964,111.888748]	1870
[0.409214,0.394102,0.532559,0.483023,0.341017,0.484521,0.356293,0.276393,0.547184]	[117.031105,115.058279,116.407060,123.568483,89.680791,126.078393,113.895029,109.571247,106.744814]	1481
[0.397825,0.384566,0.318452,0.328041,0.096080,0.181379,0.431738,0.438490,0.472173]	[114.953647,116.293816,119.641801,126.571439,89.627311,129.969272,128.565689,90.461069,112.473765]	1430
[0.546276,0.326863,0.215759,0.228933,0.136010,0.170551,0.348604,0.364321,0.392465]	[122.192563,112.308549,135.985412,121.173717,89.088250,122.864459,125.913301,87.110868,109.510279]	1369
[0.446070,0.372993,0.080512,0.275921,0.154635,0.435464,0.529835,0.334195,0.488233]	[112.375707,110.875449,123.445727,130.783501,91.790110,130.008327,129.519318,92.083904,108.526274]	1408
[0.478207,0.195517,0.231515,0.343149,0.174389,0.190567,0.454136,0.322571,0.687721]	[144.347203,112.933116,118.922662,131.172320,90.825010,117.602079,118.525382,94.928876,107.083451]	1113
[0.337264,0.195414,0.341720,0.288521,0.408141,0.186893,0.170705,0.287514,0.563205]	[145.585726,110.239077,120.065776,125.530162,90.607436,114.509704,125.623119,95.907210,106.387494]	730
[0.091693,0.191647,0.306541,0.301571,0.417272,0.313522,0.304981,0.233837,0.674966]	[120.707973,111.429557,136.986505,127.520012,89.427991,124.746398,115.536606,92.826105,106.590382]	1380
[0.061789,0.140507,0.309430,0.324454,0.535981,0.348886,0.287736,0.234906,0.432730]	[125.997973,110.584101,139.726435,122.404595,89.668337,120.682823,116.339906,92.914113,107.935616]	380
[0.055083,0.129708,0.273304,0.383506,0.405404,0.356149,0.341526,0.190350,0.377640]	[125.493215,108.760292,138.784473,118.830988,89.291442,122.386878,115.011484,93.666245,108.794382]	425
[0.054816,0.126843,0.289268,0.358337,0.348211,0.361036,0.333339,0.192841,0.365338]	[125.917773,109.895986,138.689438,117.204616,89.313783,121.965964,115.348843,93.770496,109.189085]	152
