[0.057286,0.141158,0.326835,0.317145,0.366863,0.349798,0.257801,0.228211,0.373652]	[123.894411,112.711381,140.017695,119.183103,90.086351,122.495779,115.284173,92.019054,108.116432]	674
[0.051137,0.142272,0.341991,0.334390,0.366863,0.374175,0.212622,0.226708,0.371238]	[129.684477,112.714337,133.877685,118.689825,90.086351,121.603251,113.986868,92.342028,107.797020]	400
[0.042065,0.316565,0.291840,0.292633,0.289547,0.250140,0.206098,0.266519,0.398198]	[122.614319,114.070682,151.966505,129.674735,89.558111,107.461100,116.480444,91.655612,107.014000]	1318
[0.241418,0.228761,0.290862,0.324038,0.383727,0.137011,0.521596,0.250341,0.381496]	[132.202227,116.178991,129.329292,124.750386,90.813453,129.427103,111.320914,98.233662,103.673915]	1907
[0.490228,0.422051,0.310369,0.389300,0.457389,0.056661,0.691274,0.241215,0.618875]	[114.789797,116.684101,126.992489,124.405589,91.061862,133.617528,114.391718,98.119335,111.149841]	880
[0.327838,0.253738,0.220007,0.162595,0.274776,0.370702,0.257932,0.254554,0.205392]	[103.697404,114.688250,132.425178,127.623237,89.561156,124.082578,130.052206,96.861352,105.180642]	1883
[0.190809,0.188111,0.234910,0.217436,0.177597,0.272320,0.196640,0.335479,0.626670]	[131.050185,112.843220,141.561992,131.476571,90.309489,104.078237,116.465235,96.347423,105.360795]	1493
[0.094338,0.186915,0.262802,0.357389,0.142678,0.311786,0.184047,0.378546,0.468153]	[119.393924,110.771445,136.101413,123.320577,89.936159,121.400309,122.185108,91.393207,107.583764]	803
[0.049238,0.417134,0.252759,0.368442,0.175586,0.250731,0.141600,0.378990,0.531805]	[122.665822,114.402122,151.863140,125.112367,89.059021,109.410088,122.175818,90.771752,105.690406]	1184
[0.556779,0.357195,0.123552,0.238567,0.219284,0.235467,0.125380,0.327867,0.431481]	[113.747399,113.441955,126.915755,130.221580,89.083191,124.655327,122.422636,93.234147,106.810424]	1821
[0.535917,0.535471,0.346908,0.338628,0.346648,0.101435,0.455844,0.221817,0.418994]	[124.802916,116.448881,119.421025,121.863378,90.871318,134.932746,120.596797,98.745953,103.500024]	1603
[0.306036,0.162059,0.459821,0.383631,0.326714,0.087763,0.153905,0.286856,0.553683]	[120.929325,117.824035,129.939270,110.548169,90.866212,127.644168,123.707770,97.341671,111.187800]	1309
[0.470137,0.543469,0.128252,0.363418,0.311893,0.242398,0.248722,0.274918,0.477418]	[134.803263,117.213324,124.642695,121.403266,89.823860,126.453108,120.617814,94.934906,103.249807]	1657
