[0.509331,0.234754,0.539887,0.117686]	[147.920285,155.571496,177.107276,170.792885]	906
[0.656148,0.394869,0.647385,0.128062]	[174.089746,163.740226,170.695778,141.996459]	401
[0.814077,0.426503,0.554558,0.125766]	[170.049813,154.066504,180.595160,147.761585]	269
[0.788344,0.365722,0.640954,0.116709]	[166.064475,158.280528,186.123360,144.477522]	267
[0.845467,0.293009,0.667865,0.104868]	[169.756980,152.664763,180.390398,150.230889]	266
[0.855065,0.374356,0.777804,0.102497]	[171.208259,151.338496,186.476114,145.889442]	241
[0.685514,0.408612,0.672123,0.117018]	[182.132513,154.577325,189.451644,129.449361]	349
[0.825405,0.449250,0.639122,0.140498]	[169.978269,164.656928,174.912499,136.876063]	605
[0.761575,0.617213,0.676807,0.123152]	[157.706870,156.001269,194.542759,145.563230]	174
[0.639929,0.552773,0.543916,0.117588]	[183.544394,154.708356,177.353188,140.683645]	736
[0.673537,0.641854,0.521190,0.128495]	[182.073183,154.400992,170.257550,143.349867]	470
[0.620580,0.639196,0.679546,0.134343]	[174.953062,157.850129,174.667187,140.734281]	223
[0.690330,0.651865,0.708279,0.122202]	[147.379347,158.285501,215.922618,140.010495]	356
[0.619872,0.535330,0.516568,0.123822]	[163.126669,155.742855,191.668753,141.772972]	333
[0.543007,0.274562,0.637206,0.098133]	[143.080235,155.714301,231.379019,135.017285]	754
[0.341768,0.743000,0.718708,0.075599]	[134.859344,156.993401,224.176716,140.150653]	512
[0.508111,0.814671,0.418028,0.082950]	[148.784837,155.847778,200.913706,149.023839]	591
[0.634770,0.840130,0.532839,0.103128]	[146.415139,156.229246,213.886480,143.821889]	261
[0.486283,0.893312,0.720079,0.087171]	[126.110508,156.427890,237.076460,140.950079]	299
[0.728078,0.847207,0.509390,0.109100]	[150.964595,155.808314,222.882827,132.804756]	298
[0.555686,0.837964,0.621400,0.108051]	[139.432320,154.953615,239.453844,131.830447]	153
[0.652649,0.755801,0.631236,0.097121]	[138.375501,156.175382,235.902391,133.489375]	95
[0.438848,0.873643,0.615378,0.085835]	[134.986780,155.553128,230.428682,136.006553]	346
[0.386259,0.930775,0.682155,0.085529]	[135.660151,158.986535,226.168480,136.928859]	166
[0.602808,0.741716,0.521096,0.094077]	[137.265584,156.915801,236.276864,132.070404]	404
[0.757005,0.828181,0.614995,0.111830]	[141.098639,155.748517,232.509609,137.056972]	167
