[0.615648,0.730219,0.533657,0.088822]	[146.658167,151.635134,224.597171,138.439994]	263
[0.718733,0.671642,0.533756,0.084878]	[153.305716,151.931028,220.837834,132.563686]	239
[0.511087,0.788238,0.472496,0.071691]	[129.938462,152.652401,238.910408,144.933237]	315
[0.642212,0.790026,0.393670,0.072667]	[153.138370,154.373565,211.380441,137.866864]	242
[0.563840,0.840199,0.376438,0.079927]	[157.335914,151.068726,205.208672,142.191060]	222
[0.655311,0.921282,0.477020,0.085043]	[153.546176,153.321089,210.985151,140.286186]	186
[0.630606,0.744277,0.568830,0.076612]	[139.877914,153.375832,231.960873,137.435051]	206
[0.587279,0.796948,0.390535,0.076839]	[156.794396,153.706022,196.615516,146.804546]	237
[0.476055,0.746847,0.452426,0.076312]	[151.338118,153.710149,205.215358,145.449939]	189
[0.415471,0.837228,0.733180,0.079835]	[128.370267,155.750025,241.301313,139.918237]	342
[0.650564,0.710915,0.391225,0.080138]	[155.487884,155.425941,196.681712,148.420586]	422
[0.717837,0.845582,0.442458,0.081547]	[153.938004,156.029815,203.747197,143.626289]	262
[0.607775,0.866355,0.490328,0.088958]	[148.039417,157.160552,216.393222,138.324151]	224
[0.579183,0.783952,0.541500,0.088081]	[153.532229,156.002814,211.131785,135.683915]	182
[0.553207,0.654083,0.583669,0.088189]	[148.082889,153.971151,216.947402,139.505688]	138
[0.669950,0.790663,0.582758,0.089816]	[151.126930,157.010372,217.108898,133.239099]	196
[0.496387,0.899781,0.655978,0.090068]	[132.362675,155.934586,241.645071,133.949757]	258
[0.591334,0.776747,0.558771,0.081692]	[139.858287,154.840929,234.221109,133.574892]	191
[0.737008,0.634480,0.509457,0.075269]	[151.968025,151.185432,212.874039,140.625349]	218
[0.696713,0.841361,0.562964,0.084907]	[153.125520,154.724558,216.690828,133.468937]	154
[0.637047,0.574577,0.530978,0.075518]	[152.458264,153.447942,213.703632,137.102826]	185
[0.453043,0.820441,0.558816,0.082794]	[133.870772,151.967296,232.549320,144.702433]	345
[0.661680,0.867261,0.453010,0.075799]	[140.373044,150.722263,232.920112,138.429193]	351
[0.570709,0.822571,0.507962,0.080802]	[142.809282,151.702006,228.477346,138.926959]	185
[0.431612,0.945229,0.749140,0.070404]	[130.934271,152.587833,240.534993,139.715519]	359
[0.635439,0.755899,0.589764,0.076590]	[151.981371,152.924852,214.781824,138.136840]	280
[0.564499,0.695307,0.533837,0.082590]	[146.230344,154.110417,226.597412,133.811214]	190
[0.719027,0.902838,0.428084,0.087965]	[159.384076,156.204594,208.619089,132.266742]	189
[0.541739,0.692382,0.545038,0.078031]	[138.915832,152.218795,234.915101,137.126228]	231
[0.576840,0.783879,0.445171,0.084459]	[144.776097,153.323273,226.642462,136.363988]	218
[0.689593,0.701587,0.499440,0.081512]	[151.244775,153.083339,218.527470,136.315852]	188
[0.646327,0.722983,0.525775,0.084985]	[143.281207,154.625212,227.129431,136.023172]	178
[0.580191,0.785886,0.559249,0.073824]	[138.159010,153.822606,232.935323,137.607224]	264
[0.644167,0.798553,0.549865,0.079531]	[142.697193,153.881291,227.275797,137.560163]	223
[0.576862,0.878543,0.456417,0.069780]	[131.770528,155.053504,241.365800,137.574883]	208
[0.430927,0.950960,0.704982,0.066737]	[129.692595,154.153273,236.251667,144.705974]	216
[0.583872,0.742109,0.494362,0.080216]	[148.230842,152.362415,222.550090,136.346678]	393
[0.672258,0.714170,0.555464,0.078164]	[154.514836,154.044363,212.217326,134.962266]	146
[0.596837,0.754070,0.615909,0.085540]	[146.789714,153.438417,224.801525,136.112852]	153
[0.658691,0.691195,0.533112,0.088611]	[149.504381,153.221974,220.465389,135.983991]	154
[0.704708,0.866141,0.568294,0.082651]	[154.524127,153.164202,214.617584,135.527444]	258
[0.604360,0.783227,0.531740,0.072242]	[147.217300,152.750280,218.338496,141.470447]	171
[0.633912,0.853376,0.514449,0.066123]	[146.195818,153.281951,214.302959,145.066117]	117
[0.699780,0.632216,0.447522,0.075238]	[152.948173,152.249950,214.450513,136.774185]	196
[0.581382,0.696440,0.347623,0.086142]	[151.724677,152.171170,214.331935,140.321153]	330
[0.591124,0.775429,0.457081,0.082785]	[147.928916,151.676828,219.706794,140.457943]	234
[0.587031,0.684661,0.549175,0.082159]	[147.778727,153.165664,220.694764,137.728783]	170
[0.689466,0.882960,0.656383,0.084031]	[139.570843,154.741250,236.385141,133.484113]	292
[0.622292,0.633067,0.446031,0.077845]	[147.024689,152.151969,222.494909,137.547702]	236
[0.485920,0.775867,0.621114,0.189603]	[133.378847,153.762769,233.621982,143.167150]	441
[0.583002,0.585849,0.467115,0.197024]	[154.484138,153.547054,212.578557,134.834746]	325
[0.596409,0.900955,0.662234,0.174334]	[135.518825,152.799916,239.978746,136.470241]	222
[0.574055,0.786936,0.518547,0.100292]	[146.090729,153.740188,221.237988,138.510741]	163
[0.567686,0.748799,0.442209,0.099116]	[150.585144,154.210399,212.285756,140.501613]	169
[0.573341,0.900029,0.439308,0.117334]	[152.726895,155.363193,217.997216,132.246215]	188
[0.469247,0.778103,0.742366,0.299626]	[132.819816,152.294336,234.459367,144.811655]	388
[0.385790,0.815199,0.519779,0.308702]	[131.222981,154.756408,232.121958,145.739401]	167
[0.516002,0.744929,0.496392,0.308030]	[138.485409,156.779974,232.402901,133.954382]	225
[0.496347,0.832751,0.410242,0.154708]	[139.435902,155.069759,231.271517,138.236350]	277
[0.582111,0.852770,0.590180,0.191292]	[130.812909,154.512477,236.922691,143.708576]	273
[0.585878,0.808340,0.543721,0.112091]	[140.399002,154.526972,230.992214,135.800371]	133
[0.504920,0.827737,0.354931,0.110992]	[138.754729,152.566404,231.392852,140.171021]	279
[0.596134,0.867278,0.463775,0.117088]	[133.439285,156.531603,243.621752,132.313708]	306
[0.431797,0.717532,0.584429,0.242850]	[134.358971,154.626025,234.823487,140.342954]	237
[0.397412,0.789993,0.615570,0.312725]	[130.603155,152.416583,231.850502,148.391395]	250
[0.483176,0.700907,0.464961,0.284173]	[128.045161,149.684326,238.696712,150.723979]	295
[0.336075,0.811552,0.517462,0.307641]	[127.475561,154.339034,234.119721,149.531309]	240
