[0.316902,0.303045,0.169270,0.209939]	[144.240994,189.328009,289.442258,165.602579]	1047
[0.347908,0.330304,0.326562,0.219843]	[170.533966,185.409453,266.588189,174.663665]	780
[0.361148,0.118689,0.177135,0.314965]	[142.747178,185.073767,266.776738,204.980206]	927
[0.350973,0.131346,0.338190,0.441103]	[144.546993,186.965766,286.156957,175.217693]	444
[0.369402,0.199423,0.356368,0.263936]	[140.085282,194.247409,301.555444,166.110190]	622
[0.363414,0.040360,0.495399,0.423374]	[140.829754,190.354535,302.471633,162.363355]	442
[0.339088,0.038964,0.196890,0.335541]	[141.378097,188.640955,268.974396,196.757648]	372
[0.338317,0.039219,0.451903,0.285459]	[138.209227,189.955927,293.318614,165.455014]	228
[0.336901,0.042447,0.479052,0.255162]	[154.355259,189.001894,274.430050,166.598050]	127
[0.343437,0.038732,0.415199,0.275617]	[157.321511,188.255800,276.518471,164.732217]	117
[0.350488,0.039496,0.462598,0.230866]	[156.620910,188.539290,274.239179,164.740709]	125
[0.329691,0.039219,0.442216,0.310348]	[138.615133,189.955927,277.286515,186.989884]	244
[0.354675,0.039195,0.578353,0.491339]	[152.870382,188.533134,289.302623,162.603274]	402
[0.341158,0.042447,0.389557,0.304592]	[142.278888,189.001894,271.680275,188.161709]	408
[0.361650,0.039687,0.648886,0.352271]	[158.067138,188.530700,283.535583,163.622400]	279
[0.322162,0.261191,0.758455,0.090922]	[150.192679,178.085835,290.856840,177.418074]	1165
[0.330263,0.417813,0.319723,0.300135]	[144.397464,149.378355,290.502030,204.923668]	777
[0.338322,0.401135,0.185688,0.120826]	[171.576972,157.431927,259.964731,185.758620]	538
[0.319974,0.299860,0.667051,0.260027]	[142.883195,175.027851,293.268246,198.180095]	1024
[0.309051,0.385717,0.661614,0.179877]	[164.218736,172.899281,270.292082,174.566021]	820
[0.321988,0.437370,0.261899,0.123631]	[145.066350,164.239780,281.242208,181.716535]	699
[0.343251,0.482785,0.413822,0.121656]	[154.467008,159.377688,283.530130,184.916012]	510
[0.361160,0.355670,0.266108,0.135872]	[146.536435,166.849772,295.897736,186.202195]	566
[0.346961,0.434197,0.369761,0.156230]	[147.922843,161.403284,288.201193,182.382754]	514
[0.356006,0.279638,0.216517,0.254685]	[149.759378,174.201422,280.251200,199.652878]	925
[0.376466,0.343187,0.334888,0.230862]	[150.657147,191.195754,287.032727,176.172209]	789
[0.376154,0.316280,0.259595,0.227629]	[150.500366,193.127409,291.352345,173.439696]	291
[0.334212,0.282219,0.228701,0.101424]	[144.400258,192.146202,292.793582,170.488483]	510
[0.335484,0.292401,0.456681,0.309771]	[142.486678,161.751747,293.829403,193.599667]	833
[0.352423,0.490320,0.148769,0.117978]	[149.080226,179.476179,276.762271,183.270265]	670
[0.335324,0.355740,0.227221,0.125325]	[140.794818,158.563087,296.548553,185.646297]	368
[0.341296,0.572418,0.329372,0.116094]	[139.242312,159.675864,299.296308,185.469278]	324
[0.351258,0.292350,0.487558,0.125637]	[165.126026,176.549989,252.054677,176.029630]	689
[0.355061,0.457808,0.295835,0.125195]	[143.067840,157.694709,288.003091,186.459155]	660
[0.363454,0.142210,0.239735,0.373796]	[150.532112,188.237423,274.894715,180.934376]	1045
[0.348184,0.289592,0.347842,0.307858]	[148.556600,180.251538,276.824066,187.528814]	783
[0.362675,0.301466,0.291817,0.159426]	[151.998846,187.308493,291.521227,173.702642]	584
[0.392112,0.233409,0.457867,0.292777]	[159.938925,186.730395,274.522615,180.075419]	651
[0.349187,0.211775,0.280904,0.273202]	[143.084127,180.875893,289.748791,185.631015]	830
[0.372244,0.261145,0.283268,0.217255]	[149.779945,187.282182,292.667812,179.118749]	695
[0.357753,0.222302,0.334742,0.403768]	[140.962832,187.150414,287.872188,176.343781]	496
[0.341056,0.311944,0.230151,0.110429]	[144.190191,170.804895,293.362351,190.018014]	636
[0.335106,0.460350,0.236123,0.146823]	[149.066467,195.683205,264.801137,175.888243]	711
[0.356016,0.450213,0.328687,0.111642]	[139.904779,163.548116,296.687176,186.861054]	499
[0.346973,0.486365,0.301369,0.111469]	[141.742300,159.631237,296.523782,185.167182]	233
[0.346733,0.496886,0.355190,0.114474]	[145.771455,156.410872,293.570636,184.487662]	104
[0.338577,0.381510,0.240019,0.117294]	[142.343713,179.790213,275.734256,186.415420]	262
[0.337755,0.375334,0.267778,0.131998]	[141.510197,192.048078,262.795080,186.597659]	181
[0.341417,0.430800,0.256274,0.131010]	[141.271452,177.328578,279.395311,185.667263]	111
[0.336317,0.365760,0.405090,0.120326]	[142.953697,160.962790,289.698869,186.065667]	277
[0.333935,0.366877,0.352889,0.133872]	[142.988196,156.778752,288.830305,184.922424]	173
[0.330560,0.405288,0.344940,0.121656]	[155.446638,178.117705,260.903109,184.916012]	382
[0.311028,0.432871,0.268973,0.113818]	[145.229540,190.827500,263.599994,185.706167]	411
[0.332001,0.336635,0.415124,0.116277]	[142.936029,178.697309,273.894222,185.249436]	288
[0.338381,0.421758,0.345543,0.116094]	[141.380306,178.347999,279.677086,185.469278]	98
