[0.389133,0.443068,0.183081,0.232895,0.310943,0.327567]	[220.444902,207.643198,186.859755,285.996673,216.529392,194.782644]	1972
[0.174324,0.340993,0.178789,0.178057,0.270800,0.445210]	[208.521291,214.476593,192.851443,286.596906,231.224426,173.548489]	1221
[0.243436,0.361950,0.303988,0.228017,0.250599,0.427118]	[220.443000,205.027262,180.667730,285.324087,236.115871,171.428711]	713
[0.731979,0.324105,0.236373,0.296134,0.250599,0.399012]	[224.013051,196.810760,199.108065,275.002278,236.115871,171.540836]	493
[0.798597,0.345560,0.189971,0.224670,0.288653,0.349261]	[219.768559,185.398268,188.958663,284.393092,235.646996,172.835790]	573
[0.631963,0.405771,0.366286,0.165458,0.263131,0.362163]	[208.972576,196.039448,184.810053,292.300929,235.079439,176.257786]	428
[0.543752,0.487758,0.504141,0.281777,0.256453,0.392103]	[211.979831,198.515318,183.334197,279.223205,241.148894,170.876782]	534
[0.328654,0.341648,0.486284,0.242377,0.266700,0.383110]	[202.296709,204.668250,198.994765,283.067607,236.072632,178.125264]	396
[0.627740,0.384210,0.490812,0.308898,0.438914,0.134278]	[199.322357,196.574584,187.095585,293.521535,195.626295,222.120842]	900
[0.634987,0.379455,0.443202,0.420889,0.428874,0.126893]	[195.915570,196.988462,185.703073,291.364747,195.602690,223.628525]	407
[0.566620,0.175935,0.456167,0.174712,0.236869,0.415209]	[201.503761,188.458043,212.298221,293.556215,239.184696,177.709862]	1361
[0.401506,0.214381,0.346348,0.148856,0.294767,0.308621]	[201.138455,183.469676,199.254056,293.376837,233.350967,196.317738]	688
[0.504112,0.190888,0.280921,0.179123,0.294767,0.298903]	[224.595227,180.350466,204.574012,265.604439,233.350967,192.897287]	501
[0.150142,0.465634,0.299070,0.340805,0.292418,0.409518]	[221.496465,185.155717,236.879512,252.922697,236.109063,171.068655]	726
[0.144168,0.228578,0.430241,0.270715,0.273324,0.368051]	[232.044310,178.877285,220.448943,265.126949,235.963508,170.949816]	922
[0.556333,0.370808,0.409717,0.133994,0.270310,0.348137]	[229.578747,187.018594,201.340792,282.084796,236.092766,170.424836]	1437
[0.202947,0.323227,0.291469,0.405646,0.297918,0.326016]	[221.011052,201.026908,178.566320,292.717735,236.222957,169.687471]	862
[0.388213,0.205663,0.134490,0.163905,0.284671,0.324366]	[274.914339,203.078943,187.903138,202.696434,235.634079,168.890991]	889
[0.669014,0.578394,0.322104,0.144599,0.296489,0.304152]	[237.997348,198.037560,197.494256,260.835438,235.633839,173.882469]	847
[0.520714,0.358595,0.182537,0.230503,0.278174,0.353975]	[219.097578,206.571032,198.460042,276.959400,236.014344,172.839462]	788
[0.449413,0.511866,0.138090,0.154710,0.288249,0.378417]	[223.536615,215.068315,190.288628,275.016174,236.273233,172.232509]	597
