[0.147025,0.394342,0.265223,0.303887,0.009039,0.269861,0.040124,0.302867]	[238.402163,128.198870,324.133168,247.324132,291.503940,255.721140,260.530977,231.741067]	1716
[0.156672,0.498843,0.103398,0.301822,0.011029,0.263245,0.046643,0.475761]	[237.253443,147.405229,228.686687,248.905685,348.452034,247.791857,264.969928,182.573366]	1097
[0.219425,0.296704,0.258500,0.297252,0.012214,0.470159,0.041333,0.376187]	[180.786241,157.442063,327.288881,249.572446,293.944493,239.740703,260.181921,219.937336]	1082
[0.173120,0.348751,0.399440,0.312079,0.014071,0.485193,0.048748,0.317210]	[203.931499,146.406590,258.224606,241.965670,314.370928,257.716211,276.700090,223.977831]	1017
[0.175428,0.361229,0.359089,0.311472,0.013628,0.761424,0.039264,0.599156]	[215.916813,141.976248,217.021512,234.799802,331.262383,251.926230,290.124727,236.374694]	970
[0.184088,0.322619,0.412590,0.320835,0.017727,0.509104,0.064181,0.317656]	[253.023359,149.115038,225.536461,235.181551,287.603237,250.585788,277.134289,235.895967]	1057
[0.197310,0.206470,0.486096,0.310491,0.014583,0.493390,0.045625,0.337718]	[172.281330,161.014547,245.891236,234.820590,348.268981,242.847432,277.438883,229.980852]	868
[0.195399,0.213069,0.396667,0.300930,0.011238,0.271799,0.054737,0.325083]	[199.098877,160.339767,238.310266,250.615193,316.578518,296.675869,270.175318,220.944447]	629
[0.196286,0.244711,0.495829,0.290876,0.014997,0.537796,0.057605,0.326386]	[197.609412,153.841147,227.875483,253.723605,318.413646,235.123678,263.092054,239.421061]	551
[0.196060,0.259296,0.699820,0.307651,0.014189,0.490776,0.068485,0.317263]	[213.979250,154.431906,237.810672,238.878346,289.303126,261.100822,271.709164,238.260161]	355
[0.191200,0.211460,0.599775,0.318057,0.015333,0.595083,0.062946,0.333854]	[192.406014,160.347574,232.946193,238.107574,300.811101,251.059154,262.476467,247.284100]	396
[0.188866,0.191340,0.502001,0.313044,0.016549,0.466133,0.051416,0.339611]	[190.358483,162.359625,223.439520,232.384619,302.518786,244.339937,252.681250,248.081950]	252
[0.191753,0.183854,0.581117,0.317871,0.013588,0.540087,0.076010,0.298706]	[166.087722,162.031717,207.858166,240.753838,287.358194,255.771000,281.324166,269.426042]	370
[0.186143,0.181028,0.520494,0.320341,0.014677,0.617870,0.070766,0.295885]	[166.132110,158.639959,208.772629,230.562523,287.771679,242.109853,259.957297,282.381460]	408
[0.050750,0.361961,0.336007,0.208808,0.123550,0.201355,0.041146,0.560427]	[313.769059,131.559795,266.724723,249.331164,278.625899,296.555402,282.563034,151.231247]	2610
[0.092709,0.490930,0.104115,0.331109,0.210258,0.101461,0.043890,0.364745]	[291.307528,140.893852,270.535948,236.170779,240.821637,290.755171,240.306275,208.983951]	1399
[0.183644,0.410877,0.274657,0.327415,0.238015,0.055669,0.038519,0.332835]	[240.359346,151.886876,264.838066,234.052272,232.943422,258.971868,259.747644,241.857103]	1073
[0.122683,0.467843,0.487946,0.330234,0.342511,0.046732,0.095246,0.460733]	[244.287012,143.221313,289.107179,244.145036,254.595651,239.554703,289.609070,242.676648]	812
[0.115937,0.496229,0.166474,0.336386,0.343187,0.088303,0.065402,0.495128]	[246.737365,136.031142,261.334156,237.969480,260.745111,298.715441,277.521293,209.640952]	629
[0.102150,0.495434,0.139851,0.326921,0.425258,0.058052,0.041909,0.480371]	[288.175901,130.661447,248.890239,220.862541,286.007660,274.415128,275.146443,234.464753]	879
[0.200163,0.376726,0.302952,0.055475,0.247251,0.094001,0.044192,0.456745]	[257.889316,151.256394,232.469685,327.224609,274.750651,255.431822,251.864406,217.356961]	1462
[0.114736,0.482215,0.341742,0.032375,0.385976,0.065739,0.043000,0.296012]	[242.297362,130.132499,282.474745,272.991445,205.156622,278.547414,265.338347,231.356141]	1017
[0.095456,0.404206,0.400706,0.054366,0.295467,0.055187,0.102264,0.568431]	[269.861344,135.135914,279.653793,284.649424,241.698389,248.654137,309.113724,242.793170]	972
[0.183496,0.246719,0.425097,0.059125,0.314561,0.093069,0.081030,0.447126]	[242.619850,145.078439,273.695869,301.359199,230.697889,292.360233,295.663798,248.741257]	981
[0.149027,0.365402,0.419868,0.053929,0.322006,0.142471,0.178484,0.197405]	[242.999396,145.675578,293.035658,283.514283,228.766427,281.573797,315.663620,285.623981]	1111
[0.175584,0.273847,0.314028,0.040903,0.308094,0.401106,0.107853,0.195983]	[250.571900,157.100022,284.222422,254.958062,250.331057,205.146808,321.295788,249.004202]	1462
[0.175156,0.234321,0.311727,0.084178,0.276854,0.361225,0.070108,0.483851]	[208.066027,159.258544,259.918178,296.707730,254.500712,266.974604,284.361395,239.454559]	869
[0.184110,0.198114,0.457630,0.057599,0.373025,0.344678,0.050444,0.510920]	[189.591431,165.593997,273.611302,300.986404,261.091085,246.460001,249.659217,241.200662]	853
[0.184752,0.179649,0.435090,0.041286,0.364316,0.393068,0.081462,0.328976]	[172.721231,164.292634,256.837894,294.000018,254.200358,233.980872,287.704625,242.523181]	647
[0.178137,0.215384,0.277930,0.111550,0.404007,0.295459,0.071363,0.267375]	[222.407154,176.488394,262.392669,267.598270,266.942471,220.022783,266.724489,237.604035]	1015
[0.177201,0.288060,0.608558,0.052963,0.336419,0.581477,0.139198,0.266339]	[236.890209,129.788132,265.765680,278.581671,252.514313,228.673290,307.058633,252.265775]	1015
[0.189525,0.205006,0.345758,0.069061,0.401212,0.561910,0.072738,0.662508]	[216.406884,149.789359,259.409337,286.971983,253.054545,262.800134,279.499307,241.241295]	907
[0.191412,0.202983,0.331893,0.127808,0.609824,0.643679,0.047891,0.240462]	[188.970385,143.972316,267.319818,290.323345,278.377568,266.260938,262.005386,280.155621]	884
[0.191036,0.270168,0.393741,0.038519,0.374338,0.172365,0.046227,0.311611]	[189.361067,132.331662,268.751274,285.089753,205.404020,264.090566,281.561893,303.350107]	1201
[0.189015,0.247123,0.092508,0.052014,0.316893,0.334448,0.127506,0.310370]	[195.237551,154.529967,243.030831,283.797387,244.902737,253.928362,293.815144,229.033117]	1176
[0.183105,0.269770,0.175639,0.039784,0.376965,0.327368,0.110064,0.294397]	[232.573883,155.091357,237.199835,285.914030,206.497586,243.708529,279.109400,250.230712]	911
[0.169262,0.261163,0.475121,0.039783,0.286202,0.307084,0.079329,0.178027]	[225.217077,155.849205,269.483487,306.238808,256.464418,234.695019,280.553295,254.994720]	1216
[0.184665,0.340023,0.419552,0.104332,0.540828,0.400665,0.045017,0.387434]	[172.004860,191.789735,266.902468,289.164250,263.417582,225.833242,253.700867,245.491373]	1381
[0.181852,0.314480,0.267642,0.064072,0.377277,0.367167,0.072635,0.527314]	[227.325069,148.361499,250.962705,284.232425,250.192770,227.773556,301.002242,243.096338]	1166
[0.165737,0.343475,0.473781,0.066994,0.410725,0.402025,0.104805,0.321177]	[260.742538,150.162097,273.907646,267.667487,261.839538,211.070790,283.802732,248.538246]	866
[0.164181,0.302105,0.184973,0.133621,0.269389,0.284856,0.081613,0.303501]	[230.634595,148.230590,242.478976,288.563431,272.451326,242.325049,300.017332,300.757779]	1179
[0.190708,0.218245,0.328246,0.048175,0.348680,0.282413,0.065183,0.154801]	[211.239556,160.169007,248.580224,297.048419,239.493036,265.653410,278.087040,279.903050]	1265
[0.185113,0.212569,0.159349,0.124248,0.630004,0.317001,0.064641,0.487367]	[200.040542,159.676929,237.429017,290.629887,260.388479,273.621338,281.879900,247.964623]	803
[0.183500,0.185147,0.519253,0.046137,0.364528,0.281520,0.061524,0.411361]	[200.518018,158.834329,281.633802,303.846511,202.226066,245.887753,282.203361,242.399365]	891
[0.189752,0.252468,0.407252,0.052204,0.394926,0.413523,0.045413,0.712332]	[192.658060,155.547034,278.041901,254.370428,258.109803,244.916715,246.767574,234.132418]	981
[0.172728,0.283750,0.464548,0.054604,0.386578,0.377238,0.105413,0.312320]	[247.621888,151.461986,278.885879,262.014220,264.698274,220.719261,282.859385,259.910624]	872
[0.181939,0.259386,0.471228,0.054936,0.372113,0.483524,0.068302,0.314594]	[219.053969,146.214777,281.408057,287.598312,252.933956,263.227122,270.063874,257.197955]	684
[0.157396,0.364579,0.436022,0.059626,0.338041,0.682016,0.089548,0.300611]	[189.670470,137.441678,272.535193,279.162917,253.728388,243.691798,383.687999,234.024712]	1038
[0.186874,0.298801,0.336136,0.078870,0.429419,0.443384,0.062590,0.336819]	[225.943164,139.737021,278.772043,270.220534,254.487725,277.389946,260.440622,253.155021]	966
[0.182240,0.283465,0.480514,0.136691,0.533899,0.398699,0.111537,0.306581]	[232.130018,123.923468,279.074401,266.074434,272.149560,270.418660,278.703281,250.268460]	716
[0.194665,0.200405,0.314365,0.202241,0.677859,0.127562,0.088696,0.533702]	[166.974017,145.718165,272.637076,248.122977,277.439694,314.936355,251.426204,241.216723]	1195
[0.189764,0.171851,0.247786,0.065246,0.276055,0.124887,0.123637,0.363780]	[164.996814,163.079120,257.603056,283.535935,252.391532,293.065270,259.498748,247.395050]	1117
[0.183491,0.169599,0.555138,0.046239,0.368335,0.310295,0.098570,0.244810]	[205.865004,160.805133,273.011266,299.123296,242.985687,247.896335,289.987324,267.113619]	856
[0.178285,0.183878,0.566110,0.073360,0.383309,0.408061,0.134979,0.292616]	[184.647622,154.932800,272.946950,272.200302,248.170066,321.271202,287.129009,246.582268]	732
[0.181698,0.188997,0.336155,0.103050,0.232430,0.263104,0.110058,0.446444]	[194.069604,169.567447,276.171974,276.661299,288.068114,264.749343,276.595205,245.025489]	949
[0.180312,0.152902,0.490974,0.277799,0.193801,0.105802,0.118292,0.365486]	[164.619780,157.294956,277.681524,195.920479,261.828468,331.262269,280.233270,246.981788]	1302
[0.173111,0.143665,0.318274,0.285867,0.446852,0.127034,0.168529,0.492328]	[153.121295,157.798714,271.507141,198.493336,265.926072,293.804358,325.796081,245.590608]	825
[0.187938,0.146126,0.340952,0.303204,0.361593,0.168114,0.085232,0.408232]	[151.678853,162.621093,278.363950,208.802946,255.555854,318.267620,298.060603,234.388032]	856
[0.187368,0.177886,0.290564,0.341517,0.402715,0.305799,0.083523,0.262294]	[182.198028,153.052812,275.231331,212.804428,240.554444,317.726833,292.568263,238.069587]	670
[0.185918,0.199183,0.305504,0.243420,0.448922,0.266804,0.087337,0.250216]	[192.673503,156.065096,274.281881,213.359504,269.970819,302.007615,286.134225,237.851586]	534
[0.182736,0.187683,0.253510,0.261540,0.270435,0.261130,0.080826,0.402523]	[181.666450,147.149376,277.965564,203.578644,250.253993,317.035913,295.316021,243.320705]	618
[0.180488,0.213803,0.272800,0.272896,0.569189,0.250579,0.086414,0.316248]	[194.947045,162.329108,269.876399,200.495334,241.247468,288.152027,307.539732,253.840165]	539
[0.183417,0.183014,0.217415,0.193470,0.198028,0.181376,0.096575,0.353614]	[177.903950,152.726773,276.891596,218.090760,242.828431,314.991714,296.205758,247.351547]	692
[0.179820,0.154029,0.425235,0.140434,0.478666,0.125398,0.127450,0.299865]	[167.079139,152.397849,264.049763,250.200103,270.883922,343.476094,318.661528,250.594136]	1024
[0.189470,0.175505,0.355680,0.273765,0.099152,0.170487,0.079533,0.312614]	[182.656805,179.061977,271.719867,209.865675,286.130153,277.033946,294.502697,262.357439]	1118
[0.185426,0.152175,0.249624,0.278426,0.173521,0.052804,0.034562,0.431170]	[165.832144,138.609364,291.834159,189.187074,257.633683,270.276190,242.632995,321.895549]	1182
[0.187773,0.166134,0.438061,0.260177,0.358380,0.261780,0.067412,0.194882]	[177.916437,199.822457,280.466877,243.019863,285.453855,213.011242,316.299732,226.481244]	1294
[0.176270,0.166072,0.419812,0.336456,0.386680,0.536289,0.168234,0.280049]	[183.048046,158.764399,252.869197,229.950819,246.064023,242.750568,305.043342,285.847495]	1309
[0.188912,0.197758,0.305388,0.341795,0.373279,0.706409,0.091110,0.391206]	[202.698901,148.528353,265.471748,220.928519,238.511627,255.390782,302.369306,246.906421]	772
[0.179225,0.165857,0.349193,0.337688,0.603400,0.310215,0.159013,0.249629]	[190.912005,154.422665,276.435526,216.164382,223.155568,308.604031,311.729783,249.922631]	890
[0.187311,0.175029,0.384874,0.222242,0.584869,0.218128,0.089941,0.273265]	[194.772908,157.301767,294.771660,237.389760,225.942326,284.053268,291.863381,255.279354]	729
[0.185472,0.159852,0.295674,0.224543,0.276650,0.206313,0.084920,0.535143]	[159.863061,160.799272,241.641370,216.345110,271.115024,272.740999,306.231575,248.224442]	1214
[0.187063,0.216852,0.242472,0.259759,0.198296,0.384497,0.075578,0.400182]	[201.430325,151.793365,264.095487,252.345324,210.494698,289.985147,312.712535,244.278270]	1097
[0.178429,0.234511,0.282385,0.335238,0.550946,0.396567,0.115653,0.289689]	[239.314665,140.338796,279.860655,222.036930,233.532117,263.822087,307.352271,227.582409]	883
[0.185636,0.202160,0.328176,0.225126,0.492634,0.271958,0.073711,0.391262]	[190.374421,146.633898,289.670283,225.243990,240.237266,300.913341,289.018715,239.265354]	764
[0.178815,0.171444,0.377844,0.286691,0.337093,0.106678,0.104217,0.705202]	[202.610338,153.731938,274.562891,205.079668,269.237316,293.831290,273.873501,249.481516]	1127
[0.188140,0.156556,0.171269,0.149890,0.376787,0.097212,0.117716,0.552779]	[161.110649,168.726950,244.986082,241.208846,285.909341,315.357063,273.302930,242.736653]	1087
[0.180317,0.168343,0.434817,0.289604,0.129427,0.266377,0.100177,0.355116]	[192.280311,185.621931,268.000406,214.726090,239.160934,252.343256,294.992781,247.895710]	1132
[0.178618,0.186876,0.280762,0.328922,0.331010,0.379194,0.086923,0.371368]	[200.259393,179.594814,271.350040,221.613441,232.117108,246.445374,288.227031,244.391438]	576
[0.182541,0.184171,0.327079,0.334791,0.273787,0.441267,0.096104,0.272138]	[181.145321,168.515928,283.398054,225.391207,226.633950,281.073499,282.292242,247.023934]	544
[0.187415,0.159089,0.460260,0.307294,0.394610,0.210760,0.133781,0.423653]	[157.941819,151.130788,273.590115,208.891201,274.496744,270.869730,327.016009,215.347076]	940
[0.182253,0.145537,0.262087,0.331174,0.461805,0.200621,0.135241,0.591873]	[160.464134,153.006932,266.553250,210.607706,253.770885,326.324780,294.550557,241.361154]	667
[0.160705,0.114261,0.275176,0.327091,0.435461,0.136017,0.330486,0.344405]	[163.492854,160.239634,274.963932,223.909774,222.527866,333.241708,286.015995,242.923913]	887
[0.171412,0.132588,0.213074,0.338837,0.367025,0.140952,0.285240,0.352176]	[151.571901,164.454237,263.035515,223.439133,240.818677,310.456162,310.166813,253.804326]	915
[0.183617,0.144552,0.175675,0.340896,0.395472,0.175525,0.153710,0.410724]	[149.734337,163.768382,251.291150,220.965890,259.617409,332.054099,280.662783,272.815213]	624
