[0.172871,0.539377,0.396080,0.268509,0.346717,0.352368,0.144987,0.298014]	[197.329978,232.782429,202.021754,176.288794,217.518898,150.345261,169.265484,197.815176]	1108
[0.162682,0.557704,0.341964,0.393567,0.310575,0.377752,0.134228,0.295825]	[201.988962,232.504138,231.100137,150.181869,212.990893,147.428417,177.592585,190.921036]	968
[0.158089,0.606558,0.502543,0.365820,0.198523,0.195380,0.139648,0.310931]	[197.033445,229.762066,234.830978,140.192820,214.951164,158.429007,167.378255,191.721714]	1654
[0.148955,0.599854,0.495327,0.391279,0.200100,0.195380,0.140296,0.292784]	[214.710929,230.211913,204.511980,154.716996,213.592692,158.429007,167.313493,190.581821]	209
[0.165536,0.559772,0.390853,0.290017,0.136208,0.141211,0.137444,0.274200]	[197.343675,232.754420,223.835936,153.836681,189.106616,208.546802,142.733579,190.908726]	1415
[0.170833,0.558447,0.464145,0.315257,0.104579,0.141211,0.137444,0.265942]	[197.549184,231.614439,227.206080,152.520255,188.946640,208.546802,142.733579,191.220496]	190
[0.171031,0.555634,0.314451,0.389769,0.090809,0.213285,0.084736,0.376700]	[201.358991,232.279730,228.644251,152.676807,148.764589,184.861778,193.286091,197.736922]	2011
[0.155994,0.544003,0.321227,0.167365,0.190352,0.728206,0.174029,0.319477]	[199.680339,231.144384,214.878140,162.310440,161.580029,141.394047,220.075555,183.113309]	1993
[0.165033,0.573088,0.476884,0.421826,0.299810,0.138230,0.113762,0.297699]	[199.592124,232.153495,214.048004,164.952069,166.112123,156.306480,220.747322,194.865004]	1936
[0.170736,0.574382,0.357918,0.306796,0.251897,0.124144,0.132491,0.315298]	[198.914345,232.268499,212.334729,164.982769,167.116927,148.952715,227.457648,194.639123]	712
[0.168226,0.532343,0.328166,0.384975,0.221033,0.228824,0.101270,0.209669]	[197.447018,233.292571,225.173757,152.092811,154.341339,147.751211,226.382506,207.192215]	1399
[0.182542,0.507803,0.283683,0.346058,0.219514,0.232836,0.095731,0.227218]	[193.418525,234.275314,227.682354,156.013442,148.097919,154.178601,230.513703,192.430453]	682
[0.163964,0.526937,0.406755,0.388246,0.236936,0.158178,0.102117,0.255740]	[200.262237,230.117385,223.456500,153.553453,151.052239,145.411075,238.002692,195.832984]	678
[0.168488,0.546763,0.309983,0.321211,0.179628,0.220282,0.074142,0.187469]	[197.464646,232.128776,217.434364,160.377204,135.956897,160.818914,243.919570,185.472798]	960
[0.167108,0.562609,0.397188,0.355011,0.180944,0.194552,0.063718,0.162123]	[197.023437,231.487701,229.423929,151.556847,137.565577,155.815201,241.018706,194.356104]	379
[0.156693,0.503019,0.352326,0.256632,0.136677,0.144514,0.077280,0.153869]	[207.604186,228.638488,225.454859,152.702924,154.855945,147.957095,224.221732,195.266967]	812
[0.173834,0.519231,0.526354,0.226093,0.101805,0.184130,0.076942,0.124562]	[212.607792,232.032481,213.347554,148.932215,148.290335,155.132010,235.550968,183.201723]	927
[0.167639,0.278295,0.443781,0.344879,0.298209,0.270640,0.259046,0.228950]	[198.364699,225.897634,223.249306,151.879578,155.134625,171.927644,196.707671,210.025298]	2110
[0.176611,0.553783,0.308001,0.313703,0.306051,0.289896,0.209961,0.270024]	[197.400487,231.558727,234.345435,146.167764,158.548908,169.994805,189.592287,203.974959]	703
[0.156585,0.563269,0.416203,0.359411,0.109683,0.244519,0.166361,0.274301]	[198.042539,231.314207,230.291129,149.028511,187.001208,159.628438,176.869479,195.626633]	923
[0.167639,0.496135,0.416560,0.221939,0.091554,0.228653,0.118598,0.264097]	[212.846222,231.112680,206.388870,157.385656,202.581819,148.610929,173.588333,197.115418]	907
