[0.121126,0.175922,0.110303,0.173900]	[190.156868,213.611890,239.353201,182.803224]	1218
[0.218629,0.123742,0.083512,0.237127]	[233.669803,205.457415,209.216558,184.106050]	992
[0.207212,0.390845,0.102117,0.186081]	[209.271884,233.919603,209.885165,183.215950]	923
[0.520837,0.256004,0.085620,0.209542]	[188.926319,227.361227,220.814534,185.503677]	704
[0.170673,0.082087,0.095522,0.203160]	[217.356240,179.039138,231.788385,185.110257]	778
[0.276205,0.222675,0.089102,0.163154]	[199.137735,230.761827,216.679305,185.470212]	687
[0.309326,0.080076,0.095474,0.163199]	[236.367947,175.518279,218.716958,185.557415]	688
[0.156007,0.146658,0.083024,0.168937]	[202.666657,212.334721,211.998390,204.686158]	1003
[0.192152,0.083899,0.082963,0.064724]	[240.074018,173.533801,226.416217,184.176097]	886
[0.091795,0.230259,0.081926,0.143753]	[202.308084,239.496051,203.852628,185.393309]	933
[0.142981,0.097794,0.106093,0.188473]	[237.018721,219.877726,185.524755,184.175123]	611
[0.188856,0.079910,0.108665,0.216924]	[216.229926,200.565409,226.936678,182.559841]	885
[0.318198,0.087203,0.127841,0.186693]	[210.453238,189.559250,236.449193,182.714707]	240
[0.377608,0.264855,0.092355,0.236730]	[183.861504,249.165812,209.016369,183.301054]	845
[0.427816,0.075274,0.108775,0.194931]	[200.233323,206.841261,230.032876,183.963797]	808
[0.593262,0.203702,0.089724,0.162940]	[213.634245,212.574942,220.796919,186.412689]	616
[0.103739,0.105754,0.107386,0.091723]	[228.062306,189.957402,211.496337,193.279339]	688
[0.185738,0.075634,0.114071,0.206821]	[202.802045,201.039122,234.389546,182.709440]	952
[0.315562,0.243486,0.086577,0.255131]	[197.791431,230.850035,220.585096,183.924023]	877
[0.195759,0.079054,0.093138,0.215222]	[212.189956,192.477873,234.589283,183.822351]	726
[0.152541,0.126353,0.082561,0.190924]	[201.007062,217.516865,207.736782,205.579567]	1176
[0.105230,0.174098,0.081548,0.250866]	[196.759227,204.306406,208.473746,218.954025]	752
[0.247767,0.114398,0.098911,0.101270]	[184.189481,225.665129,182.134047,232.479769]	923
[0.136364,0.074708,0.192320,0.047180]	[184.854362,189.946662,231.303382,220.834844]	658
[0.190548,0.081894,0.221237,0.039867]	[185.624679,186.362671,231.047353,222.092583]	398
[0.157401,0.359113,0.199773,0.054364]	[185.730177,241.538715,203.833526,206.826938]	787
[0.127590,0.090872,0.083648,0.095090]	[187.214239,198.696379,192.850631,237.223128]	766
[0.258049,0.224569,0.158386,0.042228]	[185.390728,242.270299,200.599480,208.356015]	768
[0.104506,0.086621,0.082038,0.114377]	[239.872913,185.357790,204.435599,187.193135]	1674
[0.269260,0.188564,0.117148,0.121341]	[199.661524,233.017403,208.328403,184.463973]	1024
[0.552861,0.068506,0.430677,0.049476]	[184.737422,207.991081,209.861286,205.539135]	1207
[0.080907,0.083379,0.347038,0.070687]	[233.282233,194.138567,193.659137,203.031335]	772
[0.140397,0.070356,0.120908,0.171451]	[217.788871,202.091853,220.223793,184.114901]	1231
[0.178487,0.090416,0.083333,0.103048]	[217.914353,194.637356,197.053205,198.677099]	1068
[0.198658,0.072286,0.082594,0.060302]	[242.105081,171.107604,225.944135,184.604920]	836
[0.088946,0.214426,0.082088,0.151626]	[218.995283,234.125918,185.011681,187.348611]	1052
[0.141760,0.184537,0.084728,0.255131]	[236.635388,189.749783,223.660052,183.924023]	853
[0.218700,0.073020,0.133102,0.179318]	[190.309167,193.345247,243.472116,182.797029]	721
[0.223108,0.162438,0.084157,0.188501]	[230.012550,201.001453,211.895757,185.074843]	771
[0.425337,0.305713,0.082355,0.253411]	[187.082066,241.857383,215.159361,183.736614]	915
[0.171802,0.077734,0.090064,0.216076]	[234.258889,192.745270,217.832796,184.144127]	727
[0.361256,0.151278,0.085500,0.187355]	[225.700805,209.331582,218.449236,183.621746]	815
[0.342013,0.202013,0.130301,0.163136]	[210.507093,201.245577,224.216637,186.821948]	671
[0.523779,0.210704,0.086557,0.253411]	[199.744087,217.353965,223.598069,183.736614]	583
[0.344810,0.075741,0.088412,0.253411]	[219.245687,188.416997,234.939124,183.736614]	604
[0.315732,0.204449,0.134875,0.127342]	[192.100647,223.201764,225.286805,188.169945]	831
[0.260061,0.080333,0.124495,0.143539]	[228.514383,179.007560,225.513277,190.842569]	742
[0.235669,0.139354,0.084790,0.135495]	[202.914620,212.691020,208.481002,204.313071]	1082
[0.123314,0.168547,0.102173,0.133590]	[183.734609,213.953926,197.892935,229.070062]	1072
[0.133017,0.077732,0.083292,0.085639]	[183.821127,185.255369,214.718896,235.909329]	898
[0.154957,0.229305,0.081654,0.085308]	[182.805212,235.600315,195.969320,213.531464]	966
[0.168871,0.080645,0.096456,0.022042]	[183.802939,181.212857,231.048488,227.929956]	874
