[0.202795,0.159230,0.152127,0.151479,0.435342,0.255058,0.210328,0.354501,0.292856,0.164874,0.240216,0.478932]	[178.847393,149.288264,181.681249,130.136580,148.267351,173.514739,119.152636,158.752346,179.987386,113.597958,126.527092,99.724866]	2998
[0.336084,0.199738,0.225797,0.318267,0.458457,0.584728,0.425300,0.317978,0.397994,0.540702,0.305707,0.392846]	[191.885916,142.975743,134.292520,114.976264,158.152150,121.489217,126.580620,143.217161,176.706303,142.348239,134.676987,116.272979]	2722
[0.351751,0.177030,0.263335,0.435811,0.415152,0.325437,0.686805,0.462153,0.373952,0.310362,0.436759,0.331328]	[138.569551,143.975743,156.650351,107.030958,153.431047,143.337659,128.800848,152.248472,178.026601,169.202359,120.863898,152.953792]	1940
[0.450266,0.152598,0.396865,0.509313,0.457597,0.724606,0.626550,0.593206,0.334148,0.338985,0.421003,0.341559]	[162.509762,139.561545,127.591592,102.007442,159.798395,124.963246,125.339306,155.139401,177.405486,172.512866,121.104300,146.579171]	1213
[0.462856,0.125755,0.392538,0.660756,0.398425,0.499935,0.737082,0.554674,0.107962,0.350395,0.410232,0.250920]	[167.263914,150.513004,126.712803,104.504447,156.826683,129.098435,127.799085,154.617831,166.969764,170.987209,115.353706,151.484476]	701
[0.230477,0.621192,0.282775,0.172822,0.526881,0.219053,0.590679,0.440691,0.441539,0.339215,0.532542,0.159819]	[158.205412,142.820756,151.638849,112.728856,152.321939,147.218092,127.664865,148.309906,182.538069,127.063871,107.753250,195.731244]	2491
[0.254723,0.133899,0.253205,0.563456,0.470551,0.208537,0.565449,0.491210,0.418460,0.170399,0.559094,0.148997]	[139.385783,143.536503,172.803390,106.036726,154.551673,187.861871,126.472802,151.388248,177.462970,118.921901,106.032606,178.117034]	1366
[0.284886,0.148458,0.451945,0.613627,0.475165,0.196583,0.614239,0.426951,0.420399,0.145801,0.500415,0.184414]	[151.447405,142.373617,147.840547,105.548108,155.424707,197.708864,126.148743,149.073946,178.715456,125.367402,104.071562,175.004665]	1113
[0.237074,0.138516,0.326845,0.638297,0.451681,0.167717,0.513565,0.591887,0.401976,0.276008,0.566631,0.147528]	[172.065111,141.512543,149.578686,105.742260,153.662005,153.343322,123.861741,155.774297,181.685385,137.126417,98.223277,149.956267]	2141
[0.577882,0.524608,0.431282,0.420442,0.484266,0.412023,0.364728,0.382571,0.334342,0.201310,0.497912,0.131739]	[180.473350,136.833011,148.920823,114.765519,162.389434,146.497109,125.714861,152.893469,168.899552,130.895200,107.547086,137.197119]	1778
[0.589024,0.204174,0.379386,0.402589,0.408363,0.604408,0.590723,0.339705,0.322014,0.219485,0.508742,0.110373]	[178.032358,142.737872,154.749536,115.400210,154.911019,141.494454,131.293017,157.696025,172.424862,130.565742,101.362925,146.526037]	1148
[0.553392,0.253123,0.454962,0.585057,0.427311,0.420341,0.676141,0.606743,0.261277,0.189694,0.523200,0.130386]	[159.602985,144.000777,155.685051,112.215951,167.093573,135.482988,129.024172,149.763931,165.879078,132.736419,105.225984,154.160321]	801
[0.448912,0.162464,0.443719,0.614731,0.494936,0.362437,0.729686,0.343481,0.273690,0.178222,0.601455,0.131401]	[147.910665,142.436071,155.482063,110.218759,167.605613,143.552997,132.344685,155.183207,162.653404,124.822256,104.479888,156.778471]	625
