[0.246329,0.704713,0.181950,0.327346,0.478253,0.129492,0.645449,0.507675,0.472389,0.291284,0.596310,0.138797]	[156.020165,139.525817,189.413426,171.738160,156.245723,122.770440,129.921605,148.437085,175.444491,115.250959,100.209751,157.814866]	2316
[0.214760,0.154863,0.241086,0.411666,0.452846,0.394034,0.616281,0.714435,0.276969,0.536180,0.578678,0.140666]	[143.329198,142.979773,170.368342,131.649895,153.470087,144.521106,134.984222,149.968017,177.350095,113.939843,98.921222,159.596637]	2705
[0.168893,0.485927,0.341024,0.422594,0.511879,0.377660,0.410041,0.177226,0.450457,0.472543,0.361290,0.130474]	[156.742030,140.977849,141.307985,135.795495,155.205311,140.420701,129.101198,144.127953,183.450246,115.481254,99.611511,181.463349]	2042
[0.211804,0.456376,0.516015,0.454706,0.498431,0.264780,0.603509,0.739790,0.403694,0.296878,0.439108,0.151543]	[148.575904,141.936775,157.253416,133.532908,153.018572,145.466176,138.527793,149.652210,174.506839,113.432058,102.568051,156.972402]	1322
[0.200395,0.133770,0.298468,0.153048,0.464312,0.239104,0.495002,0.582349,0.413920,0.528759,0.420941,0.160757]	[195.661255,138.103390,135.814843,149.864011,156.454710,135.721072,126.435116,151.315861,182.802125,116.627530,97.848655,155.982750]	1937
[0.437304,0.159441,0.448056,0.557820,0.416575,0.196856,0.169949,0.215265,0.374911,0.230332,0.538380,0.099933]	[179.725846,129.313190,147.768962,141.085400,168.527012,129.370220,151.327780,139.729050,167.894893,123.960827,100.470163,146.766106]	2210
[0.246408,0.235107,0.253043,0.239374,0.441201,0.169772,0.550393,0.739562,0.260536,0.401686,0.499262,0.127695]	[130.977593,145.111447,139.369962,168.207703,156.506843,128.874491,133.378198,148.660425,175.904087,116.805504,99.425910,178.925832]	2285
[0.338704,0.126358,0.231837,0.190381,0.437505,0.219119,0.471937,0.373978,0.440427,0.282147,0.449494,0.088256]	[182.958505,144.156997,138.205031,150.221407,143.255688,129.287107,134.588154,145.927482,190.414700,116.315947,97.437536,159.115713]	1967
[0.412724,0.133789,0.374007,0.251314,0.431060,0.227742,0.385916,0.208626,0.503730,0.510028,0.348709,0.130041]	[182.669226,145.807677,139.621249,154.381088,147.072806,137.670322,129.979457,145.720020,188.060933,116.353519,103.861550,159.079531]	1735
[0.251962,0.204453,0.623979,0.156339,0.215970,0.285043,0.523325,0.256936,0.212998,0.386038,0.522668,0.098212]	[190.655042,155.095575,133.904578,162.317116,143.345950,134.978309,130.914735,155.642072,182.314403,116.090158,103.531656,136.838823]	1818
[0.257953,0.197400,0.237750,0.332201,0.363419,0.216301,0.479757,0.581654,0.538073,0.282570,0.567331,0.108394]	[156.191866,143.442973,144.562132,157.741971,153.905388,132.513508,129.028617,146.370158,186.275138,106.699216,95.928970,188.649068]	2443
[0.375869,0.187660,0.318991,0.369777,0.452456,0.316144,0.529618,0.706673,0.283611,0.395941,0.507894,0.157953]	[163.186500,140.795494,151.083038,138.544461,157.866736,143.564967,132.955090,150.914183,175.743519,114.381835,98.493251,175.981417]	1875
[0.223269,0.295514,0.216390,0.351759,0.488823,0.460561,0.380864,0.607347,0.477193,0.239836,0.623843,0.129112]	[147.655026,141.809261,157.214508,158.269912,152.404386,142.988529,130.385307,146.409545,179.685694,120.826145,97.942279,174.407834]	1700
[0.220831,0.157245,0.140083,0.259848,0.391278,0.512601,0.488102,0.571501,0.540295,0.292039,0.503350,0.100896]	[163.498970,145.183466,139.430889,158.319799,143.352959,136.146194,132.896539,148.355432,184.483407,124.164790,97.130949,190.877591]	1583
[0.264457,0.564216,0.391633,0.184119,0.514243,0.221586,0.193044,0.187691,0.485493,0.469186,0.467603,0.102282]	[172.827633,140.048693,123.482031,160.150612,151.396365,121.895386,129.428547,147.343997,186.615900,118.356260,95.684873,211.193844]	2244
[0.172902,0.165106,0.382985,0.333275,0.433600,0.177385,0.348456,0.212553,0.453922,0.463458,0.345737,0.098914]	[154.776010,143.653986,141.350551,139.850807,157.522319,146.340051,128.275627,147.743549,180.309897,118.097725,105.876978,195.709798]	2116
[0.344700,0.173344,0.268118,0.234218,0.591803,0.243345,0.382624,0.211825,0.389249,0.458412,0.253973,0.133021]	[153.836377,132.390351,169.769327,140.821345,172.592902,122.409549,134.071269,154.258816,161.116645,121.310961,101.182584,205.172233]	2400
[0.351159,0.393549,0.239780,0.294348,0.446213,0.254847,0.360741,0.248524,0.380436,0.290693,0.305621,0.056689]	[148.170300,141.254474,179.545141,138.826583,155.908557,110.602975,138.233769,149.289789,167.789842,130.606420,106.718444,199.548552]	2514
[0.317411,0.727363,0.325411,0.104935,0.492758,0.193060,0.354359,0.244631,0.394044,0.474973,0.454986,0.076026]	[143.359190,134.954677,148.151896,152.796620,164.521220,128.517689,132.024767,154.802457,167.691956,122.466707,113.288259,193.362708]	2326
[0.324180,0.227759,0.512940,0.250147,0.483199,0.216805,0.439496,0.237303,0.377834,0.364362,0.276298,0.112639]	[131.978835,132.487660,194.033586,160.582363,169.476802,121.237883,128.551587,158.797027,164.913382,118.713391,108.107244,161.590281]	1946
[0.323130,0.201982,0.481818,0.409326,0.566379,0.264018,0.546028,0.208177,0.322159,0.334486,0.279259,0.080463]	[132.853160,135.289268,195.952824,142.367610,174.432932,114.524290,132.369366,157.443380,155.847768,114.943019,106.725310,167.428453]	1432
[0.252092,0.230355,0.090973,0.231603,0.613032,0.227012,0.537047,0.175553,0.281434,0.217637,0.179042,0.071729]	[123.395291,131.636033,175.634139,169.594406,178.948895,119.602172,129.610535,156.666557,153.200221,117.907161,109.099350,170.281100]	1976
[0.383958,0.267914,0.233545,0.304512,0.504421,0.210303,0.501077,0.353007,0.479175,0.278377,0.334145,0.089192]	[144.118128,132.856203,182.425475,152.938718,182.391290,122.895558,135.292083,153.324912,147.861629,121.244679,105.721993,175.950517]	2027
[0.106652,0.273380,0.100343,0.289654,0.413693,0.225696,0.675400,0.554772,0.325836,0.403485,0.358299,0.111343]	[141.233061,133.972261,189.680872,144.762072,178.352479,114.253300,126.869182,162.967134,148.991226,105.635244,127.325687,176.057342]	2170
[0.316200,0.294187,0.245400,0.485079,0.363020,0.251100,0.404875,0.224167,0.201345,0.379218,0.453899,0.064517]	[134.644371,132.644597,156.233546,139.246792,175.825938,129.709517,123.928524,161.112533,150.268868,124.404953,116.147580,167.718695]	2297
[0.110341,0.271498,0.255137,0.150546,0.631127,0.197387,0.516332,0.160653,0.243081,0.395596,0.332966,0.058804]	[194.827553,135.888086,163.178329,149.134328,179.789796,134.620548,119.400243,160.451728,152.663230,112.508812,108.443339,163.223856]	2237
[0.183322,0.272339,0.235075,0.285475,0.376236,0.271707,0.412425,0.447590,0.386803,0.494110,0.490519,0.062951]	[199.345278,135.536902,157.428052,144.224207,177.173798,124.953441,128.630496,161.464345,151.246030,102.974817,116.467703,168.959879]	1817
[0.204508,0.293476,0.494991,0.254504,0.475211,0.178471,0.424492,0.175358,0.242960,0.406925,0.327365,0.094690]	[196.028878,131.043019,130.888735,116.761036,181.021065,146.200198,113.641506,167.607215,147.774527,109.253267,113.559565,199.417393]	1500
[0.150967,0.260527,0.215998,0.572028,0.343829,0.363551,0.368459,0.372228,0.425633,0.521639,0.633953,0.080948]	[205.928093,135.968988,174.370391,132.352466,178.708731,132.553163,131.724014,163.902295,148.149157,105.481696,110.770607,164.105892]	1847
[0.288343,0.278120,0.070665,0.204967,0.378669,0.330391,0.318589,0.270902,0.408115,0.339380,0.287711,0.063912]	[148.330830,132.382714,191.470003,156.949352,180.889257,144.587212,113.734127,165.052530,148.945526,104.470897,114.080432,167.396266]	2015
[0.463453,0.303585,0.258616,0.415235,0.273814,0.246604,0.341565,0.297744,0.298679,0.477949,0.461346,0.038032]	[135.553003,135.105261,201.200767,137.347425,178.136521,138.827897,113.270981,164.180020,149.575758,111.242903,108.324686,170.502621]	1892
[0.238247,0.163984,0.175102,0.190788,0.391494,0.317727,0.324657,0.507373,0.421684,0.405603,0.387760,0.087796]	[142.197261,130.691585,168.292222,153.585549,178.903432,138.640716,120.645843,161.187107,150.122636,118.850341,109.610084,194.499140]	2342
[0.202744,0.295039,0.189761,0.197198,0.388366,0.229601,0.272567,0.120208,0.332642,0.275631,0.330597,0.065964]	[128.778455,133.873843,151.342479,160.495728,179.965923,143.684768,136.024649,157.224327,149.324473,119.911628,134.603093,200.789120]	2156
[0.234234,0.239240,0.211145,0.219129,0.298468,0.387525,0.199742,0.292797,0.350436,0.425959,0.315911,0.040327]	[156.298567,129.586614,159.706776,146.138738,180.688405,129.339975,145.718465,166.478506,146.278755,123.111641,114.949366,203.169399]	1877
[0.260608,0.304549,0.455482,0.343402,0.418075,0.410497,0.242598,0.259955,0.418365,0.586536,0.352795,0.063133]	[140.647740,135.093741,150.921412,143.251055,180.117874,137.181778,128.772045,163.147309,149.784093,103.581997,110.763365,194.671762]	2263
[0.299278,0.284697,0.217642,0.221794,0.398469,0.368461,0.230411,0.196133,0.383252,0.613567,0.115779,0.036981]	[134.984166,134.405205,148.786068,148.585066,181.203494,135.148247,129.187873,163.952514,148.483662,106.647432,139.127398,188.597073]	1748
[0.441992,0.366197,0.627029,0.523298,0.351301,0.498391,0.426739,0.385079,0.342779,0.487800,0.190025,0.036627]	[149.372583,138.251739,136.202026,145.964164,184.550789,135.286518,120.265572,152.182905,148.758582,102.318031,142.786980,193.040292]	2096
[0.403771,0.278615,0.366075,0.308712,0.332399,0.135127,0.371226,0.207517,0.385514,0.501089,0.485798,0.049750]	[149.509582,134.584003,133.118320,140.797181,179.668773,130.807353,123.574256,170.855805,148.550028,102.047129,139.597887,186.246037]	1742
[0.193718,0.289987,0.338631,0.327628,0.356883,0.274980,0.259021,0.177685,0.293956,0.476014,0.281432,0.055280]	[171.977122,133.751224,137.575041,144.759764,179.587840,160.075699,119.197442,159.022697,138.032246,102.776280,132.696737,182.603811]	1312
[0.474514,0.282349,0.300256,0.487494,0.483688,0.282837,0.257240,0.144316,0.269490,0.431540,0.309565,0.092205]	[158.856804,134.622156,142.019970,147.416865,180.053178,146.475934,122.414794,156.334387,145.103400,99.738498,134.752286,166.633477]	1858
[0.374020,0.287125,0.333550,0.383382,0.314770,0.236903,0.432281,0.213819,0.367261,0.435137,0.380438,0.051293]	[155.992851,134.238178,142.302207,146.485542,179.416818,135.803040,121.616602,162.754419,150.175161,105.614973,119.108433,175.967842]	1546
[0.378784,0.190870,0.365280,0.240293,0.371473,0.242712,0.303843,0.545594,0.456123,0.561646,0.256638,0.055877]	[143.736563,131.192321,135.617947,153.821323,178.329013,125.453768,120.765211,163.808698,155.807419,103.947569,122.668231,197.804443]	1549
[0.453121,0.459628,0.352122,0.348101,0.390799,0.249213,0.471596,0.360973,0.342894,0.608991,0.307783,0.088434]	[146.364190,134.997571,132.354306,147.656902,174.106446,129.460065,121.140015,165.602475,152.445145,106.766409,115.119912,191.418875]	1093
[0.421009,0.347082,0.179043,0.355510,0.320516,0.254409,0.449653,0.335560,0.366151,0.415306,0.592015,0.060194]	[154.766214,131.384602,142.971994,143.645043,176.425051,126.501174,121.078691,173.723250,150.636850,101.961620,110.093244,180.125475]	1097
