[0.539394,0.248313,0.167325]	[201.830024,247.958499,207.954985]	528
[0.375154,0.188007,0.398992]	[205.681436,255.216784,196.855487]	681
[0.343662,0.476057,0.108331]	[209.076899,211.248417,251.779049]	802
[0.158952,0.545464,0.200328]	[204.419244,250.171533,225.582720]	736
[0.456272,0.179327,0.110400]	[207.626238,204.021052,252.170647]	906
[0.637787,0.097837,0.337896]	[209.097152,205.909698,248.778938]	565
[0.333513,0.482208,0.241037]	[178.968740,210.763948,261.953452]	418
[0.306935,0.488167,0.091019]	[209.602684,207.554140,252.944703]	556
[0.497409,0.206777,0.454679]	[205.702460,236.681868,218.885124]	662
[0.233256,0.466802,0.253016]	[243.817477,228.598528,195.957415]	661
[0.631609,0.108648,0.236789]	[239.291573,237.629862,179.182522]	655
[0.352050,0.361449,0.321230]	[229.475895,243.878624,178.212280]	573
[0.109688,0.573059,0.296712]	[230.255848,250.581278,181.051278]	383
[0.401354,0.305065,0.158563]	[194.926411,304.416622,162.741276]	861
[0.194178,0.601840,0.373774]	[213.199807,268.310038,196.056236]	677
[0.512068,0.119430,0.189843]	[203.721898,228.644535,233.523614]	916
[0.307357,0.461119,0.077616]	[228.981214,212.461403,230.087342]	916
[0.443973,0.449783,0.374015]	[208.174024,254.182122,207.695157]	871
[0.101996,0.418213,0.369247]	[211.086861,282.592712,175.166753]	696
[0.629228,0.097819,0.211551]	[232.249445,219.586850,211.212442]	861
[0.309143,0.464672,0.315216]	[223.195221,204.746684,243.647878]	538
[0.307427,0.550880,0.343365]	[247.175615,226.266149,185.406295]	466
[0.396405,0.688701,0.290933]	[248.533275,223.626040,171.494560]	297
[0.390671,0.697019,0.282818]	[231.009261,247.622070,169.785048]	152
[0.447835,0.662168,0.271125]	[263.140306,210.062409,169.644700]	187
[0.453987,0.648914,0.296831]	[263.899933,208.599935,171.525853]	76
[0.457617,0.466969,0.280834]	[225.270950,249.432960,171.498420]	207
[0.472769,0.379479,0.249299]	[240.797404,234.205857,169.551925]	223
[0.358023,0.431813,0.267318]	[210.453008,274.826995,169.681932]	407
[0.198108,0.414265,0.229406]	[196.022158,282.341274,173.358105]	500
[0.222838,0.190312,0.459940]	[234.615293,236.909786,180.837781]	868
[0.271747,0.413094,0.246432]	[238.462301,239.365931,171.511979]	560
[0.361447,0.457339,0.243681]	[222.624740,250.423716,171.610486]	336
[0.435568,0.555194,0.214307]	[239.560158,231.117510,172.732219]	135
[0.413822,0.533191,0.218282]	[257.415665,213.006147,171.008586]	125
[0.338591,0.535843,0.222764]	[257.258759,212.847949,170.870923]	72
