[0.415614,0.583620,0.242000]	[259.311601,211.626031,168.487682]	53
[0.420369,0.636255,0.260310]	[259.631267,211.186516,169.040267]	52
[0.456298,0.624337,0.243280]	[253.014431,211.277603,174.988118]	56
[0.436633,0.578867,0.237560]	[264.079269,208.690202,169.019144]	108
[0.481295,0.366720,0.243557]	[262.924727,204.050232,173.664463]	151
[0.344398,0.397306,0.341592]	[260.327834,207.617495,177.278342]	143
[0.457173,0.374866,0.217879]	[272.462820,199.985910,167.462577]	252
[0.313813,0.455200,0.319318]	[267.090377,203.862221,179.309454]	213
[0.430605,0.400846,0.217126]	[246.348403,226.328632,171.196748]	298
[0.431897,0.297747,0.282067]	[255.641276,217.926143,170.337615]	172
[0.431669,0.340184,0.245338]	[228.611639,247.324652,169.097488]	129
[0.427278,0.340184,0.244225]	[228.559746,247.324652,169.303979]	9
