[0.428703,0.422661,0.371068,0.275611,0.127932]	[166.996879,211.326162,104.858576,177.717556,152.213361]	904
[0.331191,0.281626,0.254742,0.227924,0.113106]	[181.982482,203.094212,97.714110,160.652010,172.276169]	535
[0.350219,0.548412,0.264470,0.389862,0.134425]	[190.644967,204.428340,95.904997,175.648973,125.664344]	813
[0.274349,0.394014,0.344518,0.305683,0.126958]	[174.178572,200.317535,124.326539,187.062169,149.794397]	814
[0.137144,0.372560,0.267587,0.159398,0.092821]	[161.346230,190.360138,138.909370,179.490880,169.908317]	1036
[0.214750,0.231243,0.340927,0.198076,0.113694]	[168.683685,212.774374,92.104852,171.942681,174.632526]	855
[0.181342,0.334054,0.255400,0.528023,0.099235]	[130.260857,181.736618,135.882928,189.907953,183.632365]	678
[0.207182,0.210821,0.240836,0.417419,0.118230]	[141.768441,173.301718,131.361410,191.577250,186.566894]	547
[0.187017,0.486725,0.234298,0.370619,0.091871]	[126.447312,204.096852,112.637959,192.160657,179.791645]	750
[0.442482,0.315401,0.218135,0.529955,0.108982]	[159.193891,210.097817,115.216050,171.139403,165.015105]	417
[0.170463,0.177928,0.206512,0.484137,0.090594]	[135.204987,204.759203,129.025033,184.174484,174.281970]	600
[0.537379,0.141771,0.298412,0.496806,0.113788]	[149.079473,217.051290,108.027708,182.178631,157.219087]	456
[0.667224,0.118705,0.308573,0.573670,0.118995]	[139.297002,214.052332,105.117037,189.534644,154.183579]	216
[0.260440,0.302079,0.349865,0.404626,0.135842]	[167.560651,211.806691,137.910218,180.893847,121.815233]	957
[0.182862,0.233096,0.293382,0.345681,0.109105]	[168.872274,198.287072,103.549338,172.864080,176.028744]	614
[0.220428,0.369609,0.248835,0.517441,0.103591]	[160.113971,183.637105,123.172459,179.031326,175.641646]	483
[0.262358,0.250245,0.365288,0.370535,0.099365]	[184.737828,212.450408,123.734157,161.702564,143.222128]	989
[0.228763,0.324745,0.291053,0.323716,0.135110]	[211.518406,165.446759,111.945853,190.715365,135.649176]	903
[0.190540,0.276427,0.241485,0.446332,0.120306]	[216.840392,138.888146,112.127766,193.058208,153.858820]	454
[0.389041,0.140175,0.610510,0.439593,0.139612]	[211.725550,171.338460,121.943067,188.120250,112.343822]	594
[0.360612,0.255995,0.263880,0.798094,0.111407]	[203.231423,130.333773,119.754728,190.389709,171.334010]	773
[0.464835,0.356856,0.355460,0.199143,0.136490]	[221.957544,128.578986,162.026939,165.136978,131.450556]	643
[0.274255,0.264245,0.226737,0.245152,0.107948]	[198.070666,126.507226,133.154862,188.220171,180.731806]	578
[0.169577,0.275155,0.434400,0.560986,0.140352]	[218.337188,146.731228,140.006354,179.278044,127.554769]	576
[0.442063,0.300816,0.507424,0.454458,0.133820]	[218.606894,141.929619,130.973461,185.213038,130.908300]	251
[0.247291,0.225525,0.283444,0.549221,0.100025]	[188.081134,114.573409,134.252826,191.087507,187.554280]	672
[0.365779,0.089953,0.439511,0.254571,0.105257]	[209.497446,176.060528,118.538387,186.081897,136.413192]	1144
[0.381761,0.137706,0.620021,0.123488,0.118241]	[193.330916,161.248636,118.117608,190.314584,159.461467]	893
[0.388150,0.193987,0.483114,0.581221,0.125223]	[216.587236,151.334448,129.266569,188.498181,131.685847]	538
[0.556840,0.213776,0.473015,0.475351,0.125714]	[220.453875,150.898281,138.123364,183.604171,126.878127]	202
[0.319792,0.240622,0.276294,0.579521,0.107714]	[191.371428,136.866742,119.376289,191.433213,180.699237]	917
[0.252030,0.300375,0.586372,0.392543,0.125418]	[193.254427,148.591542,128.631590,192.663785,162.660252]	512
