[0.230803,0.509467,0.690690,0.113780,0.111330]	[191.935989,220.036332,172.612882,113.228723,101.928787]	212
[0.376000,0.404442,0.595423,0.116119,0.113311]	[193.361869,222.531025,169.156797,114.067036,101.365432]	123
[0.968217,0.437246,0.808672,0.139424,0.110865]	[193.615228,221.326310,170.911708,112.549038,101.152854]	155
[0.670554,0.549552,0.728618,0.141556,0.109620]	[193.155426,220.991276,172.870251,109.664408,101.412942]	132
[0.703396,0.480806,0.799202,0.259876,0.111444]	[192.917243,222.611355,169.773803,111.387406,101.608297]	96
[0.590085,0.414081,0.406785,0.286828,0.063257]	[191.502607,161.270293,198.474423,115.952868,132.929501]	925
[0.298720,0.453053,0.094053,0.572908,0.091093]	[191.774814,183.580387,199.908436,122.931232,105.994495]	702
[0.287387,0.351848,0.537822,0.477338,0.103613]	[161.130866,167.691753,223.634857,158.748584,98.933402]	439
[0.337686,0.311331,0.411699,0.249588,0.113474]	[187.590700,203.011187,182.670984,116.557966,105.731320]	918
[0.133669,0.538129,0.235432,0.345319,0.094410]	[188.559679,187.709187,200.713909,124.486343,101.630361]	790
[0.230474,0.583221,0.489748,0.392533,0.106526]	[167.440248,177.444049,215.569717,151.955454,96.328705]	569
[0.464814,0.661281,0.441804,0.620007,0.103431]	[194.031086,178.972187,213.167404,118.284583,101.656644]	414
[0.599815,0.671727,0.567520,0.533615,0.114992]	[191.092026,175.986484,215.652499,114.984044,105.336748]	275
[0.482406,0.762975,0.506226,0.501301,0.109770]	[193.965471,172.692952,216.056313,112.164240,106.678904]	150
[0.684908,0.314115,0.562521,0.471567,0.113693]	[189.448969,201.814417,180.192000,113.649858,106.839471]	666
[0.202729,0.362121,0.325276,0.471851,0.089149]	[187.174659,163.463572,207.176306,122.450514,128.979298]	755
[0.401977,0.586625,0.080790,0.373138,0.102117]	[163.370608,168.490228,211.940729,144.979342,125.936655]	622
[0.509476,0.202271,0.418452,0.248900,0.121782]	[190.897215,195.121344,184.607206,108.057955,138.603112]	951
[0.275184,0.314080,0.234780,0.225394,0.081349]	[154.933851,189.975010,151.252182,165.560862,181.388641]	1181
[0.320301,0.385231,0.096534,0.288378,0.121673]	[165.895992,206.942157,194.882256,146.836125,112.743064]	955
[0.150382,0.289641,0.315181,0.265759,0.117316]	[147.876465,208.831455,169.703566,137.529757,174.105858]	1120
[0.364067,0.382389,0.091036,0.288301,0.134915]	[138.972876,214.691173,194.828316,139.510005,125.043055]	717
[0.288152,0.447330,0.104287,0.232498,0.107553]	[148.489096,195.395919,173.978921,136.408060,179.391447]	659
[0.401372,0.234975,0.093289,0.229552,0.134049]	[132.736454,216.076428,193.275338,151.530648,123.862090]	643
[0.304057,0.317529,0.165235,0.374645,0.111219]	[136.488974,213.341853,178.522680,134.499734,170.199036]	628
[0.399966,0.421649,0.100159,0.179864,0.046520]	[160.902054,169.436066,159.744709,168.412781,187.653624]	1312
[0.533880,0.429817,0.177492,0.197774,0.108137]	[162.840996,174.489793,184.190615,121.905233,180.466636]	1453
[0.235564,0.166965,0.164923,0.203637,0.080585]	[131.052562,208.693982,185.870362,121.688914,177.797692]	957
[0.339948,0.331177,0.196751,0.084475,0.044040]	[123.231876,150.265294,188.651841,178.974128,186.609207]	852
[0.643426,0.470524,0.336357,0.188386,0.063103]	[121.522721,203.679293,187.907372,131.597619,176.080106]	810
[0.338869,0.316846,0.177339,0.138257,0.037558]	[113.354199,208.939399,192.791685,110.363800,187.008253]	559
[0.351678,0.412914,0.246647,0.204503,0.106404]	[94.046809,172.146069,183.951689,207.153880,152.565712]	1274
[0.375576,0.254104,0.128543,0.254607,0.080474]	[122.786030,126.517317,180.620526,211.158387,186.358300]	1094
[0.445350,0.525438,0.248341,0.152809,0.122759]	[107.445786,174.284065,191.127758,188.350773,144.543492]	855
[0.362763,0.254916,0.171255,0.390491,0.082678]	[120.353268,143.220750,190.718047,176.269525,193.711779]	808
[0.303770,0.360798,0.410627,0.305259,0.123014]	[148.558197,181.410699,173.377004,187.392160,146.096555]	895
[0.396097,0.519435,0.311979,0.464546,0.130534]	[141.915978,170.539643,175.320189,207.050251,134.654728]	460
[0.135170,0.192922,0.203231,0.461481,0.122283]	[165.037656,222.126755,156.499083,134.074064,148.000048]	967
[0.372582,0.246134,0.181820,0.177625,0.087479]	[103.251433,190.177660,190.585354,166.782742,177.535170]	1142
[0.385380,0.867788,0.432093,0.270956,0.128033]	[116.979956,224.089405,190.153112,137.634863,141.203603]	787
[0.538890,0.372594,0.470538,0.152955,0.093757]	[100.437006,178.952609,192.877163,196.554547,143.854692]	803
[0.305485,0.193235,0.136674,0.388220,0.057486]	[118.342588,141.809836,192.683778,164.903746,207.558820]	1151
[0.494060,0.181897,0.169116,0.248321,0.128171]	[102.882682,158.256766,191.635840,211.699227,145.482455]	878
[0.262639,0.403793,0.410477,0.200782,0.101243]	[148.658311,174.880060,177.975910,216.294244,110.315530]	795
[0.173209,0.323882,0.211452,0.216296,0.094588]	[162.303597,100.225478,166.262806,199.466585,192.369264]	1175
[0.264333,0.280914,0.353905,0.521662,0.130301]	[145.336336,187.073132,179.816765,177.947232,143.812068]	906
[0.217402,0.110433,0.203615,0.320501,0.117586]	[148.349176,205.122205,168.842588,158.398535,150.499406]	877
[0.379893,0.376469,0.261001,0.102818,0.075892]	[95.722596,158.332175,193.205142,196.648325,180.352309]	1253
[0.350631,0.491202,0.161087,0.247135,0.114655]	[94.241725,185.349168,184.125880,202.623512,138.288347]	726
[0.351455,0.241942,0.496625,0.407959,0.113031]	[117.013213,206.292703,188.310042,159.090836,143.610323]	860
[0.430159,0.294259,0.197882,0.277968,0.115605]	[92.552013,197.893115,191.324158,185.056345,139.398193]	715
[0.240076,0.315163,0.096322,0.382813,0.116803]	[97.225739,213.853444,165.977821,170.954989,170.908052]	752
[0.387945,0.225533,0.145461,0.093355,0.114231]	[101.793370,210.813240,173.625601,174.058916,160.489770]	733
[0.399668,0.133842,0.317553,0.363806,0.108138]	[99.839223,209.247897,169.003187,195.126246,141.377090]	810
[0.477006,0.387904,0.159360,0.266638,0.124082]	[110.583794,186.836034,192.197604,200.607636,127.708558]	835
[0.201422,0.446298,0.055440,0.541019,0.105744]	[136.077071,153.194647,181.143405,199.603974,161.722821]	723
[0.479052,0.404065,0.312561,0.432036,0.110381]	[103.369465,181.942652,188.383158,198.572221,137.888167]	619
[0.543163,0.265275,0.473863,0.181906,0.095660]	[109.088037,217.575239,192.674640,158.771278,127.922379]	459
[0.476171,0.439207,0.156256,0.179288,0.120599]	[119.031948,165.907220,191.843251,210.579190,127.111525]	781
[0.262842,0.206359,0.117698,0.517295,0.091570]	[139.615262,142.443881,187.438400,170.822640,194.707278]	1082
[0.293114,0.207918,0.285307,0.315581,0.131920]	[139.141475,212.423610,184.131040,165.363890,127.583954]	1067
[0.482779,0.314059,0.126526,0.227020,0.117600]	[96.770230,191.960834,186.540453,159.561091,174.247910]	1003
[0.391040,0.290310,0.200681,0.391549,0.114590]	[92.926605,199.395809,188.427634,184.873998,154.592312]	765
[0.210413,0.258530,0.067692,0.530940,0.102112]	[111.768051,214.066171,181.465960,160.727644,162.451594]	774
[0.359939,0.370953,0.051144,0.192260,0.185850]	[100.269048,206.110480,158.973558,191.937665,174.435718]	1155
[0.472446,0.153855,0.029190,0.238843,0.282135]	[108.072983,173.397882,180.961759,221.597606,135.730298]	926
[0.222041,0.098851,0.057848,0.492509,0.190813]	[159.984729,213.885389,165.381985,140.959788,144.111960]	1552
[0.430034,0.453316,0.166972,0.338156,0.113289]	[165.244966,186.481280,188.299396,144.922424,135.909501]	1097
[0.112085,0.371358,0.403741,0.375970,0.086108]	[145.707329,184.622635,186.222959,142.434043,177.355980]	1073
[0.280040,0.369246,0.111934,0.334361,0.102695]	[154.689925,207.151918,158.768304,131.789259,185.223518]	845
[0.113813,0.300308,0.148195,0.231673,0.085566]	[135.752473,192.112443,188.716128,115.426642,192.876481]	693
[0.370327,0.210889,0.188654,0.400947,0.101524]	[148.770196,204.265914,195.276143,115.440918,155.971812]	973
[0.359924,0.401948,0.059326,0.142414,0.280767]	[161.257743,175.839771,146.826866,151.533835,206.326331]	971
[0.200825,0.291707,0.098766,0.464371,0.470269]	[161.787724,200.371814,159.196340,109.163567,185.250426]	879
[0.207918,0.218445,0.044928,0.413066,0.388194]	[166.339399,182.205694,206.856076,94.467257,162.201092]	798
[0.321325,0.527713,0.087357,0.283189,0.127446]	[173.371855,171.966262,140.830871,141.940809,211.217368]	1161
[0.077789,0.143674,0.033767,0.268361,0.464841]	[183.919732,150.207262,210.073333,107.218704,171.567573]	1358
[0.183272,0.108567,0.120481,0.457530,0.301260]	[188.217030,187.798204,158.347263,101.346882,184.831446]	945
[0.127035,0.258293,0.043168,0.372233,0.138911]	[191.804198,198.505801,189.022001,112.665469,122.923838]	845
[0.362042,0.329794,0.099677,0.141221,0.394579]	[177.825336,162.918325,181.806622,148.088883,173.503502]	1043
[0.268876,0.184902,0.108633,0.451838,0.599321]	[194.343040,205.160207,136.679551,95.906347,177.370121]	980
[0.626982,0.244533,0.125829,0.308569,0.259953]	[192.384698,155.856219,127.755552,115.293356,219.875136]	814
[0.649074,0.278186,0.108631,0.252868,0.356621]	[194.110505,141.088352,159.816623,111.100424,203.192742]	749
[0.461973,0.374179,0.107264,0.182432,0.437154]	[192.529913,130.541223,163.570586,116.784496,211.600561]	245
[0.418212,0.175935,0.072160,0.535547,0.325200]	[185.439138,157.947617,170.768291,126.387224,187.623495]	915
[0.466751,0.148247,0.161994,0.650966,0.095229]	[190.359883,158.557117,181.927404,121.296632,175.489350]	388
[0.435638,0.197805,0.246327,0.304418,0.082408]	[170.789848,99.605937,192.121297,161.139120,193.788815]	1306
[0.310593,0.169869,0.503895,0.369978,0.037516]	[165.341614,106.810424,185.704938,163.592539,202.407575]	702
[0.359710,0.256434,0.547250,0.589872,0.041474]	[132.439105,110.499355,173.637262,183.641770,215.038679]	562
[0.355058,0.237855,0.300115,0.533575,0.040052]	[147.424306,111.586736,170.985463,174.732185,212.852426]	337
[0.312332,0.113643,0.216294,0.254307,0.094949]	[137.879805,158.040672,156.131975,182.495337,200.676846]	1072
[0.504926,0.141436,0.291487,0.321130,0.136377]	[124.108380,165.920895,199.748041,186.491799,145.079502]	942
[0.275655,0.241812,0.406158,0.414115,0.117578]	[144.732165,192.114942,194.403820,184.167708,114.998616]	696
[0.334129,0.345380,0.226942,0.186692,0.101655]	[144.733307,120.008028,200.042943,174.673294,186.417279]	1016
[0.254784,0.357184,0.356136,0.323309,0.134165]	[151.094812,162.672541,207.587793,174.904003,134.606616]	889
[0.423142,0.410650,0.393444,0.073387,0.113582]	[109.846181,128.933868,208.991393,193.499784,174.297266]	867
[0.397237,0.257919,0.368099,0.316537,0.097790]	[139.324668,207.865197,173.947118,172.280184,140.455706]	1164
[0.345664,0.512519,0.476564,0.266434,0.124880]	[113.997849,161.024034,216.012141,187.176715,142.811807]	995
[0.399183,0.290976,0.512257,0.513195,0.091638]	[107.137123,135.171938,206.759849,192.038751,177.051290]	844
[0.249258,0.327750,0.266156,0.203290,0.092877]	[107.400792,182.989675,180.129135,186.303062,175.343357]	1172
[0.435620,0.155459,0.183668,0.074277,0.077619]	[129.697127,196.977416,190.163697,159.954021,157.715029]	1307
[0.404817,0.311217,0.082999,0.341994,0.305057]	[127.332651,194.740315,164.747386,162.306356,181.932360]	836
[0.292123,0.230567,0.084633,0.456237,0.277300]	[92.932758,206.917224,135.562407,187.701449,189.915338]	927
[0.345933,0.349026,0.075310,0.564579,0.189068]	[99.389708,173.954775,135.443450,192.074559,210.175793]	635
[0.236710,0.122170,0.051274,0.262493,0.296826]	[143.949191,200.401009,189.366243,176.305299,117.958025]	1128
[0.296114,0.431363,0.460303,0.404925,0.098361]	[158.037921,216.977542,177.934404,167.393675,99.251082]	970
[0.200006,0.419534,0.517449,0.279185,0.092988]	[186.746686,216.432059,174.265209,132.938427,99.048538]	390
[0.534707,0.386193,0.403475,0.207612,0.108470]	[188.052519,192.319883,196.835206,121.023058,101.947436]	755
[0.482983,0.237151,0.442556,0.576678,0.100832]	[184.233022,164.718272,211.880254,132.217608,117.230259]	826
[0.144440,0.219449,0.336307,0.614350,0.091141]	[189.721854,217.694594,167.550783,123.632189,109.509657]	774
[0.146048,0.518453,0.204022,0.237722,0.120014]	[178.633326,187.778069,197.328541,105.816989,152.201903]	842
[0.496417,0.204808,0.414240,0.471209,0.078249]	[193.776752,201.402608,176.330920,102.871498,137.506914]	806
[0.433838,0.302034,0.183535,0.285683,0.077908]	[183.322792,202.700783,174.752534,137.021401,135.546933]	929
[0.310730,0.308179,0.114026,0.225722,0.155025]	[182.313155,180.080638,149.381292,138.250706,187.692234]	742
[0.193260,0.135492,0.078066,0.480566,0.235403]	[165.909708,172.232572,199.987862,161.175570,140.960366]	1012
[0.234391,0.283021,0.124102,0.479262,0.130884]	[187.725319,179.439041,153.540740,112.873627,183.074340]	1054
[0.224391,0.192690,0.085789,0.167555,0.132991]	[165.585983,172.175522,177.218935,165.009407,154.231730]	1168
[0.283503,0.341269,0.135856,0.558510,0.066692]	[180.328320,163.157210,163.859409,138.860944,186.163366]	1017
[0.169787,0.103780,0.115704,0.563223,0.587116]	[186.724800,165.647944,186.247376,129.562216,161.548907]	731
[0.123514,0.276364,0.120750,0.349655,0.253546]	[185.889904,129.475932,174.449056,132.563485,196.762011]	638
[0.219628,0.221997,0.094109,0.206347,0.471252]	[189.545335,152.288087,184.052460,117.070174,177.424656]	782
[0.514412,0.206487,0.025703,0.576608,0.191653]	[189.000496,147.122385,213.871107,120.741807,150.855580]	1213
[0.750193,0.500242,0.210500,0.369443,0.140661]	[192.973296,153.969000,210.107144,113.409752,135.873803]	551
[0.175584,0.400907,0.279050,0.255360,0.106080]	[172.449409,116.364301,216.988635,157.787750,165.443807]	981
[0.191561,0.313799,0.473757,0.280988,0.109914]	[176.887883,155.583062,188.740937,157.705461,160.170146]	881
[0.279982,0.161643,0.301498,0.389136,0.080700]	[177.898241,197.415007,177.787140,97.584400,160.990207]	1176
[0.346322,0.299966,0.099958,0.288996,0.115117]	[193.314319,145.731798,180.641399,116.673600,186.488036]	857
[0.253894,0.326795,0.040013,0.232900,0.325192]	[171.558326,135.441123,214.718125,160.701317,151.994467]	1281
[0.135404,0.484071,0.119417,0.385284,0.088655]	[179.690754,151.642121,176.757840,131.882152,185.944535]	1265
[0.253462,0.198631,0.090379,0.243173,0.273379]	[174.522378,177.302811,184.682098,155.300953,144.659097]	1363
[0.423764,0.291488,0.130674,0.561272,0.173084]	[173.820000,145.163077,158.026866,151.026157,204.249348]	1268
[0.146618,0.219734,0.102115,0.222328,0.366417]	[184.531463,98.449151,170.399459,151.883982,214.388662]	854
[0.356287,0.481855,0.122578,0.195901,0.639139]	[194.465630,96.932959,142.659618,164.726705,209.892020]	857
[0.066482,0.401585,0.330082,0.283459,0.213661]	[144.556442,135.701169,176.076437,161.007275,218.904937]	736
[0.089605,0.382747,0.320636,0.137923,0.356013]	[154.792538,146.626239,188.408897,139.152344,207.746452]	706
[0.115468,0.122761,0.272826,0.323915,0.384543]	[136.490954,156.674842,210.959282,149.298593,180.434160]	898
[0.070861,0.510275,0.241049,0.185526,0.155939]	[178.177063,147.700548,193.804665,139.382317,181.411117]	1133
[0.074420,0.334961,0.212822,0.258259,0.244887]	[176.694813,173.086512,209.604636,147.179143,118.075505]	974
[0.112686,0.308022,0.320571,0.207219,0.436978]	[123.287373,170.139885,203.582131,151.426722,184.409851]	973
[0.034231,0.224116,0.319792,0.140670,0.152958]	[181.459113,168.149384,204.661067,156.864210,122.573034]	1049
