[0.346821,0.770281,0.162481,0.724408,0.339912,0.287089,0.336551,0.411825,0.471444]	[400.881614,712.986901,415.120542,563.384386,543.564319,372.679789,632.234578,371.763176,600.369852]	974
[0.344590,0.495060,0.221317,0.371251,0.481746,0.405278,0.336551,0.142683,0.348628]	[407.152065,701.990967,421.102741,564.261972,489.368181,355.511377,632.234578,560.168331,500.101955]	685
[0.262907,0.604662,0.304540,0.497690,0.618081,0.293259,0.336551,0.428382,0.390783]	[405.497708,664.868876,275.977229,561.831940,414.632085,432.345266,632.234578,620.570926,588.605151]	528
[0.364545,0.701490,0.235851,0.642352,0.603608,0.389125,0.336551,0.439505,0.720876]	[410.069845,706.832716,258.107599,560.020449,404.443759,345.917600,632.234578,584.227837,607.967423]	173
[0.362487,0.347977,0.246250,0.499944,0.383091,0.324535,0.328794,0.390272,0.300119]	[411.120322,670.155588,261.391220,616.134254,391.653137,392.880619,609.954476,656.892501,580.130177]	484
[0.363904,0.888017,0.194504,0.382028,0.587574,0.401038,0.335694,0.345920,0.375005]	[410.416600,705.771326,247.934834,618.273587,404.394468,347.189069,611.812618,608.387066,594.002045]	418
[0.348466,0.488285,0.223959,0.405895,0.612558,0.462735,0.335875,0.304601,0.200509]	[406.444532,701.753589,286.751446,608.761806,443.095882,349.717933,621.155935,634.960215,579.809760]	392
[0.357841,0.253319,0.188646,0.493197,0.660473,0.315414,0.336631,0.417465,0.248131]	[410.062008,673.754985,441.036957,593.789743,476.882827,403.212631,614.909931,462.148135,614.242885]	608
[0.257066,0.285584,0.166561,0.493112,0.718015,0.226533,0.336631,0.538122,0.200022]	[406.740792,668.199164,476.744820,592.087892,466.580567,429.348564,614.909931,403.962426,631.653688]	383
[0.335586,0.735254,0.167450,0.733612,0.620511,0.360631,0.336551,0.582334,0.417421]	[408.901682,734.686401,333.161489,561.108826,477.133272,359.826631,632.234578,529.903248,589.596391]	317
[0.369029,0.638529,0.171547,0.728142,0.629448,0.415668,0.334514,0.425011,0.370856]	[402.744079,728.058744,253.658190,574.785913,481.283516,347.957606,617.885294,543.670031,598.442934]	191
[0.370677,0.709914,0.199273,0.745671,0.513557,0.383358,0.336551,0.578595,0.471093]	[409.991493,718.740921,240.763245,559.989283,456.575831,347.437000,632.234578,551.093363,606.011699]	160
[0.285987,0.420590,0.246978,0.502237,0.604267,0.394818,0.336551,0.244866,0.261735]	[405.653753,709.970705,254.941906,561.511860,471.197130,344.382723,632.234578,650.094503,567.708874]	407
[0.271700,0.659508,0.216036,0.489524,0.477390,0.305761,0.336631,0.260912,0.249403]	[406.772938,702.423635,279.885247,594.678271,494.694842,361.242365,614.909931,555.603262,594.030900]	484
[0.339811,0.494834,0.221737,0.500267,0.651194,0.421082,0.336551,0.377641,0.379864]	[407.601065,701.834271,333.747028,561.276250,464.721262,353.000631,632.234578,640.915727,522.887515]	530
[0.359267,0.268962,0.268056,0.509707,0.618716,0.394036,0.336551,0.165908,0.546770]	[409.993596,702.362817,265.740149,559.834515,426.150103,344.942655,632.234578,623.962305,612.342810]	325
