[0.156504,0.342754,0.387244,0.645963,0.236792,0.337248,0.331043,0.294419,0.432236]	[446.516562,399.862676,459.881170,624.675898,559.815806,666.220488,598.222644,312.123792,592.913057]	556
[0.129387,0.297495,0.213291,0.531382,0.159759,0.697395,0.330770,0.276402,0.491826]	[438.346387,409.574946,547.214023,618.857245,494.175393,666.777428,603.715424,353.346035,547.691325]	561
[0.446163,0.342603,0.210382,0.558458,0.224197,0.648774,0.236816,0.170742,0.326093]	[356.776657,418.790814,633.876149,546.905399,351.231562,715.878602,670.908736,315.382261,580.258916]	728
[0.393465,0.356806,0.175011,0.654245,0.542738,0.315358,0.331043,0.266272,0.396569]	[362.585483,402.084306,598.180765,621.179738,381.128012,725.570204,598.222644,301.496882,614.681479]	521
[0.365851,0.246844,0.259647,0.652368,0.662110,0.313698,0.332960,0.217506,0.596820]	[342.836329,407.649363,520.565267,618.483844,427.758885,718.907867,610.501501,342.885857,627.332515]	282
[0.135359,0.331333,0.305393,0.657349,0.293083,0.431591,0.330770,0.378785,0.327076]	[440.719647,401.111711,563.138766,622.152549,464.284546,662.241472,603.715424,333.789826,577.222098]	712
[0.166044,0.354141,0.162069,0.587173,0.197018,0.486878,0.253439,0.203034,0.341241]	[350.064646,400.840995,623.835501,548.074584,328.103756,718.902265,647.586099,373.317360,556.066244]	636
[0.364329,0.245884,0.404430,0.647942,0.368225,0.342958,0.330770,0.303644,0.429042]	[335.416500,403.491512,577.451671,622.309155,430.595431,683.722335,603.715424,370.065418,613.112630]	462
[0.269360,0.353684,0.213277,0.575505,0.496994,0.311307,0.330770,0.260112,0.356883]	[360.032618,401.551341,543.433044,610.869998,470.841245,726.911248,603.715424,330.752491,588.440296]	442
[0.418658,0.257429,0.325696,0.640042,0.588876,0.138048,0.330770,0.277601,0.324930]	[347.806296,414.182082,519.609441,622.693140,424.641663,671.816518,603.715424,413.693024,610.866210]	323
[0.130859,0.335308,0.334451,0.574424,0.225871,0.409241,0.331043,0.358407,0.349380]	[351.589312,408.434070,605.207535,622.019267,503.219497,718.345301,598.222644,321.576357,511.555742]	754
[0.532361,0.374203,0.269792,0.660294,0.317921,0.875874,0.325625,0.215146,0.119943]	[327.093793,414.195922,606.643310,553.840739,468.093554,717.633486,634.644801,346.208763,521.658872]	592
[0.565212,0.367491,0.410359,0.336752,0.394372,0.635192,0.230030,0.190593,0.069221]	[329.405643,400.856720,586.210306,485.271597,476.545005,725.583088,758.025014,347.213839,569.921466]	644
[0.255996,0.285072,0.221414,0.614953,0.266234,0.455948,0.371543,0.262835,0.360450]	[360.995655,401.866026,585.501370,602.951191,370.835148,723.253534,677.332520,350.511482,610.298346]	802
[0.445337,0.348225,0.285256,0.877287,0.214378,0.303671,0.327003,0.261233,0.497181]	[350.290534,405.459154,605.242803,549.139782,433.530929,727.511776,645.657818,269.912312,579.888750]	458
[0.258081,0.179957,0.248233,0.562037,0.674213,0.369581,0.331043,0.337780,0.397038]	[489.315923,410.073873,576.348188,624.988481,405.658322,619.603565,598.222644,302.130378,610.571305]	501
[0.320372,0.256325,0.376966,0.638265,0.579100,0.317530,0.330770,0.341837,0.388830]	[424.974242,399.761265,529.067166,622.169715,425.844336,676.997152,603.715424,329.003177,607.151918]	162
[0.495202,0.246782,0.262501,0.663922,0.306279,0.394197,0.370614,0.251235,0.530802]	[331.896305,412.774592,640.529469,549.343800,425.734934,690.238968,644.004428,383.354532,541.316088]	641
[0.139005,0.333913,0.430064,0.735129,0.425446,0.558380,0.340670,0.458329,0.106170]	[499.269147,408.067698,567.339501,619.044032,535.981539,608.149014,608.981433,313.465957,518.670582]	888
[0.326249,0.208291,0.406363,0.654671,0.243251,0.725217,0.264768,0.209860,0.371056]	[439.287210,403.448264,584.126646,543.560123,639.011710,668.377654,656.197607,271.926413,376.927821]	714
[0.350664,0.351617,0.282357,0.641253,0.278102,0.356768,0.332960,0.312674,0.597096]	[338.219843,402.849032,585.705011,615.894365,610.182950,731.741355,610.501501,319.839496,414.722355]	500
[0.307757,0.252949,0.138698,0.638265,0.237365,0.311607,0.330770,0.315111,0.596114]	[422.063686,401.071486,616.769424,622.169715,573.549055,677.341724,603.715424,280.628392,419.480696]	248
[0.553326,0.366808,0.607203,0.791539,0.482002,0.382818,0.322048,0.238668,0.229600]	[353.906839,402.477495,501.530651,537.735790,626.275067,696.675031,651.073842,377.129950,447.948030]	637
[0.306092,0.246410,0.739872,0.661614,0.832809,0.589526,0.244060,0.209539,0.285029]	[353.840194,404.966074,546.526212,550.809255,617.874000,730.602598,638.746415,310.648081,402.251391]	258
[0.342789,0.364361,0.491585,0.866210,0.667059,0.529692,0.328433,0.215718,0.234863]	[389.739279,404.202523,561.196050,557.028563,609.986514,706.308411,632.676286,300.204707,400.632411]	161
[0.355732,0.332523,0.534348,0.872015,0.880075,0.384369,0.354013,0.258981,0.250248]	[386.634119,399.989639,563.367365,546.347697,619.050253,712.271583,639.365083,276.386913,379.146650]	152
[0.144444,0.354583,0.229918,0.778296,0.255610,0.755976,0.344209,0.192960,0.152387]	[354.928746,404.888062,625.380874,544.823076,510.152630,720.482975,641.720123,331.708398,467.768559]	581
[0.226312,0.362509,0.368363,0.374402,0.198411,0.343785,0.330770,0.336923,0.510606]	[423.459052,404.293618,584.677543,621.968843,598.489232,674.883652,603.715424,294.311879,451.029291]	614
[0.417941,0.137661,0.704575,0.720222,0.625230,0.368076,0.349944,0.111805,0.326895]	[337.092343,430.690789,562.462905,545.240762,605.037087,701.269363,644.248919,313.891115,408.731686]	438
[0.184737,0.372114,0.486007,0.757350,0.390380,0.293071,0.367640,0.297838,0.241881]	[403.753553,405.765699,628.975734,576.125549,573.828587,695.826632,634.143019,308.920594,370.735946]	426
[0.260835,0.370704,0.571645,0.785713,0.558652,0.430649,0.382626,0.201493,0.237552]	[359.120986,409.530052,574.655833,550.903073,619.263172,711.620884,638.615203,280.074717,366.422618]	285
[0.539108,0.313714,0.275342,0.718582,0.437585,0.248192,0.332984,0.211664,0.318999]	[331.731127,401.510729,658.399680,537.381150,581.345640,678.927305,641.676962,364.501251,379.851637]	388
[0.428709,0.244373,0.434496,0.866976,0.495901,0.213200,0.337338,0.250606,0.240577]	[345.136059,410.951984,603.068582,555.223880,594.248529,713.284881,629.563237,310.487586,381.414970]	351
[0.486624,0.372011,0.632696,0.703100,0.300923,0.595156,0.320666,0.200955,0.244734]	[339.895367,410.734642,593.937980,557.224720,603.140446,731.979983,633.733228,273.026785,375.759154]	205
[0.402642,0.355383,0.468177,0.689953,0.250570,0.512132,0.341324,0.224676,0.242939]	[360.799202,401.582247,600.348137,550.081538,612.545279,725.063739,633.654164,253.457009,383.151083]	168
[0.383891,0.166752,0.637469,0.870884,0.847985,0.149521,0.328408,0.227754,0.244412]	[325.825947,407.039741,592.231370,549.927506,603.561750,581.960158,645.752341,487.325471,391.042622]	313
[0.512116,0.367564,0.526210,0.712800,0.497703,0.628386,0.325302,0.231027,0.375270]	[328.494481,402.155420,568.047399,614.171503,612.495651,730.867399,603.863495,268.538136,370.551138]	324
[0.547116,0.183057,0.231825,0.789020,0.461435,0.140492,0.403235,0.170192,0.198816]	[330.655398,418.891851,637.823682,553.747786,615.654047,701.936226,624.682243,303.390142,363.875321]	465
[0.604567,0.174497,0.355498,0.866500,0.445706,0.611487,0.328419,0.201197,0.241932]	[329.773212,411.530161,567.698540,555.979748,640.109877,672.639802,634.709858,357.398423,378.918130]	377
[0.365727,0.354127,0.443885,0.404361,0.303303,0.329781,0.329653,0.272736,0.146300]	[362.323695,401.528399,548.430188,623.573167,572.459047,723.074698,597.913939,270.578425,547.229314]	661
[0.406183,0.361605,0.349406,0.791042,0.347770,0.840276,0.337018,0.213722,0.228886]	[342.148157,414.468214,597.146874,545.402990,627.150423,717.974760,645.391982,262.990822,363.522349]	602
[0.162715,0.293331,0.327967,0.459422,0.453137,0.362530,0.242217,0.396730,0.172276]	[386.792827,400.360682,590.044279,577.219484,507.276028,710.254876,646.003053,363.438854,457.520278]	731
[0.178722,0.252537,0.342285,0.668143,0.221627,0.425450,0.280815,0.251225,0.247629]	[413.609529,402.111413,559.795374,553.748189,633.441632,689.213864,638.858194,287.714735,368.531401]	670
[0.155639,0.353625,0.278426,0.661559,0.324169,0.336473,0.330770,0.284894,0.481556]	[422.161743,400.772329,641.515137,622.953844,599.018314,680.250031,603.715424,269.889413,377.232007]	454
[0.152109,0.282692,0.554904,0.697262,0.425893,0.329239,0.218724,0.235515,0.247594]	[427.946508,408.288828,610.534764,542.238423,592.560776,673.666961,666.201085,262.881018,388.231772]	380
[0.182444,0.373387,0.349087,0.718101,0.482856,0.653744,0.327292,0.198914,0.314021]	[351.406477,412.762865,555.666412,550.396866,619.787575,721.468936,647.604085,274.580081,406.971620]	255
[0.494414,0.353559,0.383452,0.658470,0.309954,0.592986,0.301793,0.218333,0.097637]	[339.997101,401.486852,589.587244,553.038163,538.644225,730.104809,650.482992,284.935068,533.333579]	637
[0.317118,0.176509,0.316604,0.712544,0.175979,0.151484,0.333440,0.193388,0.231270]	[318.593152,412.397893,564.474511,584.925671,592.031010,460.168380,623.599248,590.131420,501.162476]	892
[0.182200,0.352502,0.172252,0.648875,0.361836,0.171629,0.330770,0.201729,0.568601]	[417.946443,404.954820,593.210581,621.476161,518.212618,688.337933,603.715424,415.503825,401.112771]	885
[0.263576,0.198927,0.304250,0.652935,0.204627,0.292481,0.332960,0.474421,0.603600]	[352.422197,425.143244,585.645453,616.678407,615.475518,557.700513,610.501501,508.535640,403.826105]	566
[0.379623,0.246180,0.215176,0.638627,0.356834,0.302289,0.341231,0.362167,0.523515]	[295.261185,405.876796,593.134717,552.987772,632.900835,573.447461,629.128285,518.054575,375.213552]	298
