[0.114268,0.302184,0.362976,0.097864,0.173291,0.726588,0.715286,0.565084,0.369221,0.187484,0.241019,0.437138,0.312475,0.269978,0.058702,0.282947,0.666303,0.212354,0.129798,0.068847,0.153413,0.274117,0.131956,0.293999,0.364553,0.365446,0.099806,0.605953,0.337077,0.363937,0.160374,0.197965,0.788582,0.405054,0.580100,0.134049]	[375.374737,313.924103,382.105600,458.373181,454.700214,475.392994,509.695659,375.243205,472.985123,382.722355,500.880886,526.977503,295.904689,357.400925,595.034109,427.147447,394.147052,481.628968,536.565674,524.133014,454.106308,313.183835,450.231649,330.005455,403.599042,452.733114,563.092677,399.169764,621.341199,501.721754,459.092477,340.418916,515.234281,398.470939,334.663615,367.417044]	3221
[0.338223,0.390440,0.395976,0.127093,0.122586,0.457487,0.457779,0.662373,0.306025,0.183045,0.324435,0.096843,0.350616,0.292118,0.058524,0.392565,0.340956,0.213895,0.127007,0.066747,0.152099,0.216961,0.133559,0.312278,0.428079,0.367495,0.116111,0.637145,0.196000,0.398693,0.136680,0.204462,0.875198,0.411871,0.580100,0.124495]	[441.787064,375.315787,379.871779,441.041777,460.839313,498.881932,492.982471,368.399881,479.279252,380.395094,514.214670,427.176715,278.427674,309.437088,591.627734,430.060704,390.152529,499.522315,535.472500,534.329225,454.180547,322.207814,445.643528,326.053839,395.143605,454.240617,518.540799,395.198927,617.493614,476.495605,435.663272,342.837733,534.097730,425.832711,334.663615,367.848813]	1655
[0.375755,0.211969,0.273321,0.070667,0.145543,0.772201,0.693845,0.445796,0.236744,0.086039,0.672899,0.091093,0.327889,0.466585,0.053109,0.307386,0.659822,0.250309,0.153954,0.080742,0.153143,0.372437,0.150894,0.349410,0.500606,0.329057,0.102105,0.605329,0.159303,0.426993,0.225990,0.238287,0.914667,0.503171,0.580100,0.110704]	[420.847655,267.061053,367.785863,407.711247,485.356560,492.915666,507.202427,403.441802,474.081830,487.360805,478.761237,461.624913,299.571441,337.346295,604.151482,416.834584,399.278550,550.846334,449.745133,560.649992,486.787129,300.599276,471.290768,392.381330,327.554906,447.337540,509.352777,393.291250,623.685673,479.754750,398.890316,339.685804,523.466704,351.373129,334.663615,382.614931]	2893
[0.148616,0.259078,0.202512,0.292507,0.106767,0.275940,0.338210,0.553421,0.176360,0.044409,0.285524,0.089372,0.185416,0.240056,0.052837,0.334833,0.445406,0.357203,0.342450,0.116976,0.199830,0.251709,0.195252,0.438745,0.229338,0.341755,0.098708,0.562207,0.346910,0.311039,0.236625,0.212425,0.519287,0.371939,0.580100,0.139738]	[400.454128,385.786075,378.098472,414.009335,532.212958,505.279526,492.006923,407.621781,428.894620,492.598520,493.561832,453.728222,309.638605,305.374223,600.979136,419.755508,393.446466,386.396120,461.249798,520.357052,498.961733,309.339843,487.208374,384.627531,434.259518,449.955518,501.773082,396.934101,645.367919,526.328204,419.765699,339.778140,528.643640,434.682190,334.663615,335.429068]	2839
[0.285439,0.342265,0.524831,0.094867,0.076238,0.402317,0.390493,0.357202,0.184605,0.056873,0.149999,0.291673,0.301787,0.312115,0.089980,0.195356,0.244419,0.258651,0.321161,0.089908,0.281623,0.285994,0.235260,0.487005,0.243493,0.182980,0.113534,0.619048,0.382203,0.340004,0.211962,0.214942,0.440804,0.388544,0.580100,0.165763]	[393.651243,287.181230,369.418935,416.051189,494.426247,487.865323,472.832925,428.073089,399.621942,455.413053,499.744038,612.952913,296.018227,299.675708,571.734385,416.593362,393.181026,374.499375,451.759938,565.223415,566.950341,310.012490,486.694633,378.613854,444.449663,484.654501,476.851789,395.459340,624.035711,545.336352,432.509830,339.699508,533.570640,465.294318,334.663615,309.729568]	2298
[0.448488,0.189991,0.426838,0.081686,0.110341,0.321476,0.317391,0.336273,0.240272,0.048332,0.222556,0.229927,0.693021,0.384240,0.066382,0.237886,0.240034,0.267815,0.270130,0.121117,0.205205,0.436364,0.252016,0.183762,0.208607,0.253757,0.122704,0.609807,0.184375,0.393338,0.228217,0.223849,0.413358,0.288959,0.580100,0.152790]	[329.455448,290.748264,371.743293,383.299309,517.853569,495.979973,478.511789,436.324165,402.585916,447.534355,494.450102,652.773984,292.374136,298.693447,585.701405,409.155891,396.588244,373.579025,482.884936,471.973684,535.893520,302.857454,458.384810,397.698697,439.934535,482.052591,530.296227,395.197135,619.840606,545.629030,451.285801,339.631565,534.878820,461.406994,334.663615,319.064884]	1287
[0.194084,0.404519,0.439426,0.077322,0.096803,0.202775,0.265156,0.556559,0.224139,0.042032,0.220590,0.170775,0.690862,0.325632,0.061014,0.278255,0.221677,0.260112,0.257897,0.092895,0.186418,0.488692,0.243881,0.327398,0.207212,0.166615,0.162443,0.663540,0.223462,0.393338,0.227726,0.230640,0.419762,0.277746,0.378094,0.155132]	[361.624229,263.220512,369.647494,403.641630,516.776528,498.552877,492.711637,437.015313,393.855322,486.157271,456.848880,680.424696,291.218451,298.117952,602.370860,407.356484,362.293377,374.231534,476.596795,530.281677,475.799959,305.676458,455.745277,395.931908,411.704358,494.224010,465.415697,394.966099,603.249245,545.629030,448.496081,338.154192,534.727154,478.563791,330.456195,319.727832]	1444
[0.503439,0.627724,0.453459,0.170399,0.139196,0.235712,0.372766,0.470543,0.105710,0.053615,0.236969,0.252623,0.573983,0.346415,0.096162,0.348641,0.220962,0.313293,0.218997,0.095875,0.217564,0.390123,0.213742,0.345739,0.254955,0.328001,0.164849,0.537744,0.299777,0.222001,0.231932,0.258271,0.460382,0.353284,0.380504,0.352655]	[395.582371,261.111224,370.380579,436.393911,519.245665,481.481265,461.414399,486.319605,441.907677,403.019671,457.436514,675.316158,290.520749,300.180482,585.963932,400.635870,376.784923,396.040661,489.676485,530.620862,470.440479,304.543507,427.780553,391.176313,450.429460,440.523409,473.276205,387.217163,635.493735,541.296548,482.490917,345.989172,545.991071,389.838472,331.843328,308.953293]	1961
[0.324533,0.567265,0.349502,0.262809,0.319798,0.299023,0.244560,0.329734,0.159145,0.082468,0.236969,0.184239,0.290982,0.308507,0.051953,0.313228,0.198658,0.178974,0.243962,0.093450,0.251534,0.434774,0.267803,0.383480,0.325544,0.193185,0.149751,0.641618,0.220406,0.276012,0.236892,0.272142,0.650999,0.252892,0.376068,0.450497]	[434.072096,266.664655,371.122077,446.617893,428.097879,470.200492,551.575125,486.587301,451.544931,397.397960,457.436514,658.863265,292.618183,311.402396,596.565059,417.849579,367.026347,379.040174,448.831523,535.902986,546.277770,301.842822,440.130939,361.340729,428.276758,477.802064,470.722044,386.500225,555.835815,570.198006,471.071338,348.944040,541.904825,432.455447,335.405065,312.187040]	1894
[0.354348,0.156305,0.345657,0.233428,0.318773,0.269084,0.169311,0.207930,0.179451,0.084353,0.396406,0.205238,0.290982,0.291078,0.044153,0.305855,0.201723,0.183476,0.169304,0.097745,0.230532,0.299237,0.254506,0.206040,0.392510,0.210734,0.179822,0.590496,0.123420,0.242278,0.237263,0.298022,0.808228,0.290772,0.376068,0.456042]	[333.045828,367.890990,355.755063,442.224294,384.400669,461.240974,534.231394,488.713451,443.127414,401.778608,493.555599,631.219917,292.618183,306.226083,593.592391,411.970215,364.632461,394.854254,450.834941,531.538256,526.651503,306.380609,449.360104,375.209490,433.944126,453.416436,458.942412,394.621606,597.428723,551.633435,463.868695,341.710498,510.885522,437.295426,335.405065,316.894079]	1470
