[0.300113,0.158916,0.422404,0.281184,0.214192,0.129752,0.292286,0.289721,0.322893,0.638509,0.295834]	[459.645671,321.976566,430.911104,436.574469,504.376439,430.817989,389.600888,360.496305,352.085854,340.547211,435.243494]	951
[0.841517,0.158501,0.687410,0.270739,0.434529,0.116534,0.278770,0.251586,0.322893,0.638509,0.283479]	[475.036094,320.569135,419.585395,491.751647,479.493715,442.268827,375.224925,362.595862,352.085854,340.547211,423.604255]	305
[0.897151,0.156522,0.772301,0.362182,0.398148,0.268830,0.307211,0.540429,0.297108,0.609006,0.289047]	[471.209758,321.096568,414.659453,506.774431,435.819929,441.271562,367.618530,358.953584,348.762443,333.388411,433.111996]	350
[0.668835,0.156101,0.740233,0.550888,0.262464,0.226293,0.354493,0.516106,0.297108,0.609006,0.295351]	[465.528306,320.996869,421.781059,473.399680,494.044267,441.828352,352.914485,361.453082,348.762443,333.388411,430.534987]	200
[0.337269,0.147908,0.202064,0.272986,0.098801,0.117230,0.465051,0.444565,0.292861,0.327085,0.453663]	[467.203354,320.063787,417.012741,476.044137,468.344439,366.587179,432.244396,362.462940,433.702118,357.940173,481.797786]	970
[0.388669,0.152979,0.299885,0.241380,0.279310,0.268469,0.198437,0.750367,0.247560,0.608701,0.394074]	[462.722529,319.976276,434.412888,487.267321,415.604155,407.164746,442.294827,353.592857,398.384465,334.813440,485.829519]	792
[0.104667,0.154711,0.223721,0.306376,0.498488,0.233475,0.181863,0.711268,0.195199,0.188779,0.259633]	[458.363564,321.701758,441.063028,500.749747,421.606521,382.386121,448.883616,355.691041,404.353070,348.813272,461.587577]	718
[0.219466,0.154905,0.297396,0.437932,0.218174,0.165359,0.431369,0.294139,0.290103,0.187446,0.261234]	[485.163181,314.744786,417.868496,517.614175,446.434611,453.067495,421.269830,361.505445,382.512932,315.096588,395.192087]	697
[0.428986,0.154767,0.387979,0.559242,0.657999,0.426171,0.329299,0.662419,0.590710,0.181603,0.214725]	[463.869008,320.500523,434.998957,530.932516,431.754157,425.343008,443.981004,350.532578,379.213909,319.636780,423.116022]	650
[0.425520,0.161415,0.408432,0.667463,0.387195,0.265754,0.371830,0.590607,0.192278,0.242393,0.268271]	[460.204869,316.238339,425.338051,527.615283,442.233548,438.910144,445.557015,353.094520,341.883659,340.507662,417.424581]	425
[0.416566,0.156652,0.748253,0.294104,0.333374,0.170040,0.495889,0.368885,0.222769,0.211710,0.111050]	[460.374763,329.162327,404.918385,467.293786,452.879824,443.689974,423.414764,350.395575,364.670468,312.758167,483.413596]	669
[0.467361,0.153871,0.269563,0.303356,0.161091,0.365595,0.327636,0.594535,0.413857,0.643871,0.402705]	[441.119529,319.540942,434.925596,485.645293,468.248721,442.039617,455.308829,357.137091,385.677650,305.610283,478.426315]	843
[0.126529,0.155414,0.494133,0.419919,0.269242,0.236628,0.350564,0.287428,0.587395,0.643871,0.230533]	[469.737183,321.723714,427.858988,491.257455,454.201261,437.948882,354.079382,363.029617,381.394182,305.610283,444.622373]	701
[0.380264,0.156013,0.250625,0.631704,0.890153,0.361801,0.363805,0.560410,0.332239,0.613636,0.228391]	[447.810866,321.326788,428.883686,544.378762,419.561281,440.531704,450.502106,358.618230,375.132442,291.352183,430.899374]	631
[0.317445,0.154632,0.422098,0.329643,0.192088,0.414453,0.222461,0.458160,0.462961,0.892341,0.098117]	[419.206305,320.061469,428.556079,505.630513,461.852731,446.594646,476.192953,338.248114,370.205279,284.879652,484.192798]	679
[0.197722,0.155664,0.833498,0.335866,0.425203,0.313782,0.303300,0.302677,0.460275,0.797329,0.220150]	[455.370884,326.216484,407.090971,471.554882,483.700947,442.618647,449.510427,357.599608,353.616577,289.687487,448.779279]	601
[0.359376,0.157262,0.392151,0.587802,0.468726,0.417448,0.277830,0.509152,0.532951,0.536483,0.227052]	[434.289880,322.110694,431.434553,536.347829,433.385530,439.058048,475.330324,356.341610,375.634271,286.373710,436.934369]	543
[0.385584,0.157324,0.421592,0.784738,0.854378,0.352927,0.180748,0.680934,0.544038,0.536379,0.180130]	[444.269593,326.945043,415.556781,532.840110,432.299379,444.582465,471.532832,353.345881,377.173114,286.442414,390.261811]	303
[0.328397,0.149598,0.234160,0.228859,0.263726,0.446804,0.379724,0.392194,0.480670,0.711444,0.103450]	[448.647190,318.947300,428.355483,510.854988,456.108955,439.693604,454.065528,352.491673,383.307121,292.374574,447.659383]	678
[0.159594,0.152031,0.231348,0.319240,0.216553,0.392240,0.520092,0.556412,0.450997,0.803282,0.402943]	[475.999892,319.366100,427.170259,454.580796,403.853733,448.157051,424.579994,352.690588,364.462511,292.436913,502.091873]	633
[0.275454,0.147137,0.652076,0.139932,0.500882,0.484613,0.206824,0.398569,0.438063,0.636537,0.115643]	[446.084589,323.040035,420.110664,495.910516,421.027385,437.223726,465.474655,361.677834,371.810773,295.747627,483.080472]	782
[0.336320,0.154460,0.366141,0.140796,0.459246,0.403558,0.234713,0.447812,0.450644,0.464228,0.058820]	[479.068931,324.624949,434.340168,471.851557,426.735012,439.677507,410.789244,357.723878,349.020861,332.604571,505.765537]	744
[0.199559,0.156174,0.308459,0.174080,0.929543,0.190845,0.488984,0.256079,0.289262,0.330510,0.511755]	[447.879925,316.312761,429.961640,471.954910,411.605220,403.539388,362.637015,364.310400,375.683259,386.409494,520.500847]	794
[0.503155,0.155763,0.429435,0.227639,0.347806,0.530098,0.231275,0.450371,0.431020,0.230818,0.340512]	[409.900216,324.740619,423.666287,443.524510,447.834552,450.566005,454.905374,357.825207,312.090560,325.276591,510.657464]	756
[0.310267,0.158612,0.306693,0.177537,0.794089,0.362669,0.252614,0.721223,0.522036,0.287331,0.304102]	[436.312350,321.798511,422.007519,474.084690,426.864842,419.501784,439.258501,359.563766,285.961066,400.577591,493.350852]	649
[0.549621,0.154953,0.412943,0.228403,0.326177,0.250419,0.225950,0.350796,0.228546,0.539548,0.466465]	[429.065283,325.278354,416.790437,446.900063,456.387307,448.490868,495.412571,351.745378,308.575926,356.418976,498.307950]	566
[0.346287,0.157153,0.408378,0.217606,0.377131,0.321942,0.321893,0.554000,0.532251,0.506190,0.418058]	[405.841629,321.917734,422.403470,398.230028,408.878446,434.849482,498.752435,357.585075,301.878467,380.401547,544.505939]	468
[0.304383,0.154717,0.420594,0.299164,0.442647,0.197386,0.607535,0.639680,0.317714,0.391679,0.236478]	[390.293662,324.677053,418.112525,460.905124,424.802504,415.689898,499.879871,345.021673,343.299980,396.167386,496.323210]	731
[0.207978,0.153235,0.120396,0.429093,0.330493,0.182470,0.404273,0.180550,0.325996,0.248362,0.266231]	[412.054358,312.222874,463.872963,513.759860,414.157317,424.408246,425.381438,316.292205,365.403723,360.652139,499.951770]	818
[0.106552,0.147706,0.451715,0.313948,0.356805,0.203853,0.094646,0.524492,0.425711,0.432901,0.315298]	[412.675512,316.250980,411.841995,450.142389,412.257031,401.015614,493.671666,353.984593,405.383588,358.474530,497.654096]	881
