[0.056310,0.357111,0.251942,0.111585,0.055537,0.300233,0.033947,0.442139]	[67.873365,75.920943,64.765691,102.484559,88.711195,75.506617,107.172230,43.830602]	3422
[0.106257,0.260598,0.298590,0.063594,0.039282,0.641731,0.047761,0.631050]	[63.197519,80.771400,63.620833,105.412179,93.364630,76.575420,102.457399,44.767063]	1828
[0.089272,0.219882,0.319754,0.094322,0.033500,0.611906,0.046359,0.391580]	[65.318624,86.027527,65.478403,102.748147,92.194358,77.313903,97.888420,45.158419]	906
[0.072004,0.318077,0.378717,0.079313,0.049744,0.553627,0.035600,0.446065]	[65.343859,80.977458,62.180407,103.477029,85.908618,78.260967,105.731550,46.830158]	897
[0.074590,0.311656,0.411714,0.083857,0.039785,0.713244,0.036902,0.505921]	[65.009502,81.911260,63.840723,103.374456,91.319869,78.905886,100.323598,43.274315]	806
[0.117309,0.160705,0.407742,0.069230,0.031147,0.804220,0.078040,0.676921]	[62.558269,84.119574,63.984544,106.872864,97.328185,78.928984,83.507086,45.500798]	1166
[0.077148,0.245321,0.367545,0.075300,0.033112,0.590867,0.041028,0.647599]	[65.821363,81.377249,64.273130,103.857196,99.039721,78.806525,95.479139,42.918482]	1377
[0.079663,0.196401,0.416079,0.081448,0.029610,0.215867,0.053455,0.494145]	[66.472670,85.816666,65.128367,100.746307,96.358501,76.077620,89.760795,50.329023]	1217
[0.069001,0.188003,0.392223,0.069201,0.082154,0.223980,0.041813,0.395279]	[67.815854,80.435201,59.489923,99.868012,94.683113,76.694333,100.434088,57.511671]	1896
[0.062812,0.047662,0.200299,0.125351,0.033607,0.585257,0.040574,0.606479]	[67.169870,78.927284,57.598546,98.403448,90.533495,77.195263,101.955772,63.663465]	2193
[0.055849,0.156984,0.339073,0.093884,0.057093,0.667189,0.036077,0.344611]	[66.289750,73.795689,58.232372,103.943418,93.121002,79.565165,105.541064,51.624354]	1403
[0.114500,0.124493,0.528397,0.090284,0.028071,0.600445,0.069182,0.583954]	[62.907159,87.074959,62.459124,102.858906,95.926325,79.139310,86.227360,50.690304]	1898
[0.088134,0.302215,0.421585,0.087898,0.033639,0.600391,0.033437,0.644153]	[61.890079,81.092290,62.722793,101.261944,92.960685,79.421295,102.335335,49.703838]	1145
[0.071098,0.188558,0.258308,0.172616,0.035650,0.202927,0.039078,0.534231]	[66.091488,82.235939,59.681024,79.746164,95.296120,77.194824,93.965763,82.416679]	1360
[0.088226,0.211655,0.436802,0.112400,0.029770,0.584116,0.057843,0.654342]	[64.589686,85.126597,54.811006,101.439517,95.712233,77.902200,89.264251,61.329507]	1346
[0.094792,0.198368,0.535074,0.181357,0.039758,0.651354,0.037211,0.427183]	[63.904772,80.954752,61.891298,63.734179,91.101772,79.120984,103.695370,98.439733]	1271
[0.096843,0.152465,0.437844,0.154898,0.045511,0.669738,0.038467,0.528379]	[61.134559,81.593142,62.170104,76.773704,89.432439,76.184839,102.353072,91.559253]	1140
[0.086746,0.172267,0.479819,0.209967,0.057231,0.597388,0.036265,0.285787]	[61.682029,82.630444,55.194096,60.704214,85.804986,78.883846,106.323882,105.057670]	896
[0.104450,0.168193,0.478160,0.179456,0.029608,0.675811,0.059575,0.213416]	[61.122965,80.044842,57.043870,70.617930,92.934508,76.931497,98.893301,99.789696]	1255
[0.098602,0.203513,0.408511,0.228788,0.042046,0.642277,0.037476,0.174809]	[61.024452,81.765435,58.410282,52.118744,96.021100,77.440911,98.228167,112.607348]	1094
[0.098092,0.159078,0.452455,0.252733,0.034925,0.700408,0.052866,0.161859]	[60.557624,81.951912,62.941213,47.791072,89.526110,77.596634,97.832073,113.760567]	780
[0.083519,0.164549,0.256220,0.256299,0.035780,0.698053,0.047276,0.191494]	[61.171952,85.308853,60.290996,50.375313,103.592431,77.474362,89.279847,109.045831]	795
[0.089112,0.053870,0.444480,0.233401,0.034130,0.703092,0.058659,0.179514]	[60.754556,84.356789,55.105882,55.627319,95.343563,78.778897,93.838116,110.501056]	735
[0.095057,0.200266,0.452174,0.204912,0.030323,0.745815,0.070724,0.183686]	[59.166145,77.718406,55.026868,66.388087,93.046061,79.162648,97.057828,105.332443]	895
